跳过格式不正确的菜单配置文件：%{1},跳过格式不正确的菜单配置文件：%{1}
"菜单元素menus必须设置：noNamespaceSchemaLocation=""urn:weline:module:Weline_Backend::etc/xsd/menu.xsd""，文件：%{1}","菜单元素menus必须设置：noNamespaceSchemaLocation=""urn:weline:module:Weline_Backend::etc/xsd/menu.xsd""，文件：%{1}"
"菜单配置错诶：add元素缺少name属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少name属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少source属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少source属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少title属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少title属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少action属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少action属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/""  icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少icon属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少icon属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单排序值 %{1} 重复,请重新设置order排序值.错误所在文件：%{2}","菜单排序值 %{1} 重复,请重新设置order排序值.错误所在文件：%{2}"
"菜单配置错诶：add元素缺少name属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少name属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少source属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少source属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少title属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少title属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>"
"菜单配置错诶：add元素缺少action属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>","菜单配置错诶：add元素缺少action属性,文件：%{1} 配置示例： <add source=""Weline_Backend::dashboard"" name=""Dashboard"" title=""Dashboard"" action=""/"" icon=""mdi-home-variant-outline"" order=""999""/>"
