"HelpPay 购物车/结账/商品帮我付槽默认注入失败：%{1}","Gagal menyisipkan slot Bayar untuk saya di keranjang/checkout/produk: %{1}"
分享链接无效,"Tautan berbagi tidak valid"
朋友帮你选好了,"Teman memilih opsi untuk Anda"
帮我付链接无效,"Tautan Bayar untuk saya tidak valid"
帮他人付款,"Bayar untuk orang lain"
暂无可用支付方式。,"Tidak ada metode pembayaran yang tersedia."
付款账单地址,"Alamat penagihan"
选择账单地址,"Pilih alamat penagihan"
快捷购买链接已过期,"Tautan Beli sekarang kedaluwarsa"
快捷购买链接无效,"Tautan Beli sekarang tidak valid"
链接已过期,"Tautan kedaluwarsa"
链接不可用,"Tautan tidak tersedia"
该快捷购买链接已过期。请回到商品页或订单重新生成链接。,"Tautan Beli sekarang ini kedaluwarsa. Kembali ke halaman produk atau pesanan untuk membuat tautan baru."
该分享或代付链接已过期、撤销或无效。,"Tautan berbagi atau Bayar untuk saya ini kedaluwarsa, dicabut, atau tidak valid."
快捷购买,"Beli sekarang"
跨设备支付,"Bayar di perangkat lain"
复制链接或二维码，在另一台设备上打开并完成支付。,"Salin tautan atau QR, buka di perangkat lain, dan selesaikan pembayaran."
找朋友代付,"Minta teman membayar"
分享给朋友,"Bagikan dengan teman"
分享给朋友（帮选规格）,"Bagikan dengan teman (bantu pilih opsi)"
这与「帮我付」不同：朋友打开分享链接后，规格会进入朋友自己的购物车，由朋友自己填写地址、自己下单付款，订单归朋友。,"Berbeda dari Bayar untuk saya: saat tautan dibuka, opsi masuk ke keranjang teman. Teman mengisi alamat, memesan, dan memiliki pesanan."
同样支持复制链接或复制二维码图片分享。,"Anda juga dapat menyalin tautan atau gambar QR untuk berbagi."
帮我付隐私与地址,"Privasi dan alamat Bayar untuk saya"
为保护隐私，帮付订单在店面（含你自己的订单详情、待付页、成功页与代付页）均不展示收货地址详情。履约地址仅后台授权人员可见。,"Demi privasi, pesanan Bayar untuk saya tidak menampilkan detail alamat pengiriman di toko (termasuk detail, menunggu bayar, sukses, dan halaman pembayar). Alamat pemenuhan hanya terlihat oleh staf yang berwenang."
卡支付时，代付人填写的是自己的「付款账单地址」，不会写回你的收货地址。,"Untuk kartu, pembayar mengisi alamat penagihan sendiri. Tidak mengganti alamat pengiriman Anda."
代付人如何付款,"Cara pembayar membayar"
打开朋友发来的链接或扫描二维码。,"Buka tautan dari teman atau pindai QR."
查看订单摘要，选择物流方式（不展示收货地址）。,"Tinjau ringkasan dan pilih pengiriman (alamat disembunyikan)."
选择支付方式；如需卡支付，填写自己的付款账单地址。,"Pilih metode pembayaran; untuk kartu, isi alamat penagihan Anda."
完成支付后，提示为他人付款成功。,"Setelah pembayaran, Anda akan melihat bahwa Anda membayar untuk orang lain."
代付不可使用优惠券或积分。,"Kupon dan poin tidak dapat digunakan dengan Bayar untuk saya."
帮我付是什么,"Apa itu Bayar untuk saya"
帮我付让你在购物车或结账页生成付款请求，请朋友代付。订单始终归你；朋友只负责付款，不会把订单变成他自己的。,"Bayar untuk saya membuat permintaan pembayaran dari keranjang atau checkout agar teman membayar. Pesanan tetap milik Anda; teman hanya membayar dan tidak mengambil kepemilikan."
如何出链,"Cara membuat tautan"
填写并确认收货地址、勾选已阅读规则后，可复制链接地址或复制二维码图片发给对方。,"Setelah mengonfirmasi alamat dan menyetujui aturan, salin tautan atau gambar QR untuk dikirim."
不能做什么,"Yang tidak dapat Anda lakukan"
代付人不能使用优惠券/积分，不能修改收货地址，也不能把代付当成自己的购物车。,"Pembayar tidak dapat menggunakan kupon/poin, mengubah alamat pengiriman, atau memperlakukan ini sebagai keranjangnya sendiri."
帮我付,"Bayar untuk saya"
付款说明,"Panduan pembayaran"
隐私说明,"Catatan privasi"
应付金额,"Jumlah terutang"
收货地址已由发起人确认。,"Alamat pengiriman telah dikonfirmasi oleh pemohon."
物流方式,"Metode pengiriman"
请选择物流（仅影响运费，不展示收货地址）。,"Pilih pengiriman (hanya memengaruhi ongkir; alamat disembunyikan)."
配送方式,"Metode pengiriman"
标准配送,"Pengiriman standar"
加急配送,"Pengiriman ekspres"
支付方式,"Metode pembayaran"
请选择适合您的支付方式完成付款。,"Pilih metode pembayaran yang sesuai untuk menyelesaikan."
选择支付方式,"Pilih metode pembayaran"
暂无可用支付方式,"Tidak ada metode pembayaran yang tersedia"
卡支付时填写付款人自己的账单地址，不会写回收货地址。,"Untuk kartu, isi alamat penagihan pembayar. Tidak mengganti alamat pengiriman."
账单地址组件暂不可用，请稍后重试。,"Alamat penagihan sementara tidak tersedia. Coba lagi nanti."
确认付款,"Konfirmasi pembayaran"
返回首页,"Kembali ke beranda"
本人快捷购买,"Beli sekarang untuk Anda"
订单归属你本人。请在此页完成支付。,"Pesanan ini milik Anda. Selesaikan pembayaran di halaman ini."
"换设备支付（链接 / 二维码）","Bayar di perangkat lain (tautan / QR)"
立即支付,"Bayar sekarang"
付款链接,"Tautan pembayaran"
扫码付款,"Pindai untuk bayar"
快捷购买付款二维码,"QR pembayaran Beli sekarang"
复制后在浏览器打开，用你自己的账号完成支付,"Setelah menyalin, buka di browser dan bayar dengan akun Anda"
已复制，请自行打开链接付款,"Disalin. Buka tautan sendiri untuk membayar"
扫码后在本机打开付款页，完成你自己的支付,"Pindai untuk membuka halaman pembayaran di perangkat ini dan bayar sendiri"
已复制，可粘贴到本机浏览器打开付款,"Disalin. Tempel di browser perangkat ini untuk membayar"
分享给付款人,"Bagikan kepada pembayar"
复制链接或扫码分享当前规格,"Salin tautan atau pindai untuk membagikan opsi"
复制后，粘贴发给朋友即可打开这份规格,"Setelah menyalin, tempel dan kirim ke teman untuk membuka opsi ini"
已复制，可以分发给朋友,"Disalin. Anda dapat membagikannya kepada teman"
复制后，可直接把图片粘贴到聊天里发送,"Setelah menyalin, tempel gambar di chat untuk dikirim"
已复制，可直接粘贴图片到聊天里发送,"Disalin. Tempel gambar di chat untuk dikirim"
链接分享,"Bagikan tautan"
扫码分享,"Bagikan lewat QR"
分享二维码,"Bagikan QR"
链接地址,"URL tautan"
已复制,Disalin
复制失败,"Gagal menyalin"
复制链接,"Salin tautan"
复制没成功，请再点一次试试,"Gagal menyalin. Coba lagi"
复制二维码图片,"Salin gambar QR"
下载二维码,"Unduh QR"
复制没成功，请再点一次或改用下载,"Gagal menyalin. Coba lagi atau unduh"
纯分享,"Hanya berbagi"
朋友帮你选好了规格,"Teman memilih opsi untuk Anda"
了解分享给朋友,"Tentang Bagikan dengan teman"
将加入你自己的购物车并进入你的结账，订单归你。,"Item akan masuk ke keranjang dan checkout Anda. Pesanan milik Anda."
