"WLS PHP Manager","WLS PHP Manager"
"Invalid request method.","Invalid request method."
"WLS reload was not completed.","WLS reload was not completed."
"Project PHP profile save failed.","Project PHP profile save failed."
"php.ini apply failed.","php.ini apply failed."
"php.ini rollback failed.","php.ini rollback failed."
"PHP extension operation failed.","PHP extension operation failed."
"Runtime PHP","Runtime PHP"
Extensions,Extensions
Loaded,Loaded
"Project Profile","Project Profile"
Saved,Saved
Inherited,Inherited
Enabled,Enabled
Disabled,Disabled
"Project PHP profile saved.","Project PHP profile saved."
"Project PHP profile saved and WLS reload was requested.","Project PHP profile saved and WLS reload was requested."
"php.ini applied and backup created.","php.ini applied and backup created."
"No php.ini changes were needed.","No php.ini changes were needed."
"php.ini restored from backup.","php.ini restored from backup."
"PHP extension operation completed and audit record was written.","PHP extension operation completed and audit record was written."
"No PHP extension changes were needed.","No PHP extension changes were needed."
"PHP path fields contain unsafe characters.","PHP path fields contain unsafe characters."
"PHP max execution time must be between 0 and 86400 seconds.","PHP max execution time must be between 0 and 86400 seconds."
"PHP timezone contains unsafe characters.","PHP timezone contains unsafe characters."
"PHP list values may contain only letters, numbers, dot, dash, or underscore.","PHP list values may contain only letters, numbers, dot, dash, or underscore."
"This adapter only supports the bundled Windows PHP runtime.","This adapter only supports the bundled Windows PHP runtime."
"This extension is not in the WLS PHP Manager allowlist.","This extension is not in the WLS PHP Manager allowlist."
"The bundled extension DLL was not found for the selected extension.","The bundled extension DLL was not found for the selected extension."
"The extension already appears to be loaded or configured, so WLS will not add a duplicate extension line.","The extension already appears to be loaded or configured, so WLS will not add a duplicate extension line."
"Only extension lines created inside the WLS-managed block can be removed by this adapter.","Only extension lines created inside the WLS-managed block can be removed by this adapter."
Ready,Ready
"Adapter Blocked","Adapter Blocked"
"Guarded Adapter Ready","Guarded Adapter Ready"
"Guarded Adapter Blocked","Guarded Adapter Blocked"
"Managed by WLS","Managed by WLS"
"Not Managed by WLS","Not Managed by WLS"
"The guarded extension adapter is not ready.","The guarded extension adapter is not ready."
"The extension execution plan is incomplete.","The extension execution plan is incomplete."
"Unable to read the target php.ini file.","Unable to read the target php.ini file."
"No php.ini extension changes were needed.","No php.ini extension changes were needed."
"Unable to write the target php.ini file.","Unable to write the target php.ini file."
"The php.ini extension state could not be verified after writing.","The php.ini extension state could not be verified after writing."
"Extension line enabled in the WLS-managed php.ini block.","Extension line enabled in the WLS-managed php.ini block."
