无权限访问重定向前,无权限访问重定向前
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。
角色检查,角色检查
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。
"角色 ACL 条目加载后","角色 ACL 条目加载后"
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。","角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。"
"超管 ACL 旁路检查","超管 ACL 旁路检查"
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。"
角色权限保存前,角色权限保存前
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。","角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。"
角色列表过滤,角色列表过滤
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。","角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。"
"ACL 分配树行加载后","ACL 分配树行加载后"
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。","权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。"
所有标签,所有标签
搜索标签,搜索标签
id属性不能为空,id属性不能为空
未找到匹配标签,未找到匹配标签
移除,移除
acl标签缺少source属性,acl标签缺少source属性
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！"
使用示例：,使用示例：
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}"
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}"
(空),(空)
"【ACL 重复检测】模块: %{1}","【ACL 重复检测】模块: %{1}"
"发现以下重复的 source_id：","发现以下重复的 source_id："
"... 已省略更多重复（共 %{1} 个 source_id）","... 已省略更多重复（共 %{1} 个 source_id）"
"重复的 source_id: %{1}","重复的 source_id: %{1}"
首次出现:,首次出现:
"- 类: %{1}","- 类: %{1}"
"- 方法: %{1}","- 方法: %{1}"
"- 路由: %{1}","- 路由: %{1}"
"- 路由器: %{1}","- 路由器: %{1}"
"重复出现 (%{1} 次):","重复出现 (%{1} 次):"
"- 索引 #%{1}:","- 索引 #%{1}:"
"类: %{1}","类: %{1}"
"方法: %{1}","方法: %{1}"
"路由: %{1}","路由: %{1}"
"路由器: %{1}","路由器: %{1}"
"... 已省略 %{1} 条","... 已省略 %{1} 条"
"路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。","路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。"
"【ACL 重复检测】模块: %{1} (方法级别权限)","【ACL 重复检测】模块: %{1} (方法级别权限)"
"ACL catalog: framework Query compile refreshed before resource collection.",ACL目录：资源收集前刷新的框架查询编译。
请先登录,请先登录
用户已被禁用,用户已被禁用
"应用没有任何授权 scope","应用没有任何授权 scope"
应用无权进行该操作,应用无权进行该操作
用户不存在或已被删除,用户不存在或已被删除
用户没有分配角色,用户没有分配角色
你没有任何权限！请联系管理员！,你没有任何权限！请联系管理员！
"你无权进行该操作！你不具备：%{1} 操作权限！","你无权进行该操作！你不具备：%{1} 操作权限！"
你无权进行该操作,你无权进行该操作
"你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！","你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！"
你无权进行该操作！已将你带到你可访问的后台页面：%{1},你无权进行该操作！已将你带到你可访问的后台页面：%{1}
"超级管理员已拥有全部 ACL 权限，无需追加。","超级管理员已拥有全部 ACL 权限，无需追加。"
"已为超级管理员（role_id=1）授予 %{1} 条新权限。","已为超级管理员（role_id=1）授予 %{1} 条新权限。"
为超级管理员授予权限时出错：%{1},为超级管理员授予权限时出错：%{1}
管理权限,管理权限
