"WLS Database Manager","WLS Database Manager"
"Invalid request method.","Invalid request method."
"Source DBA connection profile was not found.","未找到源 DBA 连接配置。"
"Lifecycle SQL execution failed.","生命周期 SQL 执行失败。"
"Source database connection profile was not found.","未找到源数据库连接 Profile。"
"Restore rollback failed.","Restore rollback failed."
"Restore action failed.",恢复操作失败。
"Migration action failed.",迁移操作失败。
"SQL apply execution failed.","SQL 应用执行失败。"
"Database backup execution failed.",数据库备份执行失败。
"WLS reload was not completed.","WLS reload was not completed."
"Project database profile save failed.","Project database profile save failed."
"Database env apply failed.","数据库 env 应用失败。"
"Database env rollback failed.","数据库 env 回滚失败。"
"Database slave create failed.","数据库 slave 创建失败。"
"Database slave remove failed.","数据库 slave 移除失败。"
"No enabled project database profile was found.","No enabled project database profile was found."
"Database connection test failed.","Database connection test failed."
"Database profile was not found.","Database profile was not found."
"Confirm the database health probe with CHECK_DB_HEALTH before submitting.","提交前请勾选确认并输入 CHECK_DB_HEALTH 以运行数据库健康探测。"
"Database health probe failed.",数据库健康探测失败。
Default,Default
Configured,Configured
Empty,Empty
Ready,Ready
"Needs attention","Needs attention"
"Driver available","Driver available"
"PDO driver is not available","PDO driver is not available"
"Sandbox database config is available and may be used by the current runtime.","Sandbox database config is available and may be used by the current runtime."
"Configuration is read from app/etc/env.php.","Configuration is read from app/etc/env.php."
"No explicit database config was found; the framework fallback profile is shown.","No explicit database config was found; the framework fallback profile is shown."
Profiles,Profiles
Guard,Guard
Writable,Writable
Guarded,Guarded
"Database connection test passed.","Database connection test passed."
"Project database profile saved.","Project database profile saved."
"Project database profile saved and WLS reload was requested.","Project database profile saved and WLS reload was requested."
"Database env applied and backup created.","数据库 env 已应用并创建备份。"
"No database env changes were needed.","数据库 env 没有需要写入的变更。"
"Database env restored from backup.","数据库 env 已从备份恢复。"
"Database slave profile created and env backup created.","数据库 slave 配置已创建，并已创建 env 备份。"
"Database slave profile removed and env backup created.","数据库 slave 配置已移除，并已创建 env 备份。"
"Lifecycle SQL executed successfully.","生命周期 SQL 已成功执行。"
"Database backup completed successfully.",数据库备份已成功完成。
"Restore preflight passed.",恢复预检通过。
"Database restore completed successfully.",数据库恢复完成。
"Database restore rollback completed successfully.",数据库恢复回滚完成。
"Migration preflight passed; guarded MySQL migration import requires separate RUN_DB_MIGRATION confirmation.","迁移预检通过；受控 MySQL 迁移导入需要单独确认 RUN_DB_MIGRATION。"
"Database migration import completed successfully after pre-migration backup.",迁移前备份完成后，数据库迁移导入已成功完成。
"SQL apply completed successfully after pre-apply backup.","应用前备份后 SQL 应用已成功完成。"
"Database health probe passed.",数据库健康探测通过。
"SQLite path is required.","SQLite path is required."
"Database host, name, and username are required.","Database host, name, and username are required."
"Secret fields cannot contain control characters.","Secret fields cannot contain control characters."
"Database port must be between 1 and 65535.","数据库端口必须在 1 到 65535 之间。"
"Public schema only","仅 public schema"
"Not required",不需要
"Stored in Profile","已存入 Profile"
"Only in source env profile","仅存在于源 env 配置"
"Not configured",未配置
"Project Profile secret",项目配置密文
"Existing env password","沿用 env 密码"
"Empty password",空密码
"Existing slave","已有 slave"
"Direct db","直接 db"
Master/default,Master/default
"WLS Standalone Backend","WLS Standalone Backend"
"Database Manager","Database Manager"
"Database manager navigation","Database manager navigation"
Summary,Summary
Health,健康
"Project Profile","Project Profile"
Lifecycle,生命周期
"Backup Plan",备份计划
"Env Apply","Env 应用"
Slaves,Slaves
Test,Test
Marketplace,Marketplace
Dark,Dark
Light,Light
"WLS Panel Plugin","WLS Panel Plugin"
"Database profile readout and guarded connection checks for the selected WLS project context.","Database profile readout and guarded connection checks for the selected WLS project context."
"WLS Panel","WLS Panel"
"Project Admin","Project Admin"
"Project Health",项目健康
"Read-only readiness summary for the selected WLS database context. The guarded probe below only runs SELECT 1 and never runs migrations, applies SQL, restores data, or reloads WLS.","所选 WLS 数据库上下文的只读就绪摘要。下方受控探测只运行 SELECT 1，不会运行迁移、应用 SQL、恢复数据或重载 WLS。"
Attention,关注
Blocked,已阻断
"A database profile is required before running a health probe.","运行健康探测前需要数据库 Profile。"
"Probe Profile","探测 Profile"
"I understand this health probe opens a short read-only database connection.",我理解此健康探测会打开一次短暂的只读数据库连接。
"Health Probe Phrase",健康探测确认短语
"Run Health Probe",运行健康探测
