"Currency 查询器不支持的操作：%{1}","Unsupported Currency queryer operation: %{1}"
货币管理,"Currency Management"
"后台货币 CRUD（bin-query）","Backend currency CRUD (bin-query)"
删除货币,"Delete currency"
"货币 ID","Currency ID"
货币ID不能为空,"Currency ID cannot be empty"
货币不存在,"Currency does not exist"
不能删除基准货币,"Cannot delete base currency"
货币已删除,"Currency deleted"
删除失败：%{1},"Delete failed: %{1}"
已检测到货币配置入口可用；请确认默认币与汇率源。,"Currency config entry detected; please confirm default currency and FX source."
站点可用货币、默认币与汇率源。,"Site available currencies, default currency & FX source."
本地化,Localization
货币与汇率,"Currency & exchange rates"
id属性不能为空,"The id attribute cannot be empty"
点击选择货币（可多选）,"Click to select currencies (multiple selection allowed)"
点击选择货币,"Click to select a currency"
搜索货币代码、名称或符号,"Search currency code, name or symbol"
清空选择,"Clear selection"
"Currency ResourceChange Observer 只接受 v1 契约","Currency ResourceChange Observer only accepts v1 contracts"
自动汇率,"Automatic rates"
手动汇率,"Manual rates"
基准货币代码必须是3位大写字母,"Base currency code must be 3 uppercase letters"
Cron执行时间不能为空,"Cron execution time cannot be empty"
请先确认汇率对照表后再切换基准货币,"Please confirm the rate comparison table before switching the base currency"
基准货币未变更：请先在弹窗中确认各币种汇率对照后再切换。其它配置如有修改仍会保存。,"Base currency unchanged: please confirm each currency’s rate comparison in the dialog before switching. Other setting changes will still be saved."
配置已保存，正在应用已确认的汇率换算…,"Settings saved; applying confirmed rate conversions…"
"配置保存成功！已按已有汇率换算 %{1} 个货币（成功: %{2}, 失败: %{3}）","Settings saved successfully! Converted %{1} currencies using existing rates (success: %{2}, failed: %{3})"
"配置已保存，但换算货币汇率时出错: %{1}。请重试切换基准货币。","Settings saved, but converting currency rates failed: %{1}. Please retry switching the base currency."
配置保存成功！,"Configuration saved successfully!"
"配置保存失败: %{1}","Configuration save failed: %{1}"
API连接测试成功,"API Connection Test Successful"
API连接测试失败，请检查网络连接和API配置,"API connection test failed, please check network connection and API configuration"
网络连接失败，请检查服务器网络连接或防火墙设置,"Network connection failed, please check server network connection or firewall settings"
API服务暂时不可用，请稍后重试,"API service is temporarily unavailable, please try again later"
"API连接测试失败: %{1}","API connection test failed: %{1}"
当前为手动汇率模式，无法执行自动导入。,"Manual rate mode is active, automatic import is unavailable."
基准货币未设置，无法执行导入,"Base currency not set, cannot perform import"
"导入完成 - 总计: %d, 成功: %d, 失败: %d","Import completed - Total: %d, Success: %d, Failure: %d"
"导入失败: %{1}","Import failed: %{1}"
参数错误：基准货币代码不能为空,"Parameter error: Base currency code cannot be empty"
新旧基准货币相同，无需换算,"Old and new base currencies are the same; no conversion needed"
无法预览汇率换算,"Unable to preview rate conversion"
以下为切换基准货币后的汇率对照，确认后才会写入,"Rate comparison after switching the base currency; written only after confirmation"
"预览失败: %{1}","Preview failed: %{1}"
请先确认汇率对照后再应用,"Please confirm the rate comparison before applying"
参数错误：请提供不同的新旧基准货币,"Parameter error: please provide different old and new base currencies"
当前基准货币已变化，请刷新页面后重试,"The current base currency has changed; please refresh the page and try again"
开始切换基准货币并纠正汇率,"Start switching base currency and correcting rates"
正在保存货币配置…,"Saving currency settings…"
正在计算汇率对照…,"Calculating rate comparison…"
无法计算汇率对照,"Unable to calculate rate comparison"
汇率对照已就绪，开始逐币写入,"Rate comparison ready; writing currencies one by one"
汇率写入失败,"Failed to write exchange rates"
"基准货币已切换为 %{1}，成功纠正 %{2} 个货币（失败 %{3}）","Base currency switched to %{1}; successfully corrected %{2} currencies (failed %{3})"
切换基准货币失败,"Failed to switch base currency"
货币汇率更新完成,"Currency exchange rate update completed"
无效的请求,"Invalid request"
"更新失败: %{1}","Update failed: %{1}"
货币配置,"Currency Configuration"
settings,settings
货币模块配置管理,"Currency module configuration management"
查看配置,"View configuration"
查看货币配置,"View currency configuration"
测试API,"Test API"
测试汇率API连接,"Test exchange rate API connection"
link,link
手动导入,"Manual Import"
手动触发汇率导入,"Manually trigger exchange rate import"
download,download
更新汇率,"Update exchange rates"
refresh,refresh
更新所有货币汇率,"Update all currency exchange rates"
货币不存在！,"Currency does not exist!"
保存成功！,"Save successful!"
"保存失败: %{1}","Save failed: %{1}"
删除成功！,"Delete successful!"
"删除失败: %{1}","Delete failed: %{1}"
cash,cash
货币管理功能,"Currency management function"
查看货币列表,"View currency list"
添加货币,"Add Currency"
添加货币界面,"Add currency interface"
plus,plus
编辑货币,"Edit Currency"
编辑货币界面,"Edit currency interface"
edit,edit
添加货币请求,"Add currency request"
请求添加货币,"Request to add currency"
save,save
编辑货币请求,"Edit currency request"
请求编辑货币,"Request to edit currency"
"货币格式错误,示例:2,4","Currency format error, example: 2,4"
千分位分隔符不能为空,"Thousand separator cannot be empty"
小数分隔符不能为空,"Decimal separator cannot be empty"
"货币代码必须是3位大写字母（ISO 4217标准）","Currency code must be 3 uppercase letters (ISO 4217 standard)"
货币名称不能为空,"Currency name cannot be empty"
汇率必须在0到1000000之间,"Exchange rate must be between 0 and 1000000"
货币符号位置必须是left或right,"Currency symbol position must be left or right"
汇率政策,"Exchange-rate policy"
商品基准价按站点基准货币存储；前台按当前浏览货币换算后展示。,"Catalog prices are stored in the site base currency and converted for the active browsing currency."
手动模式下各币种汇率由运营维护；自动模式下可由授权渠道同步更新。,"In manual mode operators maintain rates; in automatic mode authorized providers may sync updates."
结账与支付以订单结算货币为准；可用支付渠道可能受币种与收货地区限制。,"Checkout and payment use the order settlement currency; available payment methods may depend on currency and shipping region."
支持的货币,"Supported currencies"
当前暂无已启用的前台货币。,"No storefront currencies are enabled yet."
基准货币,"Base currency"
系统,System
配置,Configuration
货币导入配置,"Currency Import Configuration"
配置货币汇率自动导入的相关设置,"Configure settings for automatic currency exchange rate import"
汇率模式,"Rate Mode"
"手动模式下，请在货币列表中维护各币种相对于 CNY 的汇率。","In manual mode, maintain each currency rate relative to CNY in the currency list."
"自动模式下，系统会以 CNY 为基准，通过 API / Cron / 手动导入更新汇率。","In automatic mode, the system uses CNY as the base and updates rates via API, cron, or manual import."
手动模式下，请在货币列表中维护各币种相对于当前基准货币的汇率。切换基准货币时，系统会按已有汇率比例自动换算到新基准。,"In manual mode, maintain each currency’s rate relative to the current base currency in the currency list. When switching the base currency, the system auto-converts to the new base using existing rate ratios."
启用自动导入,"Enable Auto Import"
启用后，系统将按照设定的时间自动从第三方API导入汇率,"When enabled, the system will automatically import exchange rates from third-party APIs at the scheduled time"
导入渠道,"Import Provider"
选择汇率数据来源,"Select exchange rate data source"
API密钥,"API Key"
如果使用付费API，请填写API密钥,"If using a paid API, please enter the API key"
测试连接,"Test Connection"
Cron执行时间,"Cron Schedule"
执行频率,"Execution Frequency"
执行时间,"Execution Time"
小时,Hour
分钟,Minute
星期,Weekday
日期,Day
Cron表达式,"Cron Expression"
"格式：分钟 小时 日 月 星期","Format: minute hour day month weekday"
"例如：0 2 * * * (每天凌晨2点)","Example: 0 2 * * * (2:00 AM daily)"
预览：,Preview:
Cron表达式：,"Cron Expression:"
警告：切换基准货币的影响,"Warning: Impact of Changing Base Currency"
切换前会弹出汇率对照表，列出每个货币从旧汇率到新汇率的纠正结果,"Before switching, a rate comparison table lists each currency’s correction from old rate to new rate"
"只有您点击「确认并应用这些汇率」后，才会写入新基准与纠正后的 rate","The new base and corrected rates are written only after you click “Confirm and apply these rates”"
取消则不改动数据库；手动/自动模式均走同一确认流程,"Cancel leaves the database unchanged; manual and automatic modes share the same confirmation flow"
我已了解，确认切换,"I understand, confirm switch"
取消，恢复原值,"Cancel, restore original value"
什么是基准货币？,"What is Base Currency?"
基准货币是汇率计算的基础货币，所有其他货币的汇率都是相对于基准货币计算的。,"Base currency is the reference currency for exchange rate calculations. All other currencies' rates are calculated relative to the base currency."
示例：,Example:
如果基准货币是,"If the base currency is"
USD汇率,"USD rate"
"表示：1美元 = 8人民币","means: 1 USD = 8 CNY"
CNY汇率,"CNY rate"
"表示：1人民币 = 0.125美元","means: 1 CNY = 0.125 USD"
如何选择基准货币？,"How to Choose Base Currency?"
选择您主要业务使用的货币（如：中国业务选择CNY，美国业务选择USD）,"Choose the currency used in your main business (e.g., CNY for China business, USD for US business)"
选择您网站/系统主要面向的地区货币,"Choose the currency of the region your website/system primarily targets"
选择您商品定价的主要货币,"Choose the primary currency for your product pricing"
最后导入时间,"Last Import Time"
保存配置,"Save Configuration"
确认汇率纠正对照,"Confirm rate correction comparison"
