企业邮箱邮件已发送,"Work mailbox email sent"
"后台代发或鉴权发信成功后派发；可携带 source / source_id 供业务闭环。","Dispatched after admin proxy or auth send succeeds; may carry source / source_id for business closure."
"Mail 查询器不支持的操作：%{1}","Mail query does not support operation: %{1}"
自建邮箱账号不存在或未启用,"The self-hosted mailbox account does not exist or is not active"
企业邮箱查询器,"Mail query provider"
"提供自建企业邮箱账号的 SMTP 配置查询和 fake 发信能力。","Provides SMTP configuration lookup and fake sending for self-hosted business mailbox accounts."
"查询可用于 SMTP 配置的自建邮箱账号","Query self-hosted mailbox accounts available for SMTP configuration"
搜索关键词,"Search keyword"
返回数量,"Result count"
"获取自建邮箱账号的 SMTP 自动配置","Get SMTP auto configuration for a self-hosted mailbox account"
邮箱账号ID,"Mailbox account ID"
"使用自建 fake 邮箱账号写入发件箱并投递本地收件箱","Write to Sent and deliver to local Inbox through a self-hosted fake mailbox account"
收件人,Recipient
主题,Subject
正文,Body
判断邮箱是否为本机已启用企业邮箱账号,"Check if email is an enabled local business account"
邮箱地址,"Email address"
列出本机已启用企业邮箱账号（无凭据）,"List enabled local business emails (no credentials)"
按业务来源加载邮件沟通线程,"Load email chat thread by business source"
业务来源,"Business source"
业务来源ID,"Business source ID"
写信浮层发送并写入业务线程,"Compose overlay send and write to business thread"
发件账号,"Sender account."
通信,通信
安装并启动邮局引擎,"Install and start mail engine"
开通邮局域名,"Enable mail domain"
"已有 %{1} 个 active 域名（例：%{2}）。真实域须从 Websites 候选选择。","%{1} active domain(s) (e.g. %{2}). Real domains must come from the Websites pool."
"已有域名记录但未 active。请在企业邮箱「域名与 DNS」启用域名。","Domain rows exist but none are active. Enable them under Enterprise Mail → Domains & DNS."
"尚未开通邮局域名。后台 → 企业邮箱管理 → 从 Websites 候选创建真实域；本机冒烟可用 .test/.invalid fake 域。","No mail domain yet. Backend → Enterprise Mail → create from Websites pool; use .test/.invalid fake for local smoke."
"配置邮箱 DNS","Configure mail DNS"
"请先开通并启用邮局域名，再配置 MX/SPF/DKIM/DMARC 与 mail 主机 A 记录（禁止橙云代理）。","Enable a mail domain first, then set MX/SPF/DKIM/DMARC and mail A (DNS-only, no orange cloud)."
"真实域 DNS 状态已记录为通过。仍建议抽测外域收发与 SPF/DKIM/DMARC。","Real-domain DNS recorded as pass. Still spot-check external delivery and SPF/DKIM/DMARC."
"域名 %{1} 需完成 DNS：A(mail)/MX/SPF/DKIM/DMARC；mail 主机必须 DNS-only。后台域名页可连 Cloudflare 一键应用，或 mail:dns:check。","Domain %{1} needs DNS: A(mail)/MX/SPF/DKIM/DMARC; mail host must be DNS-only. Use Cloudflare apply on the domain page or mail:dns:check."
开通邮局账号,"Provision mailbox accounts"
