清除筛选条件,"مسح عوامل التصفية"
部门,القسم
全部类目,"كل الفئات"
价格,السعر
查看更多,"عرض المزيد"
暂无可用筛选条件,"لا توجد عوامل تصفية متاحة"
朝代,السلالة
形制,"هيئة الهانفو"
汉服形制,"نظام طراز الهانفو"
类型,النوع
适用性别,الجنس
颜色,اللون
可选颜色,"الألوان المتاحة"
尺码,المقاس
大小,المقاس
可选尺码,"المقاسات المتاحة"
面料,القماش
织物,القماش
材质,الخامة
面料名称,القماش
主面料成分,"مكوّن القماش الرئيسي"
适用场合,المناسبة
场合,المناسبة
适用季节,الموسم
适合季节,"الموسم المناسب"
上市季节,"موسم الإطلاق"
风格,النمط
样式,النمط
造型风格,"نمط الإطلالة"
工艺,الحِرفة
面料工艺,"معالجة القماش"
图案,النقشة
品牌,"العلامة التجارية"
涤纶,بوليستر
雪纺,شيفون
汉服,هانفو
其他,أخرى
其它,أخرى
男女同款,للجنسين
男,رجال
女,نساء
男士,رجال
女士,نساء
中性,للجنسين
默认项,افتراضي
【云里春】上衣+裙子+披帛,"[Yunli Chun] قميص + تنورة + شال"
【亡国公主】战国袍+内搭+腰封,"[Fallen Princess] رداء الممالك المتحاربة + طبقة داخلية + حزام"
单件大袖衫,"قميص بأكمام واسعة فقط"
曳撒（不包括腰带）,"ييسا (بدون حزام)"
粉红色全套拽妃,"طقم تشوافي وردي كامل"
"【Koi Fireworks】Bik甲","[Koi Fireworks] Bikjia"
浅灰色,"رمادي فاتح"
浅蓝色,"أزرق فاتح"
紫粉色,"وردي أرجواني"
红色2,"أحمر 2"
翠竹蓝色,"أزرق الخيزران"
黄色,أصفر
100码,"مقاس 100"
110码,"مقاس 110"
110身高,"طول 110"
130厘米,"130 سم"
"L 身高165-170","L · طول 165-170"
S码3米摆,"S · حاشية 3م"
儿童120,"أطفال 120"
均码,"مقاس موحد"
普通舞台装,"زي مسرحي"
winter,شتاء
"【Shans寺桃花】Top + Skirt + Shawl","[Shansi Peach Blossom] قميص + تنورة + شال"
"【寄相思】Red wide-sleeved top + skirt","[Yearning Letter] قميص أحمر واسع الأكمام + تنورة"
七月夕服饰,"Qiyuexi Apparel"
华朝记,"Huachao Ji"
咔布奇妮,Kabuqini
尚玉,Shangyu
悦雅霓裳,"Yueya Nishang"
有香如故,"Youxiang Rugu"
梦然,Mengran
汉唐华韵,"Hantang Huayun"
舒语慕雅,"Shuyu Muya"
花朝记,"Huazhao Ji"
茗月萱,Mingyuexuan
茵卡蕾,Yinkalei
鑫耀,Xinyao
