需要帮助？,"مدد چاہیے؟"
访问,دیکھیں
客服邮箱：,"سپورٹ ای میل:"
客服电话：,"سپورٹ فون:"
服务时间：,"سروس اوقات:"
地址：,پتہ:
此邮件由系统自动发送，请勿直接回复。如非本人操作，请忽略本邮件。,"یہ پیغام خود بخود بھیجا گیا ہے۔ براہ کرم براہ راست جواب نہ دیں۔ اگر آپ اس کی توقع نہیں کر رہے تھے تو اسے نظر انداز کر سکتے ہیں۔"
来自商城的通知,"اسٹور سے ایک پیغام"
默认网站,"ڈیفالٹ ویب سائٹ"
默认店铺,"ڈیفالٹ اسٹور"
系统通知,"سسٹم نوٹیفکیشن"
通知内容,"نوٹیفکیشن مواد"
信息,معلومات
官方商城客户服务,"آفیشل اسٹور کسٹمر سروس"
"周一至周五 9:00 - 18:00","پیر–جمعہ 9:00–18:00"
"周一至周五 9:00 - 18:00（法定节假日除外）","پیر–جمعہ 9:00–18:00 (سرکاری تعطیلات کے علاوہ)"
默认渠道,ڈیفالٹ چینل
