翻译文本,"Translated Text"
"翻译文本事件，其他模块可以通过触发此事件来使用翻译服务。观察者会执行翻译并设置 translated_text 字段。","Translation text event. Other modules can use the translation service by triggering this event. Observers will perform the translation and set the translated_text field."
批量翻译,"Batch translate"
"批量翻译事件，其他模块可以通过触发此事件来批量翻译多个文本。观察者会执行批量翻译并设置 translated_texts 字段。","Batch translation event, other modules can trigger this event to batch translate multiple texts. Observers will perform batch translation and set the translated_texts field."
检测语言,"Detect language."
"语言检测事件，其他模块可以通过触发此事件来检测文本的语言。观察者会执行语言检测并设置 detected_language 字段。","Language detection event. Other modules can trigger this event to detect the language of the text. The observer will perform language detection and set the detected_language field."
翻译前,"Before translation"
翻译前事件，在调用翻译服务前触发，允许其他模块修改翻译参数（如源语言、目标语言、渠道等）。,"Pre-translation event, triggered before calling the translation service, allows other modules to modify translation parameters (e.g., source language, target language, channel, etc.)."
翻译后,"After translation"
翻译后事件，在翻译完成后触发，允许其他模块修改翻译结果或执行后处理操作。,"Post-translation event, triggered after translation is complete, allows other modules to modify translation results or perform post-processing operations."
翻译错误,"Translation error"
翻译错误事件，在翻译失败时触发，允许其他模块处理错误、实现降级方案等。,"Translation error event, triggered when translation fails, allowing other modules to handle errors, implement fallback strategies, etc."
批量翻译前,"Before batch translation"
批量翻译前事件，在调用批量翻译服务前触发，允许其他模块修改批量翻译参数。,"Before batch translation event, triggered before calling the batch translation service, allowing other modules to modify batch translation parameters."
批量翻译后,"After batch translation"
批量翻译后事件，在批量翻译完成后触发，允许其他模块修改翻译结果或执行后处理操作。,"After batch translation event, triggered after batch translation is completed, allowing other modules to modify translation results or perform post-processing operations."
批量翻译错误,"Batch translation error"
批量翻译错误事件，在批量翻译失败时触发，允许其他模块处理错误、实现降级方案等。,"Batch translation error event, triggered when batch translation fails, allowing other modules to handle errors, implement fallback strategies, etc."
"Unsupported translation operation: %{1}","Unsupported translation operation: %{1}"
"Text cannot be empty.","Text cannot be empty."
"Texts cannot be empty.","Texts cannot be empty."
"Translation service query provider","Translation service query provider"
"Provides frontend worker translation operations.","Provides frontend worker translation operations."
"Translate text through configured translation service.","Translate text through configured translation service."
"Translate multiple texts through configured translation service.","Translate multiple texts through configured translation service."
Google翻译API密钥未配置,"Google Translation API key not configured"
Google翻译响应格式错误,"Google Translation response format error"
Google翻译语言检测失败,"Google Translation language detection failed"
腾讯翻译API密钥未配置,"Tencent Translation API key not configured"
腾讯翻译API需要实现完整的签名算法，请参考腾讯云文档,"Tencent Translation API requires complete signature algorithm implementation, please refer to Tencent Cloud documentation"
腾讯翻译语言检测失败：%{1},"Tencent Translation Language Detection Failed: %{1}"
百度翻译API密钥未配置,"Baidu Translation API key not configured"
百度翻译错误：%{1},"Baidu Translation error: %{1}"
百度翻译响应格式错误,"Baidu Translation response format error"
百度翻译语言检测失败：%{1},"Baidu Translation language detection failed: %{1}"
Microsoft翻译API密钥未配置,"Microsoft Translation API key not configured"
Microsoft翻译响应格式错误,"Microsoft Translation response format error"
Microsoft翻译语言检测失败,"Microsoft Translation language detection failed"
有道翻译API密钥未配置,"Youdao Translation API key not configured"
有道翻译错误：%{1},"Youdao Translation error: %{1}"
有道翻译响应格式错误,"Youdao Translation response format error"
有道翻译语言检测失败：%{1},"Youdao Translation language detection failed: %{1}"
请求失败：%{1},"Request failed: %{1}"
请求失败，HTTP状态码：%{1},"Request failed, HTTP status code: %{1}"
响应解析失败：%{1},"Response parsing failed: %{1}"
DeepL翻译API密钥未配置,"DeepL Translation API key not configured"
DeepL翻译响应格式错误,"DeepL Translation response format error"
DeepL翻译语言检测失败：%{1},"DeepL Translation language detection failed: %{1}"
文本数组不能为空,"Text array cannot be empty"
目标语言不能为空,"Target language cannot be empty"
"事件处理异常: %{1}","Event processing exception: %{1}"
文本不能为空,"Text cannot be empty"
记录ID不能为空,"Record ID cannot be empty"
记录不存在,"Record does not exist"
删除成功！,"Deleted successfully!"
删除失败：%{1},"Delete failed: %{1}"
仅支持POST请求,"Only POST requests are supported"
请选择要删除的记录,"Please select records to delete"
"成功删除 %{1} 条记录","Successfully deleted %{1} records"
渠道不存在,"Channel does not exist"
配置保存成功！,"Configuration saved successfully!"
保存失败：%{1},"Save failed: %{1}"
渠道ID不能为空,"Channel ID cannot be empty"
未找到渠道适配器,"Channel adapter not found"
连接测试成功,"Connection test successful"
连接测试失败,"Connection test failed"
测试失败：%{1},"Test failed: %{1}"
没有有效的文本需要翻译,"No valid text to translate"
确认操作,确认操作
确定,Confirm
取消,Cancel
确定要删除此记录吗？,"Are you sure you want to delete this record?"
确定要删除选中的记录吗？,"Are you sure you want to delete the selected records?"
翻译记录管理,"Translation Record Management"
查看和管理翻译服务的使用记录和统计信息,"View and manage translation service usage records and statistics"
总记录数,"Total Records"
今日：%{1},"Today: %{1}"
成功记录,"Successful Records"
失败：%{1},"Failed: %{1}"
总字符数,"Total Characters"
总成本,"Total Cost"
今日：¥%{1},"Today: ¥%{1}"
筛选条件,"Filter Conditions"
渠道,Channel
全部,All
状态,Status
成功,Success
失败,Failed
待处理,Pending
源语言,"Source Language"
目标语言,"Target Language"
调用模块,"Calling Module"
开始日期,"Start Date"
结束日期,"End Date"
筛选,Filter
重置,Reset
翻译记录,"Translation Records"
批量删除,"Batch Delete"
导出统计,"Export Statistics"
暂无翻译记录,"No translation records"
ID,ID
源文本,"Source Text"
语言,Language
字符数,"Character Count"
成本,Cost
响应时间,"Response Time"
创建时间,"Created At"
操作,Actions
上一页,"Previous Page"
下一页,"Next Page"
提示,Prompt
翻译记录详情,"Translation Record Details"
返回列表,"Back to List"
基本信息,"Basic Information"
记录ID,"Record ID"
错误信息,"Error Message"
翻译内容,"Translation Content"
请求数据,"Request Data"
响应数据,"Response Data"
确定要删除此渠道配置吗？,"Are you sure you want to delete this channel configuration?"
翻译服务配置,"Translation Service Configuration"
配置和管理翻译服务渠道，支持Google、百度、DeepL、Microsoft等主流翻译服务,"Configure and manage translation service channels, supporting mainstream translation services such as Google, Baidu, DeepL, Microsoft, etc."
渠道列表,"Channel List"
添加渠道,"Add Channel"
暂无渠道配置,"No channel configuration"
渠道名称,"Channel Name"
渠道代码,"Channel Code"
默认,Default
优先级,Priority
启用,Enabled
禁用,Disabled
是,Yes
否,No
编辑,Edit
测试,Test
删除,Delete
测试中...,Testing...
测试成功,"Test Passed"
未知错误,"Unknown error"
测试失败,"Test failed"
编辑渠道配置,"Edit Channel Configuration"
添加渠道配置,"Add Channel Configuration"
渠道代码不可修改,"Channel code cannot be modified"
