无效的促销活动ID,"Invalid Promotion ID"
促销活动不存在或删除失败,"Campaign not found or delete failed"
删除成功,"Deleted successfully"
删除失败,"Delete failed"
促销活动不存在,"Campaign not found"
编辑促销活动,"Edit promotion"
添加促销活动,"Add Promotion"
促销活动管理,"Promotional Campaign Management"
上一页,Previous
下一页,Next
促销活动保存成功,"Campaign saved successfully"
保存促销活动失败,"Failed to save campaign"
结束时间必须晚于开始时间,"End time must be later than start time"
日期格式无效,"Invalid date format"
"Coupon dashboard","Coupon dashboard"
"Coupon saved successfully.","Coupon saved successfully."
"Failed to save coupon.","Failed to save coupon."
"Coupon code is required.","Coupon code is required."
"Coupon is not available.","Coupon is not available."
"Coupon applied successfully.","Coupon applied successfully."
"Promotion Hub","Promotion Hub"
"Today Deals","Today Deals"
"Seasonal Sale","Seasonal Sale"
"Homepage hero banner","Homepage hero banner"
"Inject content into the storefront homepage hero banner area.","Inject content into the storefront homepage hero banner area."
"Homepage deals before","Homepage deals before"
"Inject content before the homepage deals grid.","Inject content before the homepage deals grid."
"Homepage deals after","Homepage deals after"
"Inject content after the homepage deals grid.","Inject content after the homepage deals grid."
"Promotion page before content","Promotion page before content"
"Inject content before the promotion product grid on storefront promotion pages.","Inject content before the promotion product grid on storefront promotion pages."
"Promotion page after content","Promotion page after content"
"Inject content after the promotion product grid on storefront promotion pages.","Inject content after the promotion product grid on storefront promotion pages."
购物车优惠券,购物车优惠券
在购物车订单摘要优惠券区域渲染促销模块的优惠券入口。,在购物车订单摘要优惠券区域渲染促销模块的优惠券入口。
已结束,Ended
未开始,"Not started"
进行中,"In Progress"
优惠券不存在,"Coupon Does Not Exist"
优惠券不可用,"Coupon Unavailable"
"End date must be after start date.","End date must be after start date."
"Invalid date format.","Invalid date format."
"Flash Deal Spotlight","Flash Deal Spotlight"
"Prices update daily based on inventory and campaign windows.","Prices update daily based on inventory and campaign windows."
"Browse Deals","Browse Deals"
"Seasonal Sale Picks","Seasonal Sale Picks"
"Curated sale products chosen for checkout-ready savings.","Curated sale products chosen for checkout-ready savings."
"Open Sale","Open Sale"
基本信息,"Basic information"
活动名称,"Event Name"
请输入有效的活动名称,"Please enter a valid campaign name"
活动类型,"Event Type"
普通促销,"Normal promotion"
限时特惠,"Limited-Time Offer"
季节促销,"Seasonal promotion"
请选择活动类型,"Please select an activity type"
活动描述,"Event Description"
描述将显示在促销专区，用于吸引顾客参与,"Description Will Be Displayed in the Promotional Zone to Attract Customer Participation"
优先级,Priority
用于促销列表的排序，数字越大优先级越高,"Used for sorting the promotion list; higher numbers indicate higher priority"
折扣设置,"Discount Settings"
折扣类型,"Discount Type"
固定金额,"Fixed amount"
百分比,Percentage
买X送Y,"Buy X Get Y"
请选择折扣类型,"Select discount type"
折扣值,"Discount Value"
元,Meta
请输入有效的折扣值,"Please enter a valid discount value"
根据折扣类型不同，输入固定金额、百分比或买X送Y的数量,"Enter a fixed amount, percentage, or quantity for Buy X Get Y depending on the discount type"
最低消费金额,"Minimum spend amount"
订单金额达到此值才能享受此优惠,"The order amount must reach this value to qualify for this offer"
最大优惠金额,"Max Discount Amount"
设置最大优惠上限，0或不填表示无上限,"Set maximum discount limit; 0 or empty means no limit"
活动时间,"Event Time"
开始时间,"Start time"
留空则立即开始,"Leave blank to start immediately"
结束时间,"End time"
留空则永久有效,"Leave blank to be valid permanently"
关联商品,"Associated Items"
参与商品,"Participating Products"
留空则表示全场商品参与此促销活动,"Leave blank to indicate that all products in the store participate in this promotion"
参与分类,"Participating Categories"
留空则表示所有分类参与此促销活动,"Leave blank to indicate that all categories participate in this promotion"
其他设置,"Other settings"
状态,Status
启用,Enable
禁用,Disable
禁用的活动将不会显示在前台,"Disabled activities will not be displayed on the front end"
精选推荐,"Featured recommendations"
是,Yes
否,No
精选活动将优先展示在促销专区首页,"Featured events will be displayed first on the promotion zone homepage"
返回列表,"Return to List"
保存活动,"Save activity"
保存中...,Saving...
请输入活动名称,"Please enter the activity name"
请输入活动描述，用于前台显示给顾客,"Please enter the activity description, which will be displayed to customers on the front end"
数字越大排序越靠前,"Larger numbers sort higher"
请输入折扣值,"Enter discount value"
不限制则留空或填0,"If there is no limit, leave it blank or fill in 0"
不限制则留空,"Leave blank if not restricted"
选择开始时间,"Select Start Time"
选择结束时间,"Select End Time"
输入商品ID，多个用逗号分隔,"Enter product IDs, separated by commas"
输入分类ID，多个用逗号分隔,"Enter category IDs, separated by commas"
百分比折扣（1-100），系统会自动限制最高折扣金额,"Percentage discount (1-100), the system will automatically limit the maximum discount amount"
件,items
买X件享受优惠，X为输入的数字,"Buy X items to enjoy a discount, X is the entered number"
固定金额时表示减免的金额,"The amount deducted when using a fixed amount"
验证错误,"Verification error"
百分比折扣值必须在1-100之间,"Percentage discount value must be between 1 and 100"
确定,Confirm
WeShop,WeShop
促销管理,"Promotion Management"
促销活动,"Promotional Campaign"
添加活动,"Add Activity"
暂无促销活动，点击右上角添加活动开始使用,"No Promotions, Click the Top Right to Add an Activity to Get Started"
刷新,Refresh
保存,Save
搜索活动名称...,"Search Activity Name..."
清除搜索,"Clear search"
搜索,Search
折扣描述,"Discount Description"
操作,Operation
至,To
编辑,Edit
查看统计,"View Statistics"
统计,Statistics
删除,Delete
关闭,Close
确认删除,"Confirm deletion"
确定要删除促销活动,"Are you sure you want to delete the promotion"
取消,Cancel
成功,Success
错误,Error
网络错误，请稍后重试,"Network error, please try again later"
优惠券名称,"Coupon Name"
请输入有效的优惠券名称,"Please enter a valid coupon name"
优惠券代码,"Coupon Code"
生成代码,"Generate code"
请输入有效的优惠券代码（只允许字母、数字、下划线和连字符）,"Please enter a valid coupon code (only letters, numbers, underscores, and hyphens allowed)"
顾客结账时需输入此代码才能使用优惠券,"Customer must enter this code at checkout to use the coupon"
固定金额时表示减免的金额，百分比时表示折扣比例（1-100）,"The amount deducted when using a fixed amount, or the discount percentage (1-100) when using a percentage"
使用条件,"Usage conditions"
订单金额达到此值才能使用此优惠券,"The order amount must reach this value to use this coupon"
最大折扣金额,"Max Discount Amount"
百分比折扣时，最高可减免的金额上限,"Maximum discount amount for percentage discount"
使用次数限制,"Usage limit"
此优惠券最多可使用的次数，0或不填表示无限制,"The maximum number of times this coupon can be used; leave blank or 0 for unlimited"
禁用的优惠券将无法被顾客使用,"Disabled coupons will not be usable by customers"
有效期设置,"Validity period settings"
开始日期,"Start date"
留空则立即生效,"Leave blank to take effect immediately"
结束日期,"End date"
保存优惠券,"Save Coupon"
请输入优惠券名称,"Enter coupon name"
请输入优惠券代码，如：SAVE20,"Enter coupon code, e.g., SAVE20"
仅百分比折扣有效，不限制则留空,"Only percentage discounts are valid; leave blank if no limit"
选择开始日期,"Select Start Date"
选择结束日期,"Select End Date"
编辑优惠券,"Edit coupon"
添加优惠券,"Add coupon"
结束日期必须晚于开始日期,"End date must be later than start date"
优惠券管理,"Coupon Management"
优惠券,Coupon
暂无优惠券，点击右上角添加优惠券开始使用,"No Coupons, Click the Top Right to Add a Coupon to Get Started"
搜索优惠券名称、代码...,"Search coupon name, code..."
最低消费,"Minimum spend"
有效期,"Validity period"
确定要删除优惠券,"Are you sure you want to delete the coupon"
"Total coupons","Total coupons"
"Active coupons","Active coupons"
"Expired coupons","Expired coupons"
"Total redemption value","Total redemption value"
"Recent coupons","Recent coupons"
"No coupons yet.","No coupons yet."
Code,Code
Type,Type
Value,Value
Start,Start
End,End
Active,Active
Yes,Yes
No,No
"Need help choosing between offers? Add candidates to wishlist and compare before checkout.","Need help choosing between offers? Add candidates to wishlist and compare before checkout."
"Open Wishlist","Open Wishlist"
"Open Compare","Open Compare"
"Sale view prioritizes the strongest discount opportunities available now.","Sale view prioritizes the strongest discount opportunities available now."
"Deals view surfaces the latest low-price entries for fast comparison.","Deals view surfaces the latest low-price entries for fast comparison."
"Promotion hub combines campaign highlights and product-level savings in one flow.","Promotion hub combines campaign highlights and product-level savings in one flow."
