"HelpPay 购物车/结账/商品帮我付槽默认注入失败：%{1}","HelpPay failed to seed cart/checkout/product help-pay slots: %{1}"
分享链接无效,"Invalid share link"
朋友帮你选好了,"A friend picked options for you"
帮我付链接无效,"Invalid Help Pay link"
帮他人付款,"Pay for someone else"
暂无可用支付方式。,"No payment methods available."
付款账单地址,"Billing address"
选择账单地址,"Choose billing address"
快捷购买链接已过期,"Buy now link expired"
快捷购买链接无效,"Invalid buy now link"
链接已过期,"Link expired"
链接不可用,"Link unavailable"
该快捷购买链接已过期。请回到商品页或订单重新生成链接。,"This buy now link has expired. Return to the product or order page to create a new one."
该分享或代付链接已过期、撤销或无效。,"This share or Help Pay link has expired, been revoked, or is invalid."
快捷购买,"Buy now"
跨设备支付,"Pay on another device"
复制链接或二维码，在另一台设备上打开并完成支付。,"Copy the link or QR code, open it on another device, and complete payment."
当前货币暂不可用,"Current currency unavailable"
找朋友代付,"Ask a friend to pay"
分享给朋友,"Share with friends"
分享给朋友（帮选规格）,"Share with friends (help pick options)"
这与「帮我付」不同：朋友打开分享链接后，规格会进入朋友自己的购物车，由朋友自己填写地址、自己下单付款，订单归朋友。,"Unlike Help Pay: when a friend opens the share link, the options go into their cart. They enter their address, place the order, and own it."
同样支持复制链接或复制二维码图片分享。,"You can also copy the link or QR image to share."
帮我付隐私与地址,"Help Pay privacy and address"
为保护隐私，帮付订单在店面（含你自己的订单详情、待付页、成功页与代付页）均不展示收货地址详情。履约地址仅后台授权人员可见。,"For privacy, Help Pay orders never show shipping address details on the storefront (including your order details, unpaid, success, and payer pages). Fulfillment address is visible only to authorized staff."
卡支付时，代付人填写的是自己的「付款账单地址」，不会写回你的收货地址。,"For card payments, the payer enters their own billing address. It will not overwrite your shipping address."
代付人如何付款,"How the payer pays"
打开朋友发来的链接或扫描二维码。,"Open the link from your friend or scan the QR code."
查看订单摘要，选择物流方式（不展示收货地址）。,"Review the order summary and choose shipping (address hidden)."
选择支付方式；如需卡支付，填写自己的付款账单地址。,"Choose a payment method; for card payments, enter your own billing address."
完成支付后，提示为他人付款成功。,"After payment, you’ll see a success message that you paid for someone else."
代付不可使用优惠券或积分。,"Coupons and loyalty points cannot be used for Help Pay."
帮我付是什么,"What is Help Pay"
帮我付让你在购物车或结账页生成付款请求，请朋友代付。订单始终归你；朋友只负责付款，不会把订单变成他自己的。,"Help Pay lets you create a payment request from cart or checkout so a friend can pay. The order stays yours; your friend only pays and does not take ownership."
如何出链,"How to create a link"
填写并确认收货地址、勾选已阅读规则后，可复制链接地址或复制二维码图片发给对方。,"After confirming the shipping address and accepting the rules, copy the link or QR image to send."
不能做什么,"What you cannot do"
代付人不能使用优惠券/积分，不能修改收货地址，也不能把代付当成自己的购物车。,"The payer cannot use coupons or points, change the shipping address, or treat Help Pay as their own cart."
帮我付,"Help Pay"
付款说明,"Payment guide"
隐私说明,"Privacy notes"
应付金额,"Amount due"
收货地址已由发起人确认。,"The shipping address was confirmed by the requester."
物流方式,"Shipping method"
请选择物流（仅影响运费，不展示收货地址）。,"Choose shipping (affects shipping cost only; address is hidden)."
配送方式,"Delivery method"
标准配送,"Standard shipping"
加急配送,"Express shipping"
支付方式,"Payment method"
请选择适合您的支付方式完成付款。,"Choose a payment method that works for you to complete payment."
选择支付方式,"Choose payment method"
暂无可用支付方式,"No payment methods available"
卡支付时填写付款人自己的账单地址，不会写回收货地址。,"For card payments, enter the payer’s own billing address. It will not overwrite the shipping address."
账单地址组件暂不可用，请稍后重试。,"Billing address is temporarily unavailable. Please try again later."
确认付款,"Confirm payment"
返回首页,"Back to home"
本人快捷购买,"Buy now for yourself"
订单归属你本人。请在此页完成支付。,"This order belongs to you. Complete payment on this page."
"本机测试支付将即时完成并进入成功页（Fake result=Paid）。","Local test payment completes immediately and opens the success page (Fake result=Paid)."
"换设备支付（链接 / 二维码）","Pay on another device (link / QR)"
立即支付,"Pay now"
付款链接,"Payment link"
扫码付款,"Scan to pay"
快捷购买付款二维码,"Buy now payment QR code"
复制后在浏览器打开，用你自己的账号完成支付,"After copying, open in a browser and pay with your own account"
已复制，请自行打开链接付款,"Copied. Open the link yourself to pay"
扫码后在本机打开付款页，完成你自己的支付,"Scan to open the payment page on this device and pay yourself"
已复制，可粘贴到本机浏览器打开付款,"Copied. Paste into a browser on this device to pay"
分享给付款人,"Share with payer"
复制链接或扫码分享当前规格,"Copy the link or scan to share the selected options"
