域名不能为空,"Domain cannot be empty"
请选择域名商账号,请选择域名商账号
跳过购买（使用已有域名）,跳过购买（使用已有域名）
"开始购买域名: %{1}","开始购买域名: %{1}"
创建配置订单失败,创建配置订单失败
配置失败,配置失败
"配置订单已创建，订单号: #%{1}","配置订单已创建，订单号: #%{1}"
"域名购买成功，订单号: #%{1}","域名购买成功，订单号: #%{1}"
"开始配置 DNS...","开始配置 DNS..."
"DNS 配置完成","DNS 配置完成"
"DNS 配置需要手动处理","DNS 配置需要手动处理"
"开始绑定 CDN...","开始绑定 CDN..."
"CDN 绑定成功","CDN binding succeeded"
"正在切换 NS 服务器...","正在切换 NS 服务器..."
"NS 服务器切换成功","NS 服务器切换成功"
"NS 切换失败: %{1}","NS 切换失败: %{1}"
"CDN 绑定失败","CDN 绑定失败"
验证域名解析...,验证域名解析...
"服务器 IP: %{1}","服务器 IP: %{1}"
"域名解析成功: %{1} -> %{2}","域名解析成功: %{1} -> %{2}"
"等待 DNS 生效... (%{1}/6)","等待 DNS 生效... (%{1}/6)"
"DNS 可能尚未生效，请稍后手动验证","DNS 可能尚未生效，请稍后手动验证"
验证网站可访问性...,验证网站可访问性...
网站可正常访问,网站可正常访问
"网站暂时无法访问，DNS 可能仍在传播中","网站暂时无法访问，DNS 可能仍在传播中"
"开始申请 SSL 证书...","开始申请 SSL 证书..."
"SSL 证书申请成功","SSL 证书申请成功"
"SSL 证书申请需要进一步验证","SSL 证书申请需要进一步验证"
"跳过 SSL 证书申请","跳过 SSL 证书申请"
一站式配置完成！,一站式配置完成！
"配置过程发生错误: %{1}","配置过程发生错误: %{1}"
全部,All
待处理,Pending
购买中,Purchasing
DNS,DNS
CDN,CDN
SSL,SSL
已完成,Completed
失败,Failed
域名生命周期编排,域名生命周期编排
"轮询域名生命周期订单，推进 DNS、解析、验证与 HTTPS 流程","轮询域名生命周期订单，推进 DNS、解析、验证与 HTTPS 流程"
