"Shipment Management","Shipment Management"
"Shipment ID is required.","Shipment ID is required."
"Shipment not found.","Shipment not found."
"Shipment Tracking","Shipment Tracking"
"Failed to load shipment tracking.","Failed to load shipment tracking."
"Tracking Management","Tracking Management"
"Tracking saved.","Tracking saved."
"Tracking save failed.","Tracking save failed."
订单ID不能为空,订单ID不能为空
Pending,Pending
"Picked Up","Picked Up"
"In Transit","In Transit"
"Out for Delivery","Out for Delivery"
Delivered,Delivered
Exception,Exception
"Order ID is required.","Order ID is required."
"Tracking number is required.","Tracking number is required."
"Carrier is required.","Carrier is required."
"Unsupported tracking status.","Unsupported tracking status."
"Maintain shipment events and let customer-facing tracking stay up to date.","Maintain shipment events and let customer-facing tracking stay up to date."
"Edit Tracking Event","Edit Tracking Event"
"Create Tracking Event","Create Tracking Event"
"Order ID","Order ID"
"Tracking Number","Tracking Number"
Carrier,Carrier
Status,Status
Location,Location
Description,Description
"Save Tracking Event","Save Tracking Event"
"All carriers","All carriers"
"All statuses","All statuses"
"Apply Filters","Apply Filters"
Reset,Reset
"Tracked At","Tracked At"
Actions,Actions
Edit,Edit
"No tracking events found.","No tracking events found."
"Create the first tracking event to start the logistics timeline.","Create the first tracking event to start the logistics timeline."
WeShop,WeShop
Logistics,Logistics
Shipments,Shipments
"Total Shipments","Total Shipments"
Shipped,Shipped
"Filter Shipments","Filter Shipments"
"Enter order ID","Enter order ID"
"Enter tracking number","Enter tracking number"
"All Carriers","All Carriers"
"All Statuses","All Statuses"
"Shipment List","Shipment List"
Export,Export
"No shipments found","No shipments found"
"Shipment ID","Shipment ID"
"Items Count","Items Count"
"Shipped At","Shipped At"
"Delivered At","Delivered At"
Track,Track
View,View
Previous,Previous
Next,Next
"Page %{1} of %{2}","Page %{1} of %{2}"
Tracking,Tracking
"Shipment Information","Shipment Information"
Copy,Copy
"Current Status","Current Status"
"Estimated Delivery","Estimated Delivery"
"Tracking Timeline","Tracking Timeline"
"No tracking information available","No tracking information available"
"Status Update","Status Update"
"Detailed Records","Detailed Records"
Time,Time
"Tracking number copied!","Tracking number copied!"
