已选文件:,"Selected file:"
点击下载,"Click to download."
"file-image 节点缺少类型化 usage。","The file-image node is missing typed usage."
"图片运行时解析缺少显式 ScopeIdentity。","Image runtime resolution is missing an explicit ScopeIdentity."
图片语境语言与当前布局语言不一致。,"Image context language does not match the current layout language."
"所指定的文件管理器不存在! 文件管理器名：%{1}","The specified file manager does not exist! File manager name: %{1}"
"使用：%{1} 文件管理器代替。","Use: %{1} file manager instead."
未找到可用的文件管理器实现。,"No available file manager implementation was found."
文件管理器标签不能包含</file-manager>标签。只能使用<file-manager/>标签。,"File manager tags cannot contain the </file-manager> tag. Only the <file-manager/> tag can be used."
缺少目标ID。文档：%{1},"Missing target ID. Document: %{1}"
"缺少目标ID。请使用ID选择器，例如：target=""#id""。文档：%{1}","Missing target ID. Please use an ID selector, e.g.: target=""#id"". Document: %{1}"
"FileAsset 哈希回填读取到无效数据。","FileAsset 哈希回填读取到无效数据。"
"FileAsset 哈希回填无数据进展。","FileAsset 哈希回填无数据进展。"
"FileAsset 旧数据无效，升级已停止。","FileAsset 旧数据无效，升级已停止。"
"FileAsset 旧存储身份无效，升级已停止。","FileAsset 旧存储身份无效，升级已停止。"
"FileAsset 旧数据存在重复存储对象身份，升级已停止。","FileAsset 旧数据存在重复存储对象身份，升级已停止。"
"FileAsset 存储身份哈希回填校验失败。","FileAsset 存储身份哈希回填校验失败。"
"FileAsset 旧数据超过安全升级上限。","FileAsset 旧数据超过安全升级上限。"
"FileAsset 旧数据预检无数据进展。","FileAsset 旧数据预检无数据进展。"
无法读取旧媒体文件：%{1},"Unable to read the legacy media file: %{1}"
无法计算旧媒体文件校验值：%{1},"Unable to calculate the legacy media file checksum: %{1}"
旧媒体文件校验连续无数据进展：%{1},"Legacy media file verification made no progress: %{1}"
"WLS 文件管理器","WLS file manager"
"WLS 文件管理器源码回收：%{1}","WLS File Manager source trash: %{1}"
"WLS source archive: %{1}","WLS source archive: %{1}"
"WLS source directory archive: %{1}","WLS source directory archive: %{1}"
"WLS source selection archive: %{1}","WLS source selection archive: %{1}"
文件不可读取。,"The file is not readable."
文件超过下载大小限制。,"The file exceeds the download size limit."
"WLS 文件管理器压缩：%{1}","WLS File Manager compression: %{1}"
"WLS 文件管理器回收：%{1}","WLS File Manager trash: %{1}"
项目根目录,"Project Root"
"当前 Weline 项目的根目录。后续文件列表、上传和删除都必须受路径白名单约束。","The current Weline project root. Future file listing, uploads, and deletes must be constrained by path allowlists."
"Panel Instance Root","Panel Instance Root"
"Resolved from the WLS Panel managed project registry; the root is read-only and child var/pub roots are write-gated separately.","Resolved from the WLS Panel managed project registry; the root is read-only and child var/pub roots are write-gated separately."
"Current Weline project root; directory browsing is restricted to approved root cards.","Current Weline project root; directory browsing is restricted to approved root cards."
"Child Project var","Child Project var"
"Child project runtime files; controlled writes require ACL, confirmation, extension checks, and operation audit logs.","Child project runtime files; controlled writes require ACL, confirmation, extension checks, and operation audit logs."
"Child Project pub","Child Project pub"
"Child project public assets root; controlled writes require ACL, confirmation, extension checks, and operation audit logs.","Child project public assets root; controlled writes require ACL, confirmation, extension checks, and operation audit logs."
模块目录,"Module Directory"
框架模块源码目录，仅作为只读路径上下文展示。,"Framework module source directory, shown only as read-only path context."
运行时目录,"Runtime Directory"
缓存、日志、队列和临时运行数据所在目录。,"Directory for cache, logs, queues, and temporary runtime data."
公开目录,"Public Directory"
静态资源和公开媒体入口目录。,"Entry directory for static assets and public media."
可访问,Accessible
未找到,"Not found"
受控写入根目录,"Controlled Write Root"
只读根目录,"Read-only Root"
没有可浏览的根目录。,"No browsable root directory is available."
所选路径不在允许的根目录内，已回到根目录。,"The selected path is outside the allowed root directories, so the browser returned to the root."
当前目录不可读取。,"The current directory is not readable."
当前目录读取失败。,"The current directory could not be read."
此文件类型暂不支持预览。,"This file type cannot be previewed yet."
此文件看起来是二进制内容，暂不支持预览。,"This file appears to be binary content and cannot be previewed yet."
预览内容已截断，不能直接编辑。,"The preview content is truncated and cannot be edited directly."
目标路径不在允许的根目录内。,"The target path is outside the allowed root."
目标文件不可写。,"The target file is not writable."
文件扩展名不在源码编辑白名单内。,"The file extension is not in the source edit allowlist."
文件路径无效或不在允许的根目录内。,"The file path is invalid or outside the allowed root directories."
没有可写入的根目录。,"No writable root directory is available."
所选根目录当前为只读。,"The selected root is currently read-only."
写入目录无效或不在允许的根目录内。,"The write directory is invalid or outside the allowed root."
当前目录不可写。,"The current directory is not writable."
源码编辑策略未允许当前根目录。,"The source edit policy does not allow the current root."
源码文件名无效或扩展名不在允许列表内。,"The source file name is invalid or its extension is not allowed."
源码编辑路径被策略保护。,"The source edit path is protected by policy."
源码改名需要提供不同的新名称。,"Source rename requires a different new name."
源码编辑只允许修改已存在文件。,"Source editing can only modify existing files."
目标源码文件已存在。,"The target source file already exists."
"源码回收仅允许小于 128 KB 的单个源码文件。","Source trash only allows one source file smaller than 128 KB."
"Source policy does not allow the selected root.","Source policy does not allow the selected root."
"Source file name or extension is not allowed.","Source file name or extension is not allowed."
"Source directory is invalid or outside the selected root.","Source directory is invalid or outside the selected root."
"Source path is protected by policy.","Source path is protected by policy."
"Source archive requires an existing readable file.","Source archive requires an existing readable file."
"Source archive only allows one source file smaller than 128 KB.","Source archive only allows one source file smaller than 128 KB."
"Source directory name is invalid.","Source directory name is invalid."
"Source archive requires an existing readable directory.","Source archive requires an existing readable directory."
"Source selection is invalid.","Source selection is invalid."
"Source selection requires existing readable entries.","Source selection requires existing readable entries."
"Source archive only allows source files smaller than 128 KB.","Source archive only allows source files smaller than 128 KB."
"文本内容超过 128 KB 或包含二进制空字节。","Text content exceeds 128 KB or contains binary null bytes."
"No writable root is available.","No writable root is available."
"Selected root is read-only.","Selected root is read-only."
"File path is invalid or outside the selected root.","File path is invalid or outside the selected root."
"Target parent directory is not writable.","Target parent directory is not writable."
"File uploaded.","File uploaded."
"Entry renamed.","Entry renamed."
"Entry deleted.","Entry deleted."
"Directory tree deleted.","Directory tree deleted."
"Archive created.","Archive created."
"Large-file compression queue created.","Large-file compression queue created."
"Recoverable trash queue created.","Recoverable trash queue created."
"Trash entry restored.","Trash entry restored."
回收条目已永久清理。,"Trash entry permanently purged."
路径策略已保存。,"Path policy saved."
路径策略已恢复默认继承。,"Path policy reset to default inheritance."
目录已创建。,"Directory created."
文本文件已保存。,"Text file saved."
源码文件已保存。,"Source file saved."
源码文件已创建。,"Source file created."
源码文件已重命名。,"Source file renamed."
源码文件已移入可恢复回收站。,"Source file moved to recoverable trash."
"Source archive queue created.","Source archive queue created."
"Source directory archive queue created.","Source directory archive queue created."
"Source selection archive queue created.","Source selection archive queue created."
"Upload file","Upload file"
"Rename entry","Rename entry"
"Delete entry","Delete entry"
"Delete directory tree","Delete directory tree"
"Compress entry","Compress entry"
"Queued compression","Queued compression"
"Queued trash move","Queued trash move"
"Restore trash entry","Restore trash entry"
"Purge trash entry","Purge trash entry"
"Save path policy","Save path policy"
