"Challenge token and code are required.","Challenge token and code are required."
"Challenge verification succeeded.","Challenge verification succeeded."
"Challenge verification failed.","Challenge verification failed."
"Username or email and password are required.","Username or email and password are required."
"Google authorization code is required.","Google authorization code is required."
"Refresh token is required.","Refresh token is required."
"API key and secret are required.","API key and secret are required."
"Unsupported grant type.","Unsupported grant type."
"Authentication succeeded.","Authentication succeeded."
"Authentication failed.","Authentication failed."
"Access token is required.","Access token is required."
"Logout succeeded.","Logout succeeded."
"Logout failed.","Logout failed."
"Current actor resolved.","Current actor resolved."
"Unable to resolve current actor.","Unable to resolve current actor."
账号安全,"Account Security"
"Your backend session is no longer available. Please sign in again.","Your backend session is no longer available. Please sign in again."
"Two-Factor Authentication","Two-Factor Authentication"
"Unsupported two-factor action.","Unsupported two-factor action."
"Please scan the QR code and enter the current authenticator code.","Please scan the QR code and enter the current authenticator code."
"Two-factor authentication is now enabled for your backend account.","Two-factor authentication is now enabled for your backend account."
"The authenticator code is invalid. Please try again.","The authenticator code is invalid. Please try again."
"Enter the current authenticator code to disable two-factor authentication.","Enter the current authenticator code to disable two-factor authentication."
"Two-factor authentication has been disabled for your backend account.","Two-factor authentication has been disabled for your backend account."
"The authenticator code is invalid. Two-factor authentication was not disabled.","The authenticator code is invalid. Two-factor authentication was not disabled."
"Enter the current authenticator code to regenerate backup codes.","Enter the current authenticator code to regenerate backup codes."
"The authenticator code is invalid. Backup codes were not regenerated.","The authenticator code is invalid. Backup codes were not regenerated."
"New backup codes were generated. Save them before you leave this page.","New backup codes were generated. Save them before you leave this page."
"后台登录挑战 token 缺失。","The backend login challenge token is missing."
后台登录挑战无效或已过期。,"The backend login challenge is invalid or has expired."
请输入验证码。,"Please enter the verification code."
双因素验证已通过。,"Two-factor verification succeeded."
"Your customer session is no longer available. Please sign in again.","Your customer session is no longer available. Please sign in again."
"Two-factor authentication is now enabled for your storefront account.","Two-factor authentication is now enabled for your storefront account."
"Two-factor authentication has been disabled for your storefront account.","Two-factor authentication has been disabled for your storefront account."
后台账号安全卡片,"Backend account security cards"
在后台账号安全中心注入登录安全模块，例如双因素认证、第三方登录绑定和会话管理。,"Inject sign-in security modules into the backend account security center, such as two-factor authentication, third-party sign-in binding, and session management."
"Unsupported area: %{1}","Unsupported area: %{1}"
"Refresh token is invalid or expired.","Refresh token is invalid or expired."
"Unable to resolve refreshed access token.","Unable to resolve refreshed access token."
"The 2FA code is invalid.","The 2FA code is invalid."
"Access token is invalid.","Access token is invalid."
"Invalid credentials.","Invalid credentials."
验证码无效。,"The verification code is invalid."
该验证挑战不属于后台登录。,"The challenge does not belong to a backend login."
该验证挑战关联的后台账号已不存在。,"The backend account for this challenge no longer exists."
后台账号不可用。,"The backend account is unavailable."
该后台账号没有角色，无法登录。,"This backend account has no role and cannot sign in."
"Google login failed.","Google login failed."
"Invalid integration credentials.","Invalid integration credentials."
双因素认证,"Two-Factor Authentication"
验证器应用,"Authenticator App"
当前已开启,"Currently Enabled"
当前未开启,"Currently Disabled"
此后台账号已配置验证器应用，登录策略开启后会要求第二步验证。,"This backend account has an authenticator app configured. A second verification step will be required when the sign-in policy is enabled."
现在可先完成配置，待后台登录策略开启后即可要求第二步验证。,"You can configure it now so the backend sign-in policy can require a second verification step once enabled."
后台登录策略,"Backend Sign-In Policy"
密码登录,"Password Login"
已启用,Enabled
默认关闭,"Disabled by default"
