"Challenge token and code are required.","Challenge token and code are required."
"Challenge verification succeeded.",挑战验证成功。
"Challenge verification failed.",挑战验证失败。
"Username or email and password are required.",用户名或邮箱和密码不能为空。
"Google authorization code is required.","Google 授权码不能为空。"
"Refresh token is required.",刷新令牌不能为空。
"API key and secret are required.","API 密钥和密钥不能为空。"
"Unsupported grant type.",不支持的授权类型。
"Authentication succeeded.",认证成功。
"Authentication failed.",认证失败。
"Access token is required.","Access token is required."
"Logout succeeded.",登出成功。
"Logout failed.",登出失败。
"Current actor resolved.",当前用户已解析。
"Unable to resolve current actor.",无法解析当前用户。
账号安全,账号安全
"Your backend session is no longer available. Please sign in again.",您的后台会话已失效，请重新登录。
"Two-Factor Authentication",两步验证
"Unsupported two-factor action.",不支持的两步验证操作。
"Please scan the QR code and enter the current authenticator code.",请扫描二维码并输入当前的验证码。
"Two-factor authentication is now enabled for your backend account.",您的后台账户已启用两步验证。
"The authenticator code is invalid. Please try again.",验证码无效，请重试。
"Enter the current authenticator code to disable two-factor authentication.",请输入当前验证码以禁用两步验证。
"Two-factor authentication has been disabled for your backend account.",您的后台账户已禁用两步验证。
"The authenticator code is invalid. Two-factor authentication was not disabled.",验证码无效，两步验证未被禁用。
"Enter the current authenticator code to regenerate backup codes.",请输入当前验证码以重新生成备用码。
"The authenticator code is invalid. Backup codes were not regenerated.",验证码无效，备用码未重新生成。
"New backup codes were generated. Save them before you leave this page.",已生成新备用码。在离开此页面之前请保存它们。
"后台登录挑战 token 缺失。","后台登录挑战 token 缺失。"
后台登录挑战无效或已过期。,后台登录挑战无效或已过期。
请输入验证码。,请输入验证码。
双因素验证已通过。,双因素验证已通过。
"Your customer session is no longer available. Please sign in again.",您的客户会话已失效，请重新登录。
"Two-factor authentication is now enabled for your storefront account.",您的店铺账户已启用两步验证。
"Two-factor authentication has been disabled for your storefront account.",您的店铺账户已禁用两步验证。
后台账号安全卡片,后台账号安全卡片
在后台账号安全中心注入登录安全模块，例如双因素认证、第三方登录绑定和会话管理。,在后台账号安全中心注入登录安全模块，例如双因素认证、第三方登录绑定和会话管理。
"Unsupported area: %{1}",不支持的区域：%{1}
"Refresh token is invalid or expired.",刷新令牌无效或已过期。
"Unable to resolve refreshed access token.",无法解析刷新的访问令牌。
"The 2FA code is invalid.",两步验证码无效。
"Access token is invalid.",访问令牌无效。
"Invalid credentials.",凭证无效。
验证码无效。,验证码无效。
该验证挑战不属于后台登录。,该验证挑战不属于后台登录。
该验证挑战关联的后台账号已不存在。,该验证挑战关联的后台账号已不存在。
后台账号不可用。,后台账号不可用。
该后台账号没有角色，无法登录。,该后台账号没有角色，无法登录。
"Google login failed.","Google 登录失败。"
"Invalid integration credentials.",集成凭证无效。
双因素认证,双因素认证
验证器应用,验证器应用
当前已开启,当前已开启
当前未开启,当前未开启
此后台账号已配置验证器应用，登录策略开启后会要求第二步验证。,此后台账号已配置验证器应用，登录策略开启后会要求第二步验证。
现在可先完成配置，待后台登录策略开启后即可要求第二步验证。,现在可先完成配置，待后台登录策略开启后即可要求第二步验证。
后台登录策略,后台登录策略
密码登录,密码登录
已启用,已启用
默认关闭,默认关闭
"Google 登录","Google 登录"
管理双因素认证,管理双因素认证
设置双因素认证,设置双因素认证
"Two-Factor Security",两步安全
"Authenticator App",身份验证器应用
"Protect this storefront account with an authenticator app and one-time backup codes that can be used when your device is unavailable.",使用身份验证器应用和一次性备用码保护此店铺账户，当您的设备不可用时可以使用备用码登录。
"Two-factor authentication is enabled for this storefront account.",此店铺账户已启用两步验证。
"Future password and Google sign-in flows will require a second step whenever the storefront challenge policy is turned on.","将来每当启用店铺挑战策略时，密码和 Google 登录流程将需要第二步验证。"
"Two-factor authentication is currently disabled.",当前已禁用两步验证。
"Set it up now so the storefront account is ready before stricter sign-in policies are enabled.",立即设置，以便在启用更严格的登录策略之前让店铺账户做好准备。
"Storefront challenge policy",店铺挑战策略
"Password login",密码登录
Enabled,已启用
"Disabled by default",默认禁用
"Google login","Google 登录"
"Manage Two-Factor Authentication",管理两步验证
"Set Up Two-Factor Authentication",设置两步验证
控制台,控制台
基础登录,基础登录
密码访问,密码访问
后台账号仍以用户名和密码作为主登录凭据；需要更强保护时，可在此页面挂载额外安全模块。,后台账号仍以用户名和密码作为主登录凭据；需要更强保护时，可在此页面挂载额外安全模块。
主凭据,主凭据
Dashboard,仪表盘
"Account Security",账户安全
"New backup codes were generated.",已生成新备用码。
"Store them securely. The previous set is no longer valid and each code can be used only once.",请安全保存它们。之前的备用码已失效，每个码只能使用一次。
"Challenge policy reminder",挑战策略提醒
"Your backend authenticator can be configured now, while enforcement stays off until the password or Google login flow is enabled in configuration.","您的后台身份验证器现在可以配置，但强制执行将在配置中启用密码或 Google 登录流程之前保持关闭状态。"
"Current Status",当前状态
"Not Enabled Yet",尚未启用
"Created At",创建时间
Unknown,未知
"Last Used At",上次使用时间
Never,从未
"Backup Codes",备用码
"Enable an authenticator app for this backend account so future password and Google sign-ins can require a second verification step.","为此后台账户启用身份验证器应用，以便将来密码和 Google 登录时可以要求第二步验证。"
"Regenerate Backup Codes",重新生成备用码
"Generating a new set immediately invalidates the previous backup codes. Confirm with the latest authenticator code before rotating them.",生成新备用码会立即使之前的备用码失效。在轮换之前请使用最新的验证码确认。
"Authenticator Code",验证码
"Enter the current 6-digit code",输入当前的6位验证码
"Generate New Backup Codes",生成新备用码
"Disable Two-Factor Authentication",禁用两步验证
"Disabling two-factor authentication removes the second verification step for future backend sign-ins. Use this only if you are rotating to another device or method.",禁用两步验证将移除将来后台登录的第二步验证。仅在轮换到其他设备或方法时使用此功能。
"Disable 2FA","禁用 2FA"
"Set Up an Authenticator App",设置身份验证器应用
"Two-factor QR code",两步验证二维码
"Manual Setup Secret",手动设置密钥
"Scan the QR code with Google Authenticator, Microsoft Authenticator, 1Password, or another TOTP-compatible app. Then confirm the current 6-digit code to finish setup.","使用 Google Authenticator、Microsoft Authenticator、1Password 或其他 TOTP 兼容应用扫描二维码。然后确认当前的6位验证码以完成设置。"
"Enable Two-Factor Authentication",启用两步验证
后台双因素验证,后台双因素验证
"输入验证器应用中的 6 位验证码，或使用一个备用码，完成后台登录。","输入验证器应用中的 6 位验证码，或使用一个备用码，完成后台登录。"
验证码,验证码
验证并登录,验证并登录
挑战过期时间：%{1},挑战过期时间：%{1}
未知,未知
账户安全,账户安全
为店铺登录添加身份验证器应用，之后可用基于时间的一次性码确认登录，并保留一次性备用码作为恢复方式。,为店铺登录添加身份验证器应用，之后可用基于时间的一次性码确认登录，并保留一次性备用码作为恢复方式。
返回我的账户,返回我的账户
状态,状态
未启用,未启用
登录验证方式,登录验证方式
密码,密码
谷歌验证,谷歌验证
新的备用码,新的备用码
这些备用码已替换之前的集合，请立即保存。每个备用码只能使用一次。,这些备用码已替换之前的集合，请立即保存。每个备用码只能使用一次。
验证策略提醒,验证策略提醒
您可以在店铺验证策略开启前配置身份验证器。在相关密码或谷歌验证流程在配置中启用之前，登录验证默认保持关闭。,您可以在店铺验证策略开启前配置身份验证器。在相关密码或谷歌验证流程在配置中启用之前，登录验证默认保持关闭。
防护摘要,防护摘要
当前配置,当前配置
创建时间,创建时间
上次使用时间,上次使用时间
从未使用,从未使用
剩余备用码,剩余备用码
备用码,备用码
重新生成恢复码,重新生成恢复码
生成新的备用码会立即使旧的备用码失效。请在轮换之前用最新的身份验证器码确认。,生成新的备用码会立即使旧的备用码失效。请在轮换之前用最新的身份验证器码确认。
验证器码,验证器码
输入当前6位数字码,输入当前6位数字码
生成新备用码,生成新备用码
关闭双因素认证,关闭双因素认证
移除额外验证,移除额外验证
关闭双因素认证将移除未来店铺登录的第二步验证。仅在更换设备或验证方式时使用。,关闭双因素认证将移除未来店铺登录的第二步验证。仅在更换设备或验证方式时使用。
"第 1 步","第 1 步"
扫描二维码,扫描二维码
双因素认证二维码,双因素认证二维码
"打开 Google Authenticator、Microsoft Authenticator、1Password 或其他兼容 TOTP 的应用，扫描此二维码。","打开 Google Authenticator、Microsoft Authenticator、1Password 或其他兼容 TOTP 的应用，扫描此二维码。"
手动设置密钥,手动设置密钥
"第 2 步","第 2 步"
确认并保存备用码,确认并保存备用码
输入当前的6位身份验证器码，并将这些备用码保存在安全的地方。每个备用码只能使用一次。,输入当前的6位身份验证器码，并将这些备用码保存在安全的地方。每个备用码只能使用一次。
启用双因素认证,启用双因素认证
