WeShop API Bridge,WeShop API Bridge
API Documentation,API 文档
Failed to load API documentation: %{1},Failed to load API documentation: %{1}
API endpoints retrieved successfully,API 端点获取成功
Failed to retrieve API endpoints: %{1},Failed to retrieve API endpoints: %{1}
API endpoint parameter is required,API 端点参数为必填项
"API endpoint ""%{1}"" not found","API endpoint ""%{1}"" not found"
API endpoint info retrieved successfully,API 端点信息获取成功
Failed to retrieve endpoint info: %{1},Failed to retrieve endpoint info: %{1}
Unsupported API endpoint,不支持的 API 端点
"Method ""%{1}"" not found in endpoint ""%{2}""","Method ""%{1}"" not found in endpoint ""%{2}"""
API test executed successfully,API 测试执行成功
API test failed: %{1},API test failed: %{1}
Health check passed,健康检查通过
Health check failed: %{1},Health check failed: %{1}
API documentation retrieved successfully,API 文档获取成功
Failed to retrieve API documentation: %{1},Failed to retrieve API documentation: %{1}
WeShop REST API 桥接模块,WeShop REST API 桥接模块
Test,测试
View Docs,查看文档
No API endpoints available,暂无可用的 API 端点
API Tester,API 测试器
Close,关闭
Endpoint,Endpoint
Select endpoint,选择端点
Method,方法
Parameters,参数
Send Request,发送请求
Response,响应
Invalid JSON format in parameters,参数格式无效，请输入正确的 JSON
Loading...,加载中...
Endpoint Information,端点信息
Name,名称
Version,版本
Description,描述
Class,类
Available Methods,可用方法
List all items,获取所有项目
Get paginated list,获取分页列表
Get single item,获取单个项目
Create new item,创建新项目
Update existing item,更新现有项目
Delete item,删除项目
