进店音乐,"اسٹور موسیقی"
settings,settings
进店音乐与氛围播放配置,"اسٹور موسیقی اور ماحول پلے بیک سیٹنگز"
查看进店音乐配置,"اسٹور موسیقی سیٹنگز دیکھیں"
查看进店音乐曲目与播放配置,"ٹریکس اور پلے بیک سیٹنگز دیکھیں"
播放控制,"پلے بیک کنٹرولز"
上一首,پچھلا
播放,چلائیں
停止,روکیں
停止播放,"پلے بیک روکیں"
下一首,اگلا
"请先同意营销 Cookie 后再播放","چلانے سے پہلے مارکیٹنگ کوکیز قبول کریں"
点击开启音乐,"موسیقی چلانے کے لیے ٹیپ کریں"
点击开启声音,"آواز چلانے کے لیے ٹیپ کریں"
波形不可用,"ویوفارم دستیاب نہیں"
开启波形,"ویوفارم آن کریں"
关闭波形,"ویوفارم بند کریں"
播放中,"چل رہا ہے"
当前浏览器暂不支持此音频格式,"یہ براؤزر اس آڈیو فارمیٹ کو سپورٹ نہیں کرتا"
音频加载失败，请换一首曲目或格式,"آڈیو لوڈ نہیں ہوا۔ کوئی اور ٹریک یا فارمیٹ آزمائیں۔"
已关闭自动播放，点击播放可重新开启,"آٹو پلے بند ہے۔ دوبارہ چلانے کے لیے پلے دبائیں۔"
已在其他页面播放,"دوسرے صفحے پر چل رہا ہے"
播放列表,"پلے لسٹ"
"共 {n} 首","{n} ٹریکس"
点开选曲,"ٹریک منتخب کریں"
选择曲目聆听,"سننے کے لیے ٹریک منتخب کریں"
音量,والیوم
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"سیٹنگز موجودہ دائرہ کار پر لاگو ہوتی ہیں۔ متعدد ٹریکس منتخب کریں، گھسیٹ کر ترتیب دیں اور زبان کے مطابق تعارف بھریں۔ فعال اور کم از کم ایک ٹریک ہونے پر اسٹور کے نیچے بائیں موسیقی ویجیٹ دکھائی دیتا ہے۔"
在统一配置中心打开,"متحدہ کنفگ سینٹر میں کھولیں"
作用范围,"دائرہ کار"
进店曲目,"داخلہ ٹریکس"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","mp3 / wav / ogg / m4a / aac / flac / opus / wma وغیرہ کثیر انتخاب۔ فی فائل زیادہ سے زیادہ ≈20MB۔ ترتیب بدلنے کے لیے گھسیٹیں؛ نیچے زبان کے مطابق تعارف بھریں۔ موجودہ دائرہ کار میں خود بخود محفوظ ہوتا ہے۔"
简介编辑语言,"تعارف ترمیم کی زبان"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"زبان بدلنے کے بعد ہر ٹریک کا تعارف بھریں؛ اسٹور وزٹر کی زبان دکھاتا ہے۔"
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"ابھی کوئی ٹریک نہیں۔ اوپر میڈیا لائبریری سے داخلہ موسیقی شامل کریں。"
拖拽排序,"گھسیٹ کر ترتیب دیں"
曲名,عنوان
简介,تعارف
选择进店音乐（可多选）,"داخلہ موسیقی منتخب کریں (کثیر)"
选择作用范围,"دائرہ کار منتخب کریں"
搜索作用范围,"دائرہ کار تلاش کریں"
折叠,سکیڑیں
展开,پھیلائیں
未找到匹配作用范围,"کوئی مماثل دائرہ کار نہیں ملا"
进店氛围音乐,"اسٹور ماحول موسیقی"
关闭选曲,"ٹریک پکر بند کریں"
