"API 文档收集后","API 文档收集后"
"DeveloperWorkspace 汇总 API 文档后触发，允许其他模块通过事件追加 SDK、协议或扩展 API 文档。","DeveloperWorkspace 汇总 API 文档后触发，允许其他模块通过事件追加 SDK、协议或扩展 API 文档。"
异步事件验收台不支持操作：%{1},异步事件验收台不支持操作：%{1}
"执行异步资源变更 WebUI 验收步骤","执行异步资源变更 WebUI 验收步骤"
"异步资源变更 WebUI 验收台","异步资源变更 WebUI 验收台"
"通过 w_changed() 实测 Outbox、Delivery、Queue 与异步 Observer。","通过 w_changed() 实测 Outbox、Delivery、Queue 与异步 Observer。"
开发工具面板,开发工具面板
在页面中显示开发工具面板，提供路由查看、API文档等功能。仅在开发模式下显示。,在页面中显示开发工具面板，提供路由查看、API文档等功能。仅在开发模式下显示。
开发工具面板-扩展标签,开发工具面板-扩展标签
"在开发工具面板标签栏「耗时统计」之后注入扩展标签按钮，由各模块自行实现（如 WLS 等）。","在开发工具面板标签栏「耗时统计」之后注入扩展标签按钮，由各模块自行实现（如 WLS 等）。"
开发工具面板-扩展搜索区,开发工具面板-扩展搜索区
"在开发工具面板搜索区域之后注入扩展标签对应的搜索区 HTML 与注册脚本。","在开发工具面板搜索区域之后注入扩展标签对应的搜索区 HTML 与注册脚本。"
开发工具标题,开发工具标题
在开发工具面板中显示标题内容。,在开发工具面板中显示标题内容。
前言,前言
说在前面,说在前面
安装,安装
安装文档,安装文档
快速开始,快速开始
框架模组,框架模组
框架规范,框架规范
框架类的规范,框架类的规范
模型文档,模型文档
使用控制器,使用控制器
模组事件,模组事件
WelineFramework插件功能,WelineFramework插件功能
"Weline_DeveloperWorkspace Upgrade: idempotent DocumentUniqueKeyHealer",Weline_DeveloperWorkspace升级：幂等DocumentUniqueKeyHealer
开发助手,开发助手
关闭沙盒环境,关闭沙盒环境
沙盒启动Key,沙盒启动Key
"异步验收探针只接受 ResourceChange v1","异步验收探针只接受 ResourceChange v1"
异步验收探针标识不匹配,异步验收探针标识不匹配
"Weline_DeveloperWorkspace: before_schema_diff_commit — DocumentUniqueKeyHealer","Weline_DeveloperWorkspace：before_schema_diff_commit — DocumentUniqueKeyHealer"
文档ID不能为空,文档ID不能为空
文档不存在,文档不存在
文档路径信息不完整,文档路径信息不完整
无法读取文档文件,无法读取文档文件
文档管理配置,文档管理配置
配置已保存,配置已保存
扫描完成,扫描完成
任务已执行,任务已执行
失败任务已重置,失败任务已重置
适配器测试完成,适配器测试完成
添加,添加
修改,修改
文件上传失败！,文件上传失败！
未知,未知
获取成功,获取成功
开发文档管理,开发文档管理
list,列表
管理开发文档,管理开发文档
文档列表,文档列表
language,语言
保存文档管理配置,保存文档管理配置
save,节省
扫描文档翻译适配器,扫描文档翻译适配器
search,搜索
执行文档翻译任务,执行文档翻译任务
play,玩
重试失败文档翻译任务,重试失败文档翻译任务
测试文档翻译适配器,测试文档翻译适配器
circle,圆圈
文档删除,文档删除
trash,trash
文档编辑,文档编辑
edit,编辑
文档添加,文档添加
plus,加
文档保存,文档保存
id,id
content,内容
文档成功！ID:,文档成功！ID:
dev/tool/admin/document,dev/tool/admin/document
文档上传,文档上传
upload,上传
文档查看,文档查看
eye,眼睛
文档列表API,文档列表API
分类ID不能为空,分类ID不能为空
分类不存在,分类不存在
系统分类不允许删除,系统分类不允许删除
下层有系统分类，不允许删除,下层有系统分类，不允许删除
删除成功,删除成功
删除成功！,删除成功！
不能自己选择自己作为父类！,不能自己选择自己作为父类！
目录名不能为空！,目录名不能为空！
"分类名称""%{name}""在同一父分类下已存在！","分类名称""%{name}""在同一父分类下已存在！"
"该记录已不存在！ID: %{id}","该记录已不存在！ID: %{id}"
修改成功！,修改成功！
添加成功！,添加成功！
不能将自己作为父分类,不能将自己作为父分类
系统分类不允许拖动排序,系统分类不允许拖动排序
排序已保存,排序已保存
保存失败：,保存失败：
dev-document-catalog-manager,开发文档目录管理器
文档分类管理器,文档分类管理器
dev-document-manager,dev-document-manager
文档分类列表,文档分类列表
文档分类树,文档分类树
文档分类删除,文档分类删除
文档分类保存,文档分类保存
sort,种类
文档分类排序,文档分类排序
文档分类查看,文档分类查看
无效的请求方法,无效的请求方法
启动Key错误,启动Key错误
沙盒环境已关闭！接下来操作的数据将影响正式线上数据库。,沙盒环境已关闭！接下来操作的数据将影响正式线上数据库。
沙盒环境已启动！接下来操作的数据将写入沙盒数据库。,沙盒环境已启动！接下来操作的数据将写入沙盒数据库。
沙盒启动Key不能为空,沙盒启动Key不能为空
沙盒启动Key设置成功,沙盒启动Key设置成功
沙盒环境已关闭,沙盒环境已关闭
沙盒管理,沙盒管理
database,数据库
加载Debug配置失败：%{1},加载Debug配置失败：%{1}
保存成功,保存成功
保存失败：%{1},保存失败：%{1}
Debug配置,调试配置
查看Debug配置,查看Debug配置
保存Debug配置,保存Debug配置
加载沙盒配置失败：%{1},加载沙盒配置失败：%{1}
沙盒配置,沙盒配置
check,查看
查看沙盒配置,查看沙盒配置
保存沙盒配置,保存沙盒配置
加载开发面板配置失败：%{1},加载开发面板配置失败：%{1}
开发面板配置,开发面板配置
grid,网格
查看开发面板配置,查看开发面板配置
保存开发面板配置,保存开发面板配置
WelineFramework开发文档,WelineFramework开发文档
搜索关键词不能为空,搜索关键词不能为空
API文档管理,API文档管理
开发工作区,开发工作区
开发,开发
Prompt,迅速的
Completion,完成
"总开关。关闭后不会自动入队或执行 AI 翻译，已存在译文仍可按读取逻辑展示。","总开关。关闭后不会自动入队或执行 AI 翻译，已存在译文仍可按读取逻辑展示。"
"文档导入事实源固定为 zh_Hans_CN，不提供界面配置；翻译结果只写数据库，不回写模块 doc 文件。","文档导入事实源固定为 zh_Hans_CN，不提供界面配置；翻译结果只写数据库，不回写模块 doc 文件。"
"支持语言决定前台/后台语言选择器可选项；AI 自动补齐决定该语言缺失或过期时是否进入异步翻译队列。","支持语言决定前台/后台语言选择器可选项；AI 自动补齐决定该语言缺失或过期时是否进入异步翻译队列。"
开启后，缺失译文或源文档更新导致过期时会进入翻译队列；不会同步阻塞当前页面访问。,开启后，缺失译文或源文档更新导致过期时会进入翻译队列；不会同步阻塞当前页面访问。
"控制哪些类型会被自动入队翻译。普通文档、API 文档、目录树互相独立；全不勾选时即使语言开启也不会产生翻译任务。","控制哪些类型会被自动入队翻译。普通文档、API 文档、目录树互相独立；全不勾选时即使语言开启也不会产生翻译任务。"
开发文档列表和详情页中的普通模块文档。,开发文档列表和详情页中的普通模块文档。
"API 文档页的接口标题、摘要、参数说明、响应说明等由导入器生成的文档内容。","API 文档页的接口标题、摘要、参数说明、响应说明等由导入器生成的文档内容。"
左侧目录节点名称和描述。关闭后目录仍显示源语言或已有译文，不会自动补齐新译文。,左侧目录节点名称和描述。关闭后目录仍显示源语言或已有译文，不会自动补齐新译文。
"文档翻译适配器使用的文本模型。模型上下文大小会影响单篇大文档如何自动拆分成多次 AI 请求。","文档翻译适配器使用的文本模型。模型上下文大小会影响单篇大文档如何自动拆分成多次 AI 请求。"
"每次定时任务或手动执行最多处理的翻译任务数量。它不是文档总数，也不是单篇大文档的 AI 分段大小；大文档分段由适配器按模型上下文自动处理。","每次定时任务或手动执行最多处理的翻译任务数量。它不是文档总数，也不是单篇大文档的 AI 分段大小；大文档分段由适配器按模型上下文自动处理。"
单个翻译任务遇到网络、限流等可重试错误时允许自动重试的最大次数。格式错误、配置缺失等不可重试错误不会无限重试。,单个翻译任务遇到网络、限流等可重试错误时允许自动重试的最大次数。格式错误、配置缺失等不可重试错误不会无限重试。
"单篇源文档允许进入 AI 翻译链路的安全上限。超过模型单次上下文时会自动拆分请求；超过这里的业务上限才会被阻止。","单篇源文档允许进入 AI 翻译链路的安全上限。超过模型单次上下文时会自动拆分请求；超过这里的业务上限才会被阻止。"
目标语言译文缺失、待翻译、失败或过期时的读取策略。回退源文档会显示中文源内容；空内容会让前台显示为空或由页面自行处理。,目标语言译文缺失、待翻译、失败或过期时的读取策略。回退源文档会显示中文源内容；空内容会让前台显示为空或由页面自行处理。
"当天文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。","当天文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。"
"当月文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。","当月文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。"
"开启后，非源语言页面会显示 missing、pending、translated、stale、failed 等状态，方便调试；源语言页面不显示 translated 状态。","开启后，非源语言页面会显示 missing、pending、translated、stale、failed 等状态，方便调试；源语言页面不显示 translated 状态。"
"开发文档编辑器 有新的开发文档时可以随时编辑","开发文档编辑器 有新的开发文档时可以随时编辑"
保存,保存
返回,返回
标题,标题
请输入标题,请输入标题
作者,作者
请输入作者,请输入作者
摘要,摘要
请输入摘要,请输入摘要
分类,分类
文章内容,文章内容
文章内容不能为空,文章内容不能为空
系统,系统
"上移 %{1}","上移 %{1}"
"下移 %{1}","下移 %{1}"
添加子分类,添加子分类
分类已保存,分类已保存
分类保存失败,分类保存失败
删除分类,删除分类
删除分类会同时删除其子分类，且无法恢复。确定继续吗？,删除分类会同时删除其子分类，且无法恢复。确定继续吗？
分类已删除,分类已删除
分类删除失败,分类删除失败
分类顺序已保存,分类顺序已保存
分类排序失败,分类排序失败
开发文档分类,开发文档分类
使用键盘可操作的树形列表维护层级，通过上移和下移按钮调整同级顺序,使用键盘可操作的树形列表维护层级，通过上移和下移按钮调整同级顺序
分类管理操作,分类管理操作
添加顶级分类,添加顶级分类
返回文档,返回文档
分类树,分类树
暂无分类,暂无分类
添加分类,添加分类
编辑分类,编辑分类
分类信息,分类信息
请从左侧选择分类，或添加一个新分类,请从左侧选择分类，或添加一个新分类
分类名称,分类名称
系统分类不能修改名称或父级,系统分类不能修改名称或父级
分类描述,分类描述
父分类,父分类
顶级分类,顶级分类
启用分类,启用分类
系统分类,系统分类
可修改描述和启用状态；名称、父级、排序及删除受保护。,可修改描述和启用状态；名称、父级、排序及删除受保护。
删除,删除
取消,取消
正在加载文档…,正在加载文档…
文档加载失败，请稍后重试,文档加载失败，请稍后重试
删除文档,删除文档
删除后无法恢复，确定继续吗？,删除后无法恢复，确定继续吗？
文档已删除,文档已删除
文档删除失败,文档删除失败
暂无内容,暂无内容
创建时间,创建时间
更新时间,更新时间
模块,模块
开发文档,开发文档
"使用 Weline UI 管理开发资料、分类和翻译状态","使用 Weline UI 管理开发资料、分类和翻译状态"
文档管理操作,文档管理操作
"API 文档","API 文档"
翻译配置,翻译配置
目录管理,目录管理
新增文章,新增文章
文档分类,文档分类
全部文档,全部文档
文章列表,文章列表
"共 %{1} 篇文档","共 %{1} 篇文档"
文档语言,文档语言
切换,切换
无标题,无标题
未分类,未分类
自动导入,自动导入
暂无摘要,暂无摘要
查看,查看
编辑,编辑
暂无文章,暂无文章
当前分类还没有文档,当前分类还没有文档
文档分页,文档分页
首页,首页
上一页,上一页
下一页,下一页
末页,末页
文档详情,文档详情
关闭,关闭
沙盒环境是一套数据隔离的测试环境，测试时数据不会写入正式数据库，而是写入沙盒数据库。,沙盒环境是一套数据隔离的测试环境，测试时数据不会写入正式数据库，而是写入沙盒数据库。
可配置参数：,可配置参数：
控制沙盒环境参数来达到测试系统环境。,控制沙盒环境参数来达到测试系统环境。
当前沙盒状态：,当前沙盒状态：
开启,开启
当前Key状态：,当前Key状态：
已配置,已配置
未配置,未配置
新沙盒Key,新沙盒Key
请输入新的沙盒Key,请输入新的沙盒Key
沙盒请求请优先通过已授权表单开关；不要把启动Key放进可点击GET链接。,沙盒请求请优先通过已授权表单开关；不要把启动Key放进可点击GET链接。
开启沙盒,开启沙盒
关闭沙盒,关闭沙盒
开发文档管理器,开发文档管理器
新建文档,新建文档
新建一篇开发文档,新建一篇开发文档
提示,提示
开发面板配置功能正在开发中，敬请期待。,开发面板配置功能正在开发中，敬请期待。
沙盒配置功能正在开发中，敬请期待。,沙盒配置功能正在开发中，敬请期待。
异步资源变更验收台,异步资源变更验收台
"真实调用 w_changed()，展示 Outbox → Delivery → Queue → Observer 完整证据。","真实调用 w_changed()，展示 Outbox → Delivery → Queue → Observer 完整证据。"
"1. 发起资源变更","1. 发起资源变更"
"2. 推进异步链路","2. 推进异步链路"
刷新状态,刷新状态
