阿里云域名,"Alibaba Cloud Domain"
"阿里云域名注册服务，支持域名注册、续费、DNS 解析和域名交易。","Aliyun domain registration service, supporting domain registration, renewal, DNS resolution, and domain trading."
区域,Region
华东1（杭州）,"East China 1 (Hangzhou)"
华东2（上海）,"East China 2 (Shanghai)"
华北2（北京）,"North China 2 (Beijing)"
华南1（深圳）,"South China 1 (Shenzhen)"
亚太东南（新加坡）,"Asia Pacific Southeast (Singapore)"
阿里云域名配置获取指南,"Alibaba Cloud Domain Configuration Guide"
"【RAM 权限】子用户须挂载「AliyunDomainFullAccess」或等价自定义策略（需包含域名查询、注册任务创建等域名相关 API）。仅 DNS 权限无法完成购买。","[RAM Permissions] Sub-users must mount ""AliyunDomainFullAccess"" or an equivalent custom policy (which must include domain name related APIs such as domain name query, registration task creation, etc.). DNS permission alone cannot complete the purchase."
【支付】本系统提交注册后，通常需在阿里云费用中心/订单页完成支付，域名才正式生效。,"[Payment] After submitting the registration for this system, you usually need to complete the payment at the Alibaba Cloud Fee Center/Order Page before the domain name becomes official."
【实名】按阿里云要求完成域名实名模板与认证，否则注册可能被拒。,"[Real Name] Complete the domain name real name template and certification according to Alibaba Cloud requirements, otherwise the registration may be rejected."
"1. RAM 创建用户 → 创建 AccessKey","1. RAM Create user → Create AccessKey"
"2. 为用户授权 AliyunDomainFullAccess","2. Authorize the user AliyunDomainFullAccess"
"3. ID/Secret 填入上方（Secret 仅显示一次）","3. Fill in the ID/Secret above (Secret is only displayed once)"
"4. 区域默认华东1即可","4. The default region is East China 1."
"AccessKey ID 和 AccessKey Secret 不能为空","AccessKey ID and AccessKey Secret cannot be empty"
"未配置 AccessKey","AccessKey not configured"
域名不可用,"Domain unavailable"
"请填写完整注册联系人信息（与购买弹窗一致），或在请求中传入 aliyun_contact_json（阿里云联系人 JSON）。","Fill in the complete registrant contact information (same as the purchase popup), or pass aliyun_contact_json (Aliyun contact JSON) in the request."
阿里云已创建注册任务，请在阿里云控制台完成支付后域名才会生效。任务号：%{1},"Alibaba Cloud has created a registration task. The domain will only take effect after payment is completed in the Alibaba Cloud console. Task ID: %{1}"
阿里云返回异常，请查看控制台或联系客服。,"Alibaba Cloud returned an error. Please check the console or contact support."
"阿里云 DNS 适配器尚未完成 API 对接，请稍后再试。","The Alibaba Cloud DNS adapter has not completed API integration yet. Please try again later."
