未选择图标,"No icon selected"
清除图标,"clear icon"
搜索图标…,"Search icon…"
没有匹配图标,"No matching icon"
"输入 Weline 图标名称","Enter Weline icon name"
应用,Apply
从媒体库选择图片,"Select image from media library"
预览,Preview
从媒体库选择,"Select from media library"
选择,Select
清除图片,"Clear images"
"范围: %s - %s","Range: %s - %s"
"最小值: %s","Minimum value: %s"
"最大值: %s","Maximum value: %s"
搜索,search
正在加载选项…,"Loading options…"
没有匹配选项,"No matching options"
选项加载失败，请重试,"Option loading failed, please try again"
清除,Clear
今天,Today
明天,Tomorrow
下周,"next week"
"格式: %s","Format: %s"
测试,Test
在新窗口打开,"Open in a new window"
快捷链接:,"Quick Links:"
添加项目,"Add Project"
暂无项目，点击下方按钮添加,"No projects. Click the button below to add one."
"已移动到第 {position} 项，共 {total} 项","Moved to item {position} of {total}"
"%d / %d 项","%d / %d items"
从媒体库选择图片并添加为一项，可再编辑标题等,"Select an image from the media library and add it as an item; the title etc. can be edited later"
选择图片添加,"Select and Add Image"
拖拽或使用方向键排序,"Drag or use arrow keys to sort"
删除,delete
缩略图加载中…,缩略图加载中…
设为透明,"Set to Transparent"
导航树,导航树
页面,页面
分类,分类
添加自定义,添加自定义
编辑,编辑
暂无节点：点击左侧页面/分类添加，或拖入右侧、添加自定义,暂无节点：点击左侧页面/分类添加，或拖入右侧、添加自定义
名称,名称
链接,链接
自定义,自定义
描述,Description
图片,图片
引用,引用
保存,Save
取消,Cancel
拖拽行调整顺序与层级：行上缘=前、中间=子项、下缘=后（最多三级）,拖拽行调整顺序与层级：行上缘=前、中间=子项、下缘=后（最多三级）
点击添加到菜单树,点击添加到菜单树
拖入成为子项,拖入成为子项
拖放到此处追加到末尾,拖放到此处追加到末尾
多语言,Multilingual
名称翻译,名称翻译
描述翻译,描述翻译
已填描述,已填描述
已设图片,已设图片
编辑多语言,"Edit multilingual"
多语言配置,"Multilingual Configuration"
AI翻译,"AI Translate"
关闭多语言配置,"Turn off multi-language configuration"
保存多语言,"Save Multilingual"
启用,Enable
普通部件首次入库后,"After common parts are put into storage for the first time"
"普通文件 Widget 第一次写入 DB 注册账本且声明默认注入后触发，载荷包含精确 Widget identity。","Triggered after the ordinary file Widget is written to the DB registration ledger for the first time and declared default injection. The payload contains the precise Widget identity."
"Widget 查询器不支持的 operation：%{1}","Operation not supported by Widget query: %{1}"
"Widget 部件查询","Widget component query"
提供部件列表、参数定义、配置表单、字段渲染、配置校验、预览等查询能力,"Provides component list, parameter definitions, configuration forms, field rendering, configuration validation, preview, and other query capabilities"
获取可用部件列表（分组、过滤、i18n）,"Retrieved available parts list (grouped, filtered, i18n)"
"页面类型，null 表示不过滤","Page type, null means no filter"
"过滤选项，如 slot_id、area、show_exclusive_only","Filter options, such as slot_id, area, show_exclusive_only"
获取部件的参数定义（schema）,"Fetch widget parameter schema"
部件模块名,"Component module name"
部件代码,"Component code"
"区域，默认 frontend","Region, Default Frontend"
"获取配置表单 HTML","Fetch configuration form HTML"
"布局实例 ID","Layout instance ID"
参数定义,"Parameter definition"
当前配置值,"Current configuration value"
"渲染单个配置字段 HTML","Render single configuration field HTML"
字段键名,"Field key name"
字段定义,"Field definition"
当前值,"Current value"
"布局 ID","Layout ID"
额外属性,"Extra Attributes"
校验配置值,"Validate configuration value"
待校验的提交值,"Submitted value to validate"
保存前处理配置,"Pre-save Processing Configuration"
原始提交值,"Original Submitted Value"
"获取部件预览 HTML","Fetch widget preview HTML"
部件配置,"Component configuration"
"获取已注册的 ParamType 类型名列表","Get registered ParamType type name list"
"根据目标 slot 协议生成 AI Widget 并保存为普通 Widget","Generate AI Widget according to the target slot protocol and save it as a normal Widget"
生成要求,"Generate requirements"
生成上下文,"Generate context"
放置目标,"Place target"
期望部件类型,"Expected part type"
模型代码,"model code"
"Widget 生成智能体","Widget generates an agent"
"根据 slot 协议生成普通 Widget registry JSON","Generate ordinary Widget registry JSON according to slot protocol"
"AI 模型执行契约未注册","AI model execution contract is not registered"
"AI Widget 生成调用失败：%{1}","AI Widget generation call failed: %{1}"
"AI Widget 生成结果为空","AI Widget generates an empty result"
部件类型和名称不能为空,"Widget type and name cannot be empty"
部件不存在,"Widget does not exist"
"预览失败: %{1}","Preview failed: %{1}"
页面内容不能为空,"Page content cannot be empty"
预览部件,"Preview widget"
预览页面,"Preview page"
可视化编辑器,"Visual Editor"
内容管理,"Content Management"
标题和标识不能为空,"Title and handle cannot be empty"
页面标识已存在,"Page handle already exists"
保存成功,"Saved successfully"
"保存失败: %{1}","Save failed: %{1}"
页面ID不能为空,"Page ID cannot be empty"
页面不存在,"Page does not exist"
"加载失败: %{1}","Load failed: %{1}"
"获取部件列表失败: %{1}","Failed to get widget list: %{1}"
edit,edit
编辑器首页,"Editor homepage"
访问编辑器,"Visit editor"
保存页面,"Save page"
加载页面,"Load page"
获取部件列表,"Get parts list"
部件管理,"Widget Management"
"获取部件详情失败: %{1}","Failed to get widget details: %{1}"
puzzle,puzzle
部件列表,"Widget List"
查看部件列表,"View parts list"
部件详情,"Component details"
查看部件详情,"View part details"
确认组件不可用，操作已取消,"Confirm that the component is unavailable and the operation has been canceled"
解析部件参数失败,"Failed to parse widget parameters"
预览失败,"Preview failed"
确定要删除这个部件吗？,"Are you sure you want to delete this widget?"
确认删除,"Confirm deletion"
选择一个部件进行配置,"Select a widget to configure"
请填写页面标题和标识,"Please fill in page title and handle"
"Page preview","Page preview"
"The w:widget tags in this preview need server-side rendering before actual widget content is shown.","The w:widget tags in this preview need server-side rendering before actual widget content is shown."
快速查看、筛选并预览部件详情,"Quickly view, filter, and preview part details"
关闭,Close
加载中...,Loading...
