已选文件:,已选文件:
点击下载,点击下载
"所指定的文件管理器不存在! 文件管理器名：%{1}","所指定的文件管理器不存在! 文件管理器名：%{1}"
"使用：%{1} 文件管理器代替。","使用：%{1} 文件管理器代替。"
文件管理器标签不能包含</file-manager>标签。只能使用<file-manager/>标签。,文件管理器标签不能包含</file-manager>标签。只能使用<file-manager/>标签。
缺少目标ID。文档：%{1},缺少目标ID。文档：%{1}
"缺少目标ID。请使用ID选择器，例如：target=""#id""。文档：%{1}","缺少目标ID。请使用ID选择器，例如：target=""#id""。文档：%{1}"
"WLS 文件管理器","WLS 文件管理器"
"WLS 文件管理器源码回收：%{1}","WLS 文件管理器源码回收：%{1}"
"WLS source archive: %{1}","WLS 源码归档：%{1}"
"WLS source directory archive: %{1}","WLS 源码目录归档：%{1}"
"WLS source selection archive: %{1}","WLS 源码多选归档：%{1}"
文件不可读取。,文件不可读取。
文件超过下载大小限制。,文件超过下载大小限制。
"WLS 文件管理器压缩：%{1}","WLS 文件管理器压缩：%{1}"
"WLS 文件管理器回收：%{1}","WLS 文件管理器回收：%{1}"
项目根目录,项目根目录
"当前 Weline 项目的根目录。后续文件列表、上传和删除都必须受路径白名单约束。","当前 Weline 项目的根目录。后续文件列表、上传和删除都必须受路径白名单约束。"
"Panel Instance Root","Panel Instance Root"
"Resolved from the WLS Panel managed project registry; the root is read-only and child var/pub roots are write-gated separately.","Resolved from the WLS Panel managed project registry; the root is read-only and child var/pub roots are write-gated separately."
"Current Weline project root; directory browsing is restricted to approved root cards.","Current Weline project root; directory browsing is restricted to approved root cards."
"Child Project var","Child Project var"
"Child project runtime files; controlled writes require ACL, confirmation, extension checks, and operation audit logs.","Child project runtime files; controlled writes require ACL, confirmation, extension checks, and operation audit logs."
"Child Project pub","Child Project pub"
"Child project public assets root; controlled writes require ACL, confirmation, extension checks, and operation audit logs.","Child project public assets root; controlled writes require ACL, confirmation, extension checks, and operation audit logs."
模块目录,模块目录
框架模块源码目录，仅作为只读路径上下文展示。,框架模块源码目录，仅作为只读路径上下文展示。
运行时目录,运行时目录
缓存、日志、队列和临时运行数据所在目录。,缓存、日志、队列和临时运行数据所在目录。
公开目录,公开目录
静态资源和公开媒体入口目录。,静态资源和公开媒体入口目录。
可访问,可访问
未找到,未找到
受控写入根目录,受控写入根目录
只读根目录,只读根目录
没有可浏览的根目录。,没有可浏览的根目录。
所选路径不在允许的根目录内，已回到根目录。,所选路径不在允许的根目录内，已回到根目录。
当前目录不可读取。,当前目录不可读取。
当前目录读取失败。,当前目录读取失败。
此文件类型暂不支持预览。,此文件类型暂不支持预览。
此文件看起来是二进制内容，暂不支持预览。,此文件看起来是二进制内容，暂不支持预览。
预览内容已截断，不能直接编辑。,预览内容已截断，不能直接编辑。
目标路径不在允许的根目录内。,目标路径不在允许的根目录内。
目标文件不可写。,目标文件不可写。
文件扩展名不在源码编辑白名单内。,文件扩展名不在源码编辑白名单内。
文件路径无效或不在允许的根目录内。,文件路径无效或不在允许的根目录内。
没有可写入的根目录。,没有可写入的根目录。
所选根目录当前为只读。,所选根目录当前为只读。
写入目录无效或不在允许的根目录内。,写入目录无效或不在允许的根目录内。
当前目录不可写。,当前目录不可写。
源码编辑策略未允许当前根目录。,源码编辑策略未允许当前根目录。
源码文件名无效或扩展名不在允许列表内。,源码文件名无效或扩展名不在允许列表内。
源码编辑路径被策略保护。,源码编辑路径被策略保护。
源码改名需要提供不同的新名称。,源码改名需要提供不同的新名称。
源码编辑只允许修改已存在文件。,源码编辑只允许修改已存在文件。
目标源码文件已存在。,目标源码文件已存在。
"源码回收仅允许小于 128 KB 的单个源码文件。","源码回收仅允许小于 128 KB 的单个源码文件。"
"Source policy does not allow the selected root.",源码策略不允许所选根目录。
"Source file name or extension is not allowed.",源码文件名或扩展名不被允许。
"Source directory is invalid or outside the selected root.",源码目录无效或不在所选根目录内。
"Source path is protected by policy.",源码路径受策略保护。
"Source archive requires an existing readable file.",源码归档需要一个已存在且可读的文件。
"Source archive only allows one source file smaller than 128 KB.","源码归档仅允许小于 128 KB 的单个源码文件。"
"Source directory name is invalid.",源码目录名称无效。
"Source archive requires an existing readable directory.",源码归档需要一个已存在且可读的目录。
"Source selection is invalid.",源码多选条目无效。
"Source selection requires existing readable entries.",源码多选归档需要已存在且可读的条目。
"Source archive only allows source files smaller than 128 KB.","源码归档仅允许小于 128 KB 的源码文件。"
"文本内容超过 128 KB 或包含二进制空字节。","文本内容超过 128 KB 或包含二进制空字节。"
"No writable root is available.","No writable root is available."
"Selected root is read-only.","Selected root is read-only."
"File path is invalid or outside the selected root.","File path is invalid or outside the selected root."
"Target parent directory is not writable.",目标父目录不可写。
"File uploaded.",文件已上传。
"Entry renamed.",条目已重命名。
"Entry deleted.",条目已删除。
"Directory tree deleted.",目录树已删除。
"Archive created.",归档已创建。
"Large-file compression queue created.",大文件压缩队列已创建。
"Recoverable trash queue created.",可恢复回收队列已创建。
"Trash entry restored.",回收条目已恢复。
回收条目已永久清理。,回收条目已永久清理。
路径策略已保存。,路径策略已保存。
路径策略已恢复默认继承。,路径策略已恢复默认继承。
目录已创建。,目录已创建。
文本文件已保存。,文本文件已保存。
源码文件已保存。,源码文件已保存。
源码文件已创建。,源码文件已创建。
源码文件已重命名。,源码文件已重命名。
源码文件已移入可恢复回收站。,源码文件已移入可恢复回收站。
"Source archive queue created.",源码归档队列已创建。
"Source directory archive queue created.",源码目录归档队列已创建。
"Source selection archive queue created.",源码多选归档队列已创建。
"Upload file",上传文件
"Rename entry",重命名条目
"Delete entry",删除条目
"Delete directory tree",删除目录树
"Compress entry",压缩条目
"Queued compression",队列压缩
"Queued trash move",队列回收移动
"Restore trash entry",恢复回收条目
"Purge trash entry",永久清理回收条目
"Save path policy",保存路径策略
"Reset path policy",恢复路径策略
创建目录,创建目录
保存文本,保存文本
保存源码,保存源码
创建源码文件,创建源码文件
重命名源码文件,重命名源码文件
回收源码文件,回收源码文件
队列回收源码文件,队列回收源码文件
"Queued source archive",队列归档源码文件
"Queued source directory archive",队列归档源码目录
"Queued source selection archive",队列归档源码多选项
成功,成功
已拒绝,已拒绝
失败,失败
"Upload file name or extension is not allowed.",上传文件名或扩展名不在允许范围内。
"No valid uploaded file was detected.",未检测到有效上传文件。
"Uploaded file must be larger than 0 B and no larger than 5 MB.","上传文件必须大于 0 B 且不超过 5 MB。"
"Target file or directory does not exist.",目标文件或目录不存在。
"Uploaded file could not be saved.",上传文件保存失败。
"Rename operation failed.",重命名操作失败。
"Deleting a root directory is not allowed.",不允许删除根目录。
"This directory is not empty. Enable recursive delete and type DELETE_TREE to delete it.","此目录非空。请启用递归删除并输入 DELETE_TREE 后再删除。"
"Recursive directory delete requires enabling recursive delete and typing DELETE_TREE.","递归目录删除需要启用递归删除并输入 DELETE_TREE。"
"Directory tree contains too many entries for recursive delete.",目录树条目数超过递归删除限制。
"Directory tree exceeds the 10 MB recursive delete limit.","目录树超过 10 MB 递归删除限制。"
"Symbolic links cannot be deleted from the panel.",面板不允许删除符号链接。
"Delete operation failed.",删除操作失败。
"Compressing a root directory is not allowed.",不允许压缩根目录。
"Archive name must be a safe .zip file name.","归档名称必须是安全的 .zip 文件名。"
"Archive target already exists.",归档目标已存在。
"Large-file compression queue could not be created.",大文件压缩队列创建失败。
