进店音乐,เพลงหน้าร้าน
settings,การตั้งค่า
进店音乐与氛围播放配置,การตั้งค่าเพลงและบรรยากาศหน้าร้าน
查看进店音乐配置,ดูการตั้งค่าเพลงหน้าร้าน
查看进店音乐曲目与播放配置,ดูแทร็กและการตั้งค่าการเล่นเพลงหน้าร้าน
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,เปิดในศูนย์การตั้งค่ารวม
作用范围,ขอบเขต
进店曲目,เพลงต้อนรับ
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","เลือกหลายไฟล์ mp3 / wav / ogg / m4a / aac / flac / opus / wma ฯลฯ สูงสุดประมาณ 20MB ต่อไฟล์ ลากจัดลำดับ กรอกคำแนะนำตามภาษาด้านล่าง การเปลี่ยนแปลงบันทึกอัตโนมัติ"
简介编辑语言,ภาษาแก้ไขคำแนะนำ
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"สลับภาษาแล้วกรอกคำแนะนำแต่ละเพลง หน้าร้านแสดงตามภาษาผู้เยี่ยมชม"
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"ยังไม่มีแทร็ก ใช้คลังสื่อด้านบนเพื่อเพิ่มเพลงต้อนรับ"
拖拽排序,ลากเพื่อเรียง
曲名,ชื่อเพลง
简介,คำแนะนำ
选择进店音乐（可多选）,"เลือกเพลงต้อนรับ (หลายรายการ)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"การตั้งค่าใช้กับขอบเขตปัจจุบัน เลือกหลายแทร็ก ลากเรียงลำดับ และกรอกคำแนะนำตามภาษา เมื่อเปิดใช้และมีอย่างน้อยหนึ่งเพลง วิดเจ็ตจะแสดงมุมล่างซ้าย"
选择作用范围,เลือกขอบเขต
搜索作用范围,ค้นหาขอบเขต
折叠,ยุบ
展开,ขยาย
未找到匹配作用范围,ไม่พบขอบเขตที่ตรงกัน
播放控制,ตัวควบคุมการเล่น
上一首,ก่อนหน้า
播放,เล่น
停止,หยุด
停止播放,หยุดเล่น
下一首,ถัดไป
"请先同意营销 Cookie 后再播放",ยอมรับคุกกี้การตลาดก่อนเล่น
点击开启音乐,แตะเพื่อเล่นเพลง
点击开启声音,แตะเพื่อเปิดเสียง
波形不可用,ไม่สามารถใช้รูปคลื่นได้
开启波形,เปิดรูปคลื่น
关闭波形,ปิดรูปคลื่น
播放中,กำลังเล่น
当前浏览器暂不支持此音频格式,เบราว์เซอร์นี้ไม่รองรับรูปแบบเสียงนี้
音频加载失败，请换一首曲目或格式,"โหลดเสียงไม่สำเร็จ ลองแทร็กหรือรูปแบบอื่น"
已关闭自动播放，点击播放可重新开启,"ปิดเล่นอัตโนมัติแล้ว กดเล่นเพื่อเปิดอีกครั้ง"
已在其他页面播放,กำลังเล่นในหน้าอื่น
播放列表,เพลย์ลิสต์
"共 {n} 首","{n} เพลง"
展开简介,แสดงคำแนะนำ
收起简介,ซ่อนคำแนะนำ
点开选曲,เปิดเลือกเพลง
选择曲目聆听,เลือกเพลงเพื่อฟัง
音量,ระดับเสียง
进店氛围音乐,เพลงบรรยากาศหน้าร้าน
关闭选曲,ปิดการเลือกเพลง
搜索歌曲…,ค้นหาเพลง…
未找到匹配曲目,ไม่พบเพลงที่ตรงกัน
搜索播放列表,ค้นหารายการเล่น
