"双因素认证器","双因素认证器"
"完全自主开发的身份验证系统","完全自主开发的身份验证系统"
"安装到桌面","安装到桌面"
"还没有账户","还没有账户"
"点击下方"+"按钮添加第一个账户","点击下方"+"按钮添加第一个账户"
"兼容所有标准2FA","兼容所有标准2FA"
"离线工作","离线工作"
"安全加密","安全加密"
"完全自主开发 • 标准TOTP协议 • 兼容所有主流应用","完全自主开发 • 标准TOTP协议 • 兼容所有主流应用"
"添加账户","添加账户"
"手动输入","手动输入"
"扫描二维码","扫描二维码"
"导入备份","导入备份"
"发行者（如：Weline Framework）","发行者（如：Weline Framework）"
"输入发行者名称","输入发行者名称"
"账户名（如：admin@example.com）","账户名（如：admin@example.com）"
"输入账户名","输入账户名"
"密钥（Secret Key）","密钥（Secret Key）"
"输入密钥或粘贴otpauth://链接","输入密钥或粘贴otpauth://链接"
"支持Base32密钥或完整的otpauth://链接","支持Base32密钥或完整的otpauth://链接"
"备注（可选）","备注（可选）"
"如：公司账号、个人邮箱等","如：公司账号、个人邮箱等"
"添加备注方便识别不同账户","添加备注方便识别不同账户"
"取消","取消"
"添加","添加"
"上传二维码图片","上传二维码图片"
"支持 JPG、PNG、GIF、WebP 格式","支持 JPG、PNG、GIF、WebP 格式"
"选择图片文件","选择图片文件"
"开始扫描","开始扫描"
"停止扫描","停止扫描"
"请将二维码对准扫描框","请将二维码对准扫描框"
"扫描成功后将自动填充表单","扫描成功后将自动填充表单"
"导入备份文件","导入备份文件"
"支持多种格式","支持多种格式"
"选择备份文件","选择备份文件"
"或粘贴备份内容","或粘贴备份内容"
"删除","删除"
"当前验证码","当前验证码"
"秒","秒"
"账户已添加，请确认信息","账户已添加，请确认信息"
"账户添加成功！您现在可以查看验证码了","账户添加成功！您现在可以查看验证码了"
"发行者","发行者"
"发行者通常不需要修改","发行者通常不需要修改"
"账户名","账户名"
"您可以修改账户名，如添加环境标识：admin-prod","您可以修改账户名，如添加环境标识：admin-prod"
"备注","备注"
"添加备注方便日后识别","添加备注方便日后识别"
"启用恢复码功能（推荐）","启用恢复码功能（推荐）"
"恢复码用于密钥丢失时恢复账户，建议启用并妥善保管","恢复码用于密钥丢失时恢复账户，建议启用并妥善保管"
"恢复码（请妥善保存）","恢复码（请妥善保存）"
"复制所有恢复码","复制所有恢复码"
"取消修改","取消修改"
"确认保存","确认保存"
"选择导出格式","选择导出格式"
"Aegis Authenticator（加密JSON）","Aegis Authenticator（加密JSON）"
"andOTP（明文JSON）","andOTP（明文JSON）"
"2FAS（JSON）","2FAS（JSON）"
"URI列表（纯文本）","URI列表（纯文本）"
"导出","导出"
"点击复制","点击复制"
"复制验证码","复制验证码"
"前往登录","前往登录"
"需要登录才能使用","需要登录才能使用"
"验证器应用需要登录后才能使用，请通过后台菜单访问","验证器应用需要登录后才能使用，请通过后台菜单访问"
"后台菜单","后台菜单"
"工具","工具"
"✓ 通过后台菜单访问，用户已登录","✓ 通过后台菜单访问，用户已登录"
"✓ 图片上传成功","✓ 图片上传成功"
"✓ QR码识别成功","✓ QR码识别成功"
"✓ 表单已自动填充，请检查并补充备注","✓ 表单已自动填充，请检查并补充备注"
"❌ 未识别到二维码，请重试","❌ 未识别到二维码，请重试"
"❌ 无法访问相机，请检查浏览器权限","❌ 无法访问相机，请检查浏览器权限"
"❌ 未找到可用相机设备","❌ 未找到可用相机设备"
"❌ 相机访问被拒绝，请在浏览器设置中允许相机权限","❌ 相机访问被拒绝，请在浏览器设置中允许相机权限"
"❌ 浏览器不支持相机功能","❌ 浏览器不支持相机功能"
"❌ 相机启动失败：%{error}","❌ 相机启动失败：%{error}"
"❌ 文件类型不支持","❌ 文件类型不支持"
"❌ QR码解析失败","❌ QR码解析失败"
"❌ QR码数据格式无效","❌ QR码数据格式无效"
"❌ 无效的otpauth链接","❌ 无效的otpauth链接"
"❌ 无效的密钥格式","❌ 无效的密钥格式"
"✓ 导入成功，共 %{count} 个账户","✓ 导入成功，共 %{count} 个账户"
"❌ 未识别到有效的备份数据","❌ 未识别到有效的备份数据"
"✓ 导出成功","✓ 导出成功"
"✓ 验证码已复制","✓ 验证码已复制"
"❌ 复制失败，请手动复制","❌ 复制失败，请手动复制"
"✓ 账户保存成功","✓ 账户保存成功"
"✓ 已生成8个恢复码，请务必保存","✓ 已生成8个恢复码，请务必保存"
"✓ 恢复码已复制到剪贴板","✓ 恢复码已复制到剪贴板"
"确定要删除这个账户吗？","确定要删除这个账户吗？"
"✓ 账户已删除","✓ 账户已删除"

