系统信息,"System Information"
系统,System
一般系统信息通知,"General system information notifications"
系统警告,"System Warning"
系统警告通知,"System Warning Notification"
系统告警,"System Alert"
系统错误告警,"System Error Alert"
安全告警,"Security alert"
安全,Security
安全相关告警通知,"Security-related alert notifications"
用户活动,"User activity"
用户,User
用户登录、操作等活动通知,"Notifications for user login, operations, and other activities"
"菜单 XML 无法解析：模块 %{1}，文件 %{2}。%{3}","Menu XML cannot be parsed: module %{1}, file %{2}. %{3}"
未知解析错误,"Unknown parsing error"
跳过格式不正确的菜单配置文件：%{1},"Skipped malformed menu configuration file: %{1}"
"菜单配置错误：menu元素缺少source属性,文件：%{1}","Menu configuration error: menu element missing source attribute, file: %{1}"
"菜单配置错误：menu元素缺少name属性,文件：%{1}","Menu configuration error: menu element missing name attribute, file: %{1}"
"菜单配置错误：menu元素缺少title属性,文件：%{1}","Menu configuration error: menu element missing title attribute, file: %{1}"
"菜单配置错误：menu元素缺少order属性,文件：%{1}","Menu configuration error: menu element missing order attribute, file: %{1}"
后台头部,"Backend Header"
"在后台页面的 <head> 标签内注入内容，允许其他模块在后台页面头部注入额外的 CSS、JavaScript 或其他资源。","Injects content into the <head> tag of backend pages, allowing other modules to inject additional CSS, JavaScript, or other resources into the backend page head."
"AI 使用统计区块","AI usage statistics block"
"在后台统计/仪表盘等 Tab 面板中展示 AI 使用量统计（今日 tokens、花费等），可由 Weline_Ai 等模块实现。","Displays AI usage statistics (today's tokens, costs, etc.) in backend statistics/dashboard tab panels, which can be implemented by modules such as Weline_Ai."
后台页面凭证已失效，请刷新页面后重试。,"The background page credentials have expired. Please refresh the page and try again."
当前后台账号无权执行该操作。,"The current background account does not have the permission to perform this operation."
信息,Information
成功,Success
警告,Warning
错误,Error
紧急,Urgent
"Weline UI 图标迁移无法读取 %{1}：%{2}","Weline UI icon migration cannot read %{1}: %{2}"
"无法创建 Weline UI 图标迁移快照目录：%{1}","Unable to create Weline UI icon migration snapshot directory: %{1}"
"无法写入 Weline UI 图标迁移快照：%{1}","Unable to write Weline UI icon migration snapshot: %{1}"
"无法读取 Weline UI 图标迁移快照：%{1}","Unable to read Weline UI icon migration snapshot: %{1}"
"Weline UI 图标迁移快照 JSON 无效：%{1}","Weline UI Icon Migration Snapshot JSON Invalid: %{1}"
"Weline UI 图标迁移快照校验失败：%{1}","Weline UI icon migration snapshot verification failed: %{1}"
"图标迁移目标不是 ORM Model：%{1}","Icon migration target is not ORM Model: %{1}"
请先登录,"Please login first"
用户已被禁用,"User has been disabled"
后台安全凭证暂不可用，请稍后刷新页面。,"The background security credentials are temporarily unavailable, please refresh the page later."
Telegram,Telegram
"Telegram 渠道测试","Telegram channel test"
"这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。","This is a test message. If you receive it, the Telegram channel configuration is available."
"Bot Token（建议填在渠道配置）","Bot Token (it is recommended to fill in the channel configuration)"
"Chat ID（建议填在联系人配置）","Chat ID (it is recommended to fill in the contact configuration)"
消息格式,"Message format"
"默认 HTML","Default HTML"
关闭链接预览,"Close link preview"
默认否,"Default No"
否,No
是,Yes
钉钉,DingTalk
"主题: %{topic}","Theme: %{topic}"
钉钉渠道测试,"DingTalk Channel Test"
这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。,"This is a test message. If you receive this message, the DingTalk channel configuration is correct."
"Webhook URL","Webhook URL"
签名密钥,"Signing Key"
