请指定分支。,"Please specify a branch."
请求方式错误。,"Invalid request method."
发布参数不完整。,"Incomplete release parameters."
请先确认发布操作。,"Please confirm the release first."
发布到更旧版本需要额外确认。,"Releasing to an older version requires extra confirmation."
发布成功：%{1},"Release succeeded: %{1}"
发布失败。,"Release failed."
发布管理,"Release management"
circle,circle
发布控制、历史与核心更新,"Release control, history and core updates"
发布控制,"Release Control"
refresh,refresh
"查看 Git 历史并手动发布","View Git history and publish manually"
执行发布,"Execute release"
从发布控制触发部署,"Trigger deployment from release control"
请求方式错误,"Wrong request method"
部署配置已保存,"Deployment configuration saved"
部署配置保存失败：%{1},"Failed to save deployment configuration: %{1}"
当前站点请求域名,"Current request site domain"
部署配置,"Deployment configuration"
"管理部署仓库、Webhook 与缓存清理配置","Manage deployment repository, webhook and cache cleaning configuration"
查看部署配置,"View deployment configuration"
查看部署信息配置,"View deployment information configuration"
保存部署配置,"Save deployment configuration"
save,save
保存部署信息配置,"Save deployment information configuration"
请先确认核心更新操作。,"Please confirm the core update operation first."
核心更新完成。,"Core update completed."
备份编号：%{1},"Backup ID: %{1}"
核心更新失败。,"Core update failed."
核心更新,"Core Update"
"Web 执行框架核心更新","Web Execution Framework Core Update"
执行核心更新,"Perform core update"
"执行 update:core 命令","Execute update:core command"
请先勾选确认框后再执行回滚。,"Please check the confirmation box before performing rollback."
"缺少发布记录 ID。","Missing release record ID."
发布记录不存在。,"Release record not found."
只能回滚成功的发布记录。,"Only successful releases can be rolled back."
当前版本无需回滚。,"Current version does not need rollback."
无法解析回滚参考。,"Unable to resolve rollback reference."
回滚到更旧版本需要额外确认。,"Rolling back to an older version requires extra confirmation."
回滚成功：%{1},"Rollback succeeded: %{1}"
回滚失败。,"Rollback failed."
发布历史,"Release History"
history,history
查看发布历史与版本回滚,"View release history and version rollback"
查看发布历史,"View release history"
查看发布历史列表,"View the release history list"
回滚发布版本,"Roll back a release"
store,store
从历史记录回滚版本,"Rollback a version from history"
"WLS 部署发布","WLS Deploy"
"项目发布 Profile 保存失败。","Project release profile save failed."
发布预检存在阻断项，请先修正标红项。,"Release preflight has blocking items. Fix the red items first."
"请输入需要回放的 Webhook Ref。","Enter the Webhook Ref to replay."
"Invalid request method.","Invalid request method."
"Please enter a Git ref for the manual release.","Please enter a Git ref for the manual release."
"Please enter a Git ref for the manual release plan.","Please enter a Git ref for the manual release plan."
"Release preflight has blocking items, so the manual release was not executed.","Release preflight has blocking items, so the manual release was not executed."
"Release preflight has blocking items, so the manual plan was not built.","Release preflight has blocking items, so the manual plan was not built."
"Confirm the manual release before running it.","Confirm the manual release before running it."
"Manual release failed.","Manual release failed."
