"当前 PHP 运行时未启用 OSS 流式读取能力。","当前 PHP 运行时未启用 OSS 流式读取能力。"
"打开 OSS 读取流失败。","打开 OSS 读取流失败。"
"无法打开 OSS 上传流。","无法打开 OSS 上传流。"
"移动 OSS 对象的源对象删除状态不确定，目标副本已保留。","移动 OSS 对象的源对象删除状态不确定，目标副本已保留。"
"移动 OSS 对象未完成，源对象已保留，目标副本清理状态不确定。","移动 OSS 对象未完成，源对象已保留，目标副本清理状态不确定。"
"移动 OSS 对象失败，源对象已保留。","移动 OSS 对象失败，源对象已保留。"
"OSS 分页标记未前进，已停止枚举。","OSS 分页标记未前进，已停止枚举。"
"OSS 目录枚举超过配置页数上限。","OSS 目录枚举超过配置页数上限。"
"OSS 目录枚举超过配置条目上限。","OSS 目录枚举超过配置条目上限。"
"OSS multipart 初始化未返回 upload id。","OSS multipart 初始化未返回 upload id。"
"OSS multipart 分片数量超过上限。","OSS multipart 分片数量超过上限。"
"OSS multipart 分片未返回 ETag。","OSS multipart 分片未返回 ETag。"
"OSS 单对象字节上限配置无效。","OSS 单对象字节上限配置无效。"
存储写入字节上限无效。,存储写入字节上限无效。
"OSS 上传校验流无法打开。","OSS 上传校验流无法打开。"
"OSS 上传校验流连续无数据进展。","OSS 上传校验流连续无数据进展。"
"客户端已断开，OSS 上传已取消。","客户端已断开，OSS 上传已取消。"
"阿里云 OSS 的统一存储驱动与 URL 适配器。","阿里云 OSS 的统一存储驱动与 URL 适配器。"
"阿里云 OSS","阿里云 OSS"
"AccessKey ID","AccessKey ID"
"AccessKey Secret","AccessKey Secret"
Endpoint,Endpoint
Bucket,Bucket
前缀路径,前缀路径
磁盘可见性,磁盘可见性
公开,公开
私有,私有
"CDN / 公开域名","CDN / 公开域名"
"Endpoint 为 CNAME","Endpoint 为 CNAME"
"使用 HTTPS","使用 HTTPS"
单对象字节上限,单对象字节上限
"阿里云 OSS 凭据未完整配置。","阿里云 OSS 凭据未完整配置。"
"阿里云 OSS Bucket 格式无效。","阿里云 OSS Bucket 格式无效。"
存储可见性无效,存储可见性无效
"阿里云 OSS 配置值无效。","阿里云 OSS 配置值无效。"
"阿里云 OSS 布尔配置值无效。","阿里云 OSS 布尔配置值无效。"
"阿里云 OSS 数值配置无效。","阿里云 OSS 数值配置无效。"
"阿里云 OSS 数值配置超出范围。","阿里云 OSS 数值配置超出范围。"
"阿里云 OSS Endpoint 格式无效。","阿里云 OSS Endpoint 格式无效。"
"OSS 公共域名配置无效。","OSS 公共域名配置无效。"
"私有 OSS 磁盘不支持公开 URL。","私有 OSS 磁盘不支持公开 URL。"
"生成 OSS 临时 URL 失败。","生成 OSS 临时 URL 失败。"
"不支持的 OSS 图片输出格式。","不支持的 OSS 图片输出格式。"
"存储 URL 适配器收到了其他磁盘的对象。","存储 URL 适配器收到了其他磁盘的对象。"
"OSS multipart 清理任务无效。","OSS multipart 清理任务无效。"
"OSS multipart upload id 不能为空。","OSS multipart upload id 不能为空。"
"OSS multipart 资源注册失败，上传已中止或记录清理债务。","OSS multipart 资源注册失败，上传已中止或记录清理债务。"
"OSS multipart 上传已结束。","OSS multipart 上传已结束。"
"OSS multipart 清理债务记录失败。","OSS multipart 清理债务记录失败。"
"OSS multipart 远端中止失败。","OSS multipart 远端中止失败。"
"阿里云 OSS SDK 未安装。","阿里云 OSS SDK 未安装。"
"阿里云 OSS 凭据或 Endpoint 未完整配置。","阿里云 OSS 凭据或 Endpoint 未完整配置。"
"初始化阿里云 OSS Client 失败。","初始化阿里云 OSS Client 失败。"
"阿里云 OSS Endpoint 未配置。","阿里云 OSS Endpoint 未配置。"
"阿里云 OSS 对象键超过长度限制。","阿里云 OSS 对象键超过长度限制。"
"创建 OSS 读取流失败。","创建 OSS 读取流失败。"
"启用版本控制的 OSS Bucket 不支持可靠的禁止覆盖语义。","启用版本控制的 OSS Bucket 不支持可靠的禁止覆盖语义。"
"无法验证 OSS Bucket 的禁止覆盖能力。","无法验证 OSS Bucket 的禁止覆盖能力。"
"阿里云 OSS Prefix 超过长度限制。","阿里云 OSS Prefix 超过长度限制。"
"OSS 清理批次完成，但请求资源清理失败。","OSS 清理批次完成，但请求资源清理失败。"
"OSS multipart 清理","OSS multipart 清理"
"重试中止未完成的 OSS multipart 上传","重试中止未完成的 OSS multipart 上传"
"OSS multipart 清理完成：成功 %{1}，重试 %{2}，终止 %{3}","OSS multipart 清理完成：成功 %{1}，重试 %{2}，终止 %{3}"
"""当前 PHP 运行时未启用 OSS 流式读取能力。""","当前 PHP 运行时未启用 OSS 流式读取能力。"
"客户端已断开，OSS multipart 上传已取消。","客户端已断开，OSS multipart 上传已取消。"
"目标 OSS 对象已存在。","目标 OSS 对象已存在。"
"OSS Endpoint 未配置。","OSS Endpoint 未配置。"
"阿里云 OSS Bucket 未配置。","阿里云 OSS Bucket 未配置。"
