"AI Knowledge","AI 知识库"
"MCP Server","MCP 服务器"
"Search Documents",搜索文档
"Get API Structure","获取 API 结构"
"Vector Store",向量存储
"Hybrid Search",混合检索
"Document Collector",文档采集器
"API Collector","API 采集器"
"Source Graph Collector",源码图谱采集器
"Semantic Chunking",语义切片
"MCP server started","MCP 服务器已启动"
"MCP server stopped","MCP 服务器已停止"
"Processing request",正在处理请求
"Search completed",搜索完成
"No results found",未找到结果
"Invalid request format",请求格式无效
"Tool not found",工具未找到
"Resource not found",资源未找到
"Index updated",索引已更新
"Index rebuild started",索引重建已开始
"Index rebuild completed",索引重建已完成
