域名不能为空,域名不能为空
请选择域名商账号,请选择域名商账号
跳过购买（使用已有域名）,跳过购买（使用已有域名）
"开始购买域名: %{1}","开始购买域名: %{1}"
创建配置订单失败,创建配置订单失败
配置失败,配置失败
"配置订单已创建，订单号: #%{1}","配置订单已创建，订单号: #%{1}"
"域名购买成功，订单号: #%{1}","域名购买成功，订单号: #%{1}"
"开始配置 DNS...","开始配置 DNS..."
"DNS 配置完成","DNS 配置完成"
"DNS 配置需要手动处理","DNS 配置需要手动处理"
"开始绑定 CDN...","开始绑定 CDN..."
"CDN 绑定成功","CDN 绑定成功"
"正在切换 NS 服务器...","正在切换 NS 服务器..."
"NS 服务器切换成功","NS 服务器切换成功"
"NS 切换失败: %{1}","NS 切换失败: %{1}"
"CDN 绑定失败","CDN 绑定失败"
验证域名解析...,验证域名解析...
"服务器 IP: %{1}","服务器 IP: %{1}"
"域名解析成功: %{1} -> %{2}","域名解析成功: %{1} -> %{2}"
"等待 DNS 生效... (%{1}/6)","等待 DNS 生效... (%{1}/6)"
"DNS 可能尚未生效，请稍后手动验证","DNS 可能尚未生效，请稍后手动验证"
验证网站可访问性...,验证网站可访问性...
网站可正常访问,网站可正常访问
"网站暂时无法访问，DNS 可能仍在传播中","网站暂时无法访问，DNS 可能仍在传播中"
"开始申请 SSL 证书...","开始申请 SSL 证书..."
"SSL 证书申请成功","SSL 证书申请成功"
"SSL 证书申请需要进一步验证","SSL 证书申请需要进一步验证"
"跳过 SSL 证书申请","跳过 SSL 证书申请"
一站式配置完成！,一站式配置完成！
"配置过程发生错误: %{1}","配置过程发生错误: %{1}"
全部,全部
待处理,待处理
购买中,购买中
DNS,DNS
CDN,CDN
SSL,SSL
已完成,已完成
失败,失败
"SaaS 配置 - 绑定 DNS","SaaS 配置 - 绑定 DNS"
"一站式配置流程执行 DNS 绑定步骤时触发，观察者可在此创建 Zone/记录（如通过 Terraform）。","一站式配置流程执行 DNS 绑定步骤时触发，观察者可在此创建 Zone/记录（如通过 Terraform）。"
"SaaS 查询器不支持的操作：%{1}","SaaS 查询器不支持的操作：%{1}"
"SaaS 配置编排查询","SaaS 配置编排查询"
"提供一站式配置编排能力：域名购买、DNS 绑定、CDN 绑定、SSL 证书申请","提供一站式配置编排能力：域名购买、DNS 绑定、CDN 绑定、SSL 证书申请"
启动配置流程：购买域名,启动配置流程：购买域名
域名,域名
"域名商账号 ID","域名商账号 ID"
"购买年限，默认 1","购买年限，默认 1"
"网站 ID","网站 ID"
"是否自动创建站点 yes/no","是否自动创建站点 yes/no"
"DNS 供应商","DNS 供应商"
"DNS 账户 ID","DNS 账户 ID"
"CDN 供应商","CDN 供应商"
"CDN 账户 ID","CDN 账户 ID"
"是否申请 SSL 证书","是否申请 SSL 证书"
获取配置订单详情,获取配置订单详情
"订单 ID","订单 ID"
根据域名获取配置订单,根据域名获取配置订单
获取配置订单列表,获取配置订单列表
按状态过滤,按状态过滤
页码,页码
每页数量,每页数量
"执行 DNS 绑定步骤","执行 DNS 绑定步骤"
"执行 CDN 绑定步骤","执行 CDN 绑定步骤"
"执行 SSL 证书申请步骤","执行 SSL 证书申请步骤"
"切换域名 NS 到 CDN 供应商","切换域名 NS 到 CDN 供应商"
"NS 列表","NS 列表"
获取订单的步骤记录,获取订单的步骤记录
"获取当前服务器公网 IP","获取当前服务器公网 IP"
"域名和域名商账号 ID 不能为空","域名和域名商账号 ID 不能为空"
"订单 ID 无效","订单 ID 无效"
"订单 ID 和 NS 列表不能为空","订单 ID 和 NS 列表不能为空"
"SaaS 配置订单表","SaaS 配置订单表"
配置订单ID,配置订单ID
状态,状态
域名商账号ID,域名商账号ID
"DNS 供应商代码","DNS 供应商代码"
"DNS 账户ID","DNS 账户ID"
"CDN 供应商代码","CDN 供应商代码"
"CDN 账户ID","CDN 账户ID"
网站ID,网站ID
是否申请SSL证书,是否申请SSL证书
当前步骤,当前步骤
错误信息,错误信息
创建时间,创建时间
更新时间,更新时间
"SaaS 配置步骤表","SaaS 配置步骤表"
步骤ID,步骤ID
