收集人机验证提供者,收集人机验证提供者
"向统一 Captcha 注册 VerificationProviderInterface 实现。","向统一 Captcha 注册 VerificationProviderInterface 实现。"
收集人机验证允许域名,收集人机验证允许域名
"由 Websites 等域名所有者补充 reCAPTCHA hostname 白名单，Captcha 不反向依赖业务模块。","由 Websites 等域名所有者补充 reCAPTCHA hostname 白名单，Captcha 不反向依赖业务模块。"
"Google Captcha 查询器不支持的操作：%{1}","Google Captcha 查询器不支持的操作：%{1}"
"Google reCAPTCHA Enterprise 授权","Google reCAPTCHA 企业授权"
"选择授权账户可访问的 Project，并为当前网站域名创建 Enterprise Key。","选择授权账户可访问的 Project，并为当前网站域名创建 Enterprise Key。"
请先登录后台,请先登录后台
"Google 授权已撤销","Google 授权已撤销"
人机验证,人机验证
"已检测到人机验证凭据（腾讯云或 Google）。","已检测到人机验证凭据（腾讯云或 Google）。"
"按国家路由腾讯云 / Google Enterprise / 本地图码；迁站请同步允许域名。","按国家路由腾讯云 / Google Enterprise / 本地图码；迁站请同步允许域名。"
安全,安全
开启人机验证,开启人机验证
后台登录验证码,后台登录验证码
在后台登录页面显示验证码，允许其他模块自定义验证码显示方式。,在后台登录页面显示验证码，允许其他模块自定义验证码显示方式。
请输入图片中的验证码,请输入图片中的验证码
此表单受腾讯云验证码保护,此表单受腾讯云验证码保护
无法初始化腾讯云验证请求,无法初始化腾讯云验证请求
"腾讯云验证码校验失败：HTTP %{1} %{2}","腾讯云验证码校验失败：HTTP %{1} %{2}"
腾讯云验证码返回了无效响应,腾讯云验证码返回了无效响应
"此表单受 Google reCAPTCHA Enterprise 保护","此表单受 Google reCAPTCHA Enterprise 保护"
隐私权,隐私权
条款,条款
"受 Google 保护","受 Google 保护"
"Google Enterprise API Key 配置错误：当前值像 Site Key（6L…），服务端校验需要 Cloud「API 密钥」（通常 AIza… 开头）。请到系统配置 → Weline_Captcha 更换 API Key。","Google Enterprise API Key 配置错误：当前值像 Site Key（6L…），服务端校验需要 Cloud「API 密钥」（通常 AIza… 开头）。请到系统配置 → Weline_Captcha 更换 API Key。"
"Google Enterprise Site Key 无效：与项目 %{1} 不匹配或已删除。请到 Google Cloud → reCAPTCHA Enterprise 为该项目新建/复制 Site Key，并加入本地域名（如 *.test.weline.com），再写回系统配置 Weline_Captcha。","Google Enterprise Site Key 无效：与项目 %{1} 不匹配或已删除。请到 Google Cloud → reCAPTCHA Enterprise 为该项目新建/复制 Site Key，并加入本地域名（如 *.test.weline.com），再写回系统配置 Weline_Captcha。"
"Google reCAPTCHA Enterprise 验证失败：HTTP %{1} %{2}","Google reCAPTCHA Enterprise验证失败：HTTP %{1} %{2}"
"Google reCAPTCHA Enterprise 返回了无效响应","Google reCAPTCHA Enterprise 返回了无效响应"
"无法初始化 Google 验证请求","无法初始化 Google 验证请求"
需要验证码验证,需要验证码验证
验证码错误,验证码错误
人机验证配置,人机验证配置
check,查看
系统配置,系统配置
"Google 授权成功","Google 授权成功"
"Google 连接测试成功","Google 连接测试成功"
"授权 Google reCAPTCHA Enterprise","授权 Google reCAPTCHA Enterprise"
circle,圆圈
"处理 Google reCAPTCHA Enterprise 回调","处理 Google reCAPTCHA Enterprise 回调"
login,登录
"选择 Google Cloud Project",选择谷歌云项目
cloud,云
