客户账户登录后,客户账户登录后
客户身份和前台会话建立成功后同步触发，供购物车合并等登录后业务扩展使用。,客户身份和前台会话建立成功后同步触发，供购物车合并等登录后业务扩展使用。
客户密码重置邮件,客户密码重置邮件
前台/客户密码重置,前台/客户密码重置
重置链接,重置链接
客户邮箱,客户邮箱
您已登录,您已登录
请先设置密码,请先设置密码
请先登录,请先登录
缺少账户分区参数,缺少账户分区参数
"搜索客户（姓名 / 邮箱）","搜索客户（姓名 / 邮箱）"
解析单个客户显示信息,解析单个客户显示信息
"交换社媒 access token 失败","交换社媒 access token 失败"
"Google 未返回可用的账号标识或邮箱","Google 未返回可用的账号标识或邮箱"
"Facebook 未返回用户标识","Facebook 未返回用户标识"
"交换 Instagram access token 失败","交换 Instagram access token 失败"
"Instagram 未返回用户标识","Instagram 未返回用户标识"
未找到匹配客户,未找到匹配客户
搜索中...,搜索中...
id属性不能为空,id属性不能为空
"customer:admin:select 当前仅支持单选","customer:admin:select 当前仅支持单选"
请选择客户,请选择客户
搜索姓名或邮箱,搜索姓名或邮箱
前台顾客登录扩展区,前台顾客登录扩展区
在顾客登录页注入第三方登录入口等扩展内容。,在顾客登录页注入第三方登录入口等扩展内容。
账户首页订阅分区,账户首页订阅分区
在顾客账户首页「订阅」分区注入周期性订阅入口等内容。,在顾客账户首页「订阅」分区注入周期性订阅入口等内容。
账户首页订单分区,账户首页订单分区
在顾客账户首页“我的订单”分区注入订单列表、订单状态与售后入口等内容。,在顾客账户首页“我的订单”分区注入订单列表、订单状态与售后入口等内容。
账户发现卡片扩展,账户发现卡片扩展
在顾客账户中心发现页卡片区域注入扩展入口，例如分销摘要卡片。,在顾客账户中心发现页卡片区域注入扩展入口，例如分销摘要卡片。
"Customer ResourceChange Observer 只接受 v1 契约","Customer ResourceChange Observer 只接受 v1 契约"
社媒登录指南,社媒登录指南
查看各社媒登录提供方的使用指南与登录政策。,查看各社媒登录提供方的使用指南与登录政策。
无法统计令牌数量：%{1},无法统计令牌数量：%{1}
加载前端客户失败：%{1},加载前端客户失败：%{1}
无效的用户ID,无效的用户ID
用户不存在,用户不存在
获取成功,获取成功
无效的请求方法,无效的请求方法
用户名不能为空,用户名不能为空
用户名已存在,用户名已存在
新建用户必须设置密码,新建用户必须设置密码
保存成功,保存成功
删除失败,删除失败
删除成功,删除成功
令牌已重置,令牌已重置
密码已重置,密码已重置
前端客户,前端客户
users,users
查看前端客户,查看前端客户
user,user
查看前端客户详情,查看前端客户详情
保存前端客户,保存前端客户
save,save
删除前端客户,删除前端客户
trash,trash
重置前端令牌,重置前端令牌
refresh,refresh
重置前端密码,重置前端密码
lock,lock
联系我们,联系我们
登录,登录
你已经登录了，请先退出登录.,你已经登录了，请先退出登录.
请输入用户名/邮箱和密码。,请输入用户名/邮箱和密码。
人机验证失败或已过期，请重试,人机验证失败或已过期，请重试
请完成两步验证。,请完成两步验证。
登录成功.,登录成功.
"登录失败: %{1}","登录失败: %{1}"
个人中心,个人中心
用户名不能超过100个字符。,用户名不能超过100个字符。
请输入原密码,请输入原密码
原密码错误,原密码错误
新密码长度不能少于6位,新密码长度不能少于6位
两次输入的新密码不一致,两次输入的新密码不一致
更新成功,更新成功
请稍后重试,请稍后重试
更新失败，请稍后重试,更新失败，请稍后重试
更新失败：%{1},更新失败：%{1}
创建账户,创建账户
你已经登录了，请先退出登录。,你已经登录了，请先退出登录。
请填写名和姓。,请填写名和姓。
请填写邮箱。,请填写邮箱。
请输入有效的邮箱地址。,请输入有效的邮箱地址。
两次输入的密码不一致。,两次输入的密码不一致。
请同意服务条款与隐私政策。,请同意服务条款与隐私政策。
注册成功，欢迎加入。,注册成功，欢迎加入。
退出成功,退出成功
缺少登录验证令牌。,缺少登录验证令牌。
登录验证已失效或已过期。,登录验证已失效或已过期。
两步验证,两步验证
登录验证令牌缺失，请返回登录后重试。,登录验证令牌缺失，请返回登录后重试。
请输入验证码。,请输入验证码。
两步验证成功。,两步验证成功。
设置密码,设置密码
两次输入的密码不一致,两次输入的密码不一致
账户不存在,账户不存在
密码已设置,密码已设置
请先登录后再绑定社媒账户,请先登录后再绑定社媒账户
绑定社媒账户需要登录同一账户,绑定社媒账户需要登录同一账户
社媒账户已绑定,社媒账户已绑定
社媒登录会话已过期，请重试,社媒登录会话已过期，请重试
"请填写本站已有账户的用户名/邮箱与密码（不是 Google 登录密码）。若尚未注册，请使用下方「新建账户」。","请填写本站已有账户的用户名/邮箱与密码（不是 Google 登录密码）。若尚未注册，请使用下方「新建账户」。"
已绑定社媒账户并登录,已绑定社媒账户并登录
已创建账户并完成社媒登录,已创建账户并完成社媒登录
已解除社媒绑定,已解除社媒绑定
重置链接无效或已过期。,重置链接无效或已过期。
重置密码,重置密码
忘记密码,忘记密码
暂时无法创建密码重置请求。,暂时无法创建密码重置请求。
该邮箱尚未注册。,该邮箱尚未注册。
重置链接已发送至您的邮箱。,重置链接已发送至您的邮箱。
缺少重置令牌。,缺少重置令牌。
请输入新密码。,请输入新密码。
密码已重置，请使用新密码登录。,密码已重置，请使用新密码登录。
账户,账户
个人资料,个人资料
安全设置,安全设置
注册,注册
社媒登录,社媒登录
"绑定 Google / Facebook / Instagram","绑定 Google / Facebook / Instagram"
"Google 登录指南","Google 登录指南"
"使用 Google 账户授权后，可一键登录本站顾客账户，或把 Google 绑定到已有账户，无需重复输入密码。","使用 Google 账户授权后，可一键登录本站顾客账户，或把 Google 绑定到已有账户，无需重复输入密码。"
开始前准备,开始前准备
"准备可用的 Google 账户，并允许浏览器弹出 Google 授权窗口。","准备可用的 Google 账户，并允许浏览器弹出 Google 授权窗口。"
"商户须在后台「顾客社媒登录」填写 Google OAuth Client ID/Secret，并开启「激活前台入口」；未激活时登录页不会显示 Google Logo。","商户须在后台「顾客社媒登录」填写 Google OAuth Client ID/Secret，并开启「激活前台入口」；未激活时登录页不会显示 Google Logo。"
"首次授权时，若该 Google 尚未绑定本站账户，可选择「绑定已有账户」或「新建账户」。","首次授权时，若该 Google 尚未绑定本站账户，可选择「绑定已有账户」或「新建账户」。"
登录步骤,登录步骤
"打开本站登录页，在「快捷登录」区域点击 Google Logo。","打开本站登录页，在「快捷登录」区域点击 Google Logo。"
"跳转到 Google 安全授权页，选择账户并确认允许本站读取基础资料（邮箱、姓名、头像等）。","跳转到 Google 安全授权页，选择账户并确认允许本站读取基础资料（邮箱、姓名、头像等）。"
授权成功后自动返回本站：已绑定则直接登录；未绑定则进入选择页完成绑定或新建。,授权成功后自动返回本站：已绑定则直接登录；未绑定则进入选择页完成绑定或新建。
之后可在个人中心「连接与应用」查看绑定状态，或随时解绑。,之后可在个人中心「连接与应用」查看绑定状态，或随时解绑。
绑定与解绑,绑定与解绑
"已登录顾客可在个人中心发起「绑定」，完成 Google 授权后写入绑定关系。","已登录顾客可在个人中心发起「绑定」，完成 Google 授权后写入绑定关系。"
"解绑不会删除本站账户，仅移除 Google 一键登录能力；仍可用邮箱/密码登录。","解绑不会删除本站账户，仅移除 Google 一键登录能力；仍可用邮箱/密码登录。"
"同一 Google 账户通常只能绑定一个本站顾客；已被他人绑定时需先解绑或联系客服。","同一 Google 账户通常只能绑定一个本站顾客；已被他人绑定时需先解绑或联系客服。"
常见问题,常见问题
"登录页看不到 Google Logo？","登录页看不到 Google Logo？"
"请确认后台已填写凭据并开启「激活前台入口」；主题部件也未关闭 enable_google。","请确认后台已填写凭据并开启「激活前台入口」；主题部件也未关闭 enable_google。"
授权后提示状态无效或失败？,授权后提示状态无效或失败？
"请勿重复使用过期回调链接；关闭多余标签页后从登录页重新点击 Google Logo。","请勿重复使用过期回调链接；关闭多余标签页后从登录页重新点击 Google Logo。"
"不想再用 Google 登录？","不想再用 Google 登录？"
"在个人中心解绑即可；也可在 Google 账户安全设置中撤销对本站的应用授权。","在个人中心解绑即可；也可在 Google 账户安全设置中撤销对本站的应用授权。"
"查看 Google 登录政策","查看 Google 登录政策"
"Google 登录政策","Google 登录政策"
"说明本站如何通过 Google OAuth 获取与使用授权信息，以及您如何管理绑定与撤销授权。","说明本站如何通过 Google OAuth 获取与使用授权信息，以及您如何管理绑定与撤销授权。"
我们获取哪些信息,我们获取哪些信息
"在您确认授权后，本站仅获取 Google 返回的账户标识、邮箱、显示名称与头像（以实际授权范围为准）。","在您确认授权后，本站仅获取 Google 返回的账户标识、邮箱、显示名称与头像（以实际授权范围为准）。"
