进店音乐,進店音樂
settings,設定
进店音乐与氛围播放配置,進店音樂與氛圍播放設定
查看进店音乐配置,檢視進店音樂設定
查看进店音乐曲目与播放配置,檢視進店音樂曲目與播放設定
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,在統一設定中心開啟
作用范围,作用範圍
进店曲目,進店曲目
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","可多選 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，單檔最大約 20MB。拖動手柄調整順序；簡介按下方語言分別填寫。變更後自動寫入目前範圍。"
简介编辑语言,簡介編輯語言
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,切換語言後可為每首曲目填寫對應簡介；店面依訪客語言展示。
尚未选择曲目。请用上方媒体库添加多首进店音乐。,尚未選擇曲目。請用上方媒體庫新增多首進店音樂。
拖拽排序,拖曳排序
曲名,曲名
简介,簡介
选择进店音乐（可多选）,選擇進店音樂（可多選）
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,設定寫入目前作用範圍；可多選曲目、拖曳排序，並為簡介按語言填寫。啟用且至少一首曲目後，店面左下角顯示進店音樂浮層。
选择作用范围,選擇作用範圍
搜索作用范围,搜尋作用範圍
折叠,摺疊
展开,展開
未找到匹配作用范围,找不到相符作用範圍
播放控制,播放控制
上一首,上一首
播放,播放
停止,停止
停止播放,停止播放
下一首,下一首
"请先同意营销 Cookie 后再播放","請先同意行銷 Cookie 後再播放"
点击开启音乐,點一下開啟音樂
点击开启声音,點一下開啟聲音
波形不可用,波形不可用
开启波形,開啟波形
关闭波形,關閉波形
播放中,播放中
当前浏览器暂不支持此音频格式,目前瀏覽器暫不支援此音訊格式
音频加载失败，请换一首曲目或格式,音訊載入失敗，請換一首曲目或格式
已关闭自动播放，点击播放可重新开启,已關閉自動播放，點播放可重新開啟
已在其他页面播放,已在其他頁面播放
播放列表,播放列表
"共 {n} 首","共 {n} 首"
展开简介,展開簡介
收起简介,收起簡介
点开选曲,點開選曲
选择曲目聆听,選擇曲目聆聽
音量,音量
进店氛围音乐,進店氛圍音樂
关闭选曲,關閉選曲
搜索歌曲…,搜尋歌曲…
未找到匹配曲目,未找到相符曲目
搜索播放列表,搜尋播放列表
