"Sales Report","Sales Report"
"My Sales Report","My Sales Report"
"Reporting window:",报告时间段：
"Total Sales",总销售额
"Completed orders value in the window",该周期内完成订单金额
"Order Count",订单数量
"Number of completed orders counted",统计的完成订单数
"Average Order",平均订单金额
"Average completed order value",完成订单平均价值
"Report Center","Report Center"
"View your sales performance, order trends, and business insights all in one place.","View your sales performance, order trends, and business insights all in one place."
"Back to Account","Back to Account"
"Date Range","Date Range"
"Start Date","Start Date"
"End Date","End Date"
"Apply Filter","Apply Filter"
"No Data Available","No Data Available"
"No completed orders found in the selected date range. Try adjusting your filter or check back later.","No completed orders found in the selected date range. Try adjusting your filter or check back later."
