"Social Configuration","Social Configuration"
"Invalid social link configuration.","Invalid social link configuration."
"Social links configuration saved successfully.","Social links configuration saved successfully."
"Failed to save configuration: %1","Failed to save configuration: %1"
"Invalid product ID.","Invalid product ID."
"Share This Page","Share This Page"
"A social platform is required.","A social platform is required."
"Share recorded successfully.","Share recorded successfully."
社交分享记录前,社交分享记录前
"社交分享持久化前触发，负载包含可修改的 share_data；可携带 affiliate_share_code 串联分销分享链路。","社交分享持久化前触发，负载包含可修改的 share_data；可携带 affiliate_share_code 串联分销分享链路。"
社交分享记录后,社交分享记录后
"社交分享持久化后触发，负载包含 share、share_data；Affiliate 会监听 share_data.affiliate_share_code。","社交分享持久化后触发，负载包含 share、share_data；Affiliate 会监听 share_data.affiliate_share_code。"
"Social query provider does not support operation: %{1}","Social query provider does not support operation: %{1}"
"Social Query","Social Query"
"Provides social-share tracking, footer links, and product share URLs.","Provides social-share tracking, footer links, and product share URLs."
"Persist a social-share record.","Persist a social-share record."
"Count social shares for a product.","Count social shares for a product."
"Count social shares for multiple products.","Count social shares for multiple products."
"Return configured footer social links.","Return configured footer social links."
"Build share URLs for a product or page.","Build share URLs for a product or page."
"Storefront social login buttons","Storefront social login buttons"
"Inject third-party sign-in buttons into the storefront customer login page.","Inject third-party sign-in buttons into the storefront customer login page."
"Footer social links","Footer social links"
"Inject configured social links into storefront footers.","Inject configured social links into storefront footers."
"Follow us on %{1}","Follow us on %{1}"
WeShop,WeShop
Social,Social
Configuration,Configuration
"Total Platforms","Total Platforms"
"Configured Links","Configured Links"
"Pending Configuration","Pending Configuration"
"Footer Social Links","Footer Social Links"
"Configure the social media links displayed in the store footer.","Configure the social media links displayed in the store footer."
"Leave empty to hide from footer.","Leave empty to hide from footer."
"Share Settings","Share Settings"
"Configure product and page sharing behavior.","Configure product and page sharing behavior."
"Enable Share Tracking","Enable Share Tracking"
"Record when users share products on social media.","Record when users share products on social media."
"Show Share Counts","Show Share Counts"
"Display the number of times a product has been shared.","Display the number of times a product has been shared."
"Save Social Settings","Save Social Settings"
"Share this page with your friends and followers.","Share this page with your friends and followers."
"No URL provided to share.","No URL provided to share."
"No sharing options available.","No sharing options available."
"Share URL","Share URL"
Copy,Copy
Copied!,Copied!
