"Google Account Security","Google Account Security"
"Google account unbound successfully.","Google 账户解除绑定成功。"
"No Google binding was found for this backend user.","未找到此后台用户的 Google 绑定。"
"Unsupported binding action.",不支持的绑定操作。
"The backend login challenge token is missing.",后台登录挑战令牌缺失。
"The backend login challenge is invalid or has expired.",后台登录挑战无效或已过期。
"Please enter the verification code.",请输入验证码。
"Two-factor verification succeeded.",两步验证成功。
"Please sign in to your customer account first.",请先登录您的客户账户。
"No Google binding was found for this customer account.","未找到此客户账户的 Google 绑定。"
"The Google login state is invalid or has expired.","Google 登录状态无效或已过期。"
"Google authorization failed: %{1}","Google 授权失败：%{1}"
"Google authorization code is missing.","Google 授权码缺失。"
"Google account bound successfully.","Google 账户绑定成功。"
"Please complete two-factor verification to finish sign in.",请完成两步验证以完成登录。
"Login succeeded.",登录成功。
"The customer account for this Google login no longer exists.","此 Google 登录的客户账户已不存在。"
"The backend account for this Google login no longer exists.","此 Google 登录的后台账户已不存在。"
"Please sign in to your backend account first.",请先登录您的后台账户。
"The verification code is invalid.",验证码无效。
"The challenge does not belong to a backend login.",此挑战不属于后台登录。
"The backend account for this challenge no longer exists.",此挑战的后台账户已不存在。
"The backend account is unavailable.",后台账户不可用。
"This backend account has no role and cannot sign in.",此后台账户没有角色，无法登录。
"Google binding data is incomplete.","Google 绑定数据不完整。"
"This Google account is already bound to another user.","此 Google 账户已绑定到另一个用户。"
"Unsupported Google auth area: %{1}","不支持的 Google 认证区域：%{1}"
"A local user is required for Google binding.","Google 绑定需要本地用户。"
"This account has been disabled.",此账户已被禁用。
"This Google account is not bound to any backend user.","此 Google 账户未绑定到任何后台用户。"
"The customer account no longer exists.",客户账户已不存在。
"The backend account has no role and cannot sign in.",后台账户没有角色，无法登录。
"Google authorization code is required.","Google authorization code is required."
"Google token exchange failed.","Google 令牌交换失败。"
"Google email verification is required.","需要 Google 邮箱验证。"
"Google token validation failed.","Google 令牌验证失败。"
"Google userinfo request failed.","Google 用户信息请求失败。"
"Google auth is not configured.","Google 认证未配置。"
"Unsupported Google auth mode: %{1}","不支持的 Google 认证模式：%{1}"
"Sign in with Google","使用 Google 登录"
"Google Sign-In","Google 登录"
"Connected Account",已连接账户
"Google auth is not configured yet.","Google 认证尚未配置。"
"Set the Google client credentials before enabling customer account binding.","在启用客户账户绑定之前，请设置 Google 客户端凭证。"
"Google is connected to this storefront account.","Google 已连接到此店铺账户。"
Email,邮箱
"Bound At",绑定时间
"Last Google Login","上次 Google 登录"
Never,从未
"Rebind Google Account","重新绑定 Google 账户"
"Unbind Google","解除 Google 绑定"
"No Google account is currently connected. Binding keeps Google sign-in attached to this exact customer record and still respects future two-factor policies when enabled.","当前未连接任何 Google 账户。绑定会将 Google 登录附加到此确切客户记录，并且在启用时仍会遵守将来启用的两步策略。"
"Bind Google Account","绑定 Google 账户"
Dashboard,仪表盘
"Google Binding","Google 绑定"
"Backend Google Sign-In","后台 Google 登录"
"Set `google_auth.client_id` and `google_auth.client_secret` in environment configuration first.","请先在环境配置中设置 `google_auth.client_id` 和 `google_auth.client_secret`。"
"Callback URL: %{1}","回调 URL：%{1}"
"A Google account is currently bound to this backend user.","当前已有 Google 账户绑定到此后台用户。"
"Google Subject","Google 主题"
Unbind,解除绑定
"Backend Google sign-in requires an existing administrator account to bind a Google identity first. No backend user will ever be auto-created from Google login.","后台 Google 登录需要先有一个现有管理员账户绑定 Google 身份。从 Google 登录不会自动创建任何后台用户。"
Policy,策略
"Backend Google login only works for pre-bound administrator accounts.","后台 Google 登录仅适用于预先绑定的管理员账户。"
"ACL and role checks still run after Google identity verification.","Google 身份验证后仍会运行 ACL 和角色检查。"
"If you rotate Google credentials, rebind the account and verify the callback URL again.","如果您轮换 Google 凭证，请重新绑定账户并再次验证回调 URL。"
"Backend Two-Factor Verification",后台两步验证
"Enter the 6-digit code from your authenticator app or one of your backup codes to complete backend sign in.",输入您的身份验证器应用中的6位验证码或备用码之一以完成后台登录。
"Verification Code",验证码
123456,123456
"Verify and Sign In",验证并登录
"Challenge expires at: %{1}",挑战过期时间：%{1}
Unknown,未知
"使用 Google 账户继续","使用 Google 账户继续"
