"A2A 后台 ACL Source 已注册，前台交易动作仍需运行时会话实证。","A2A 后台 ACL Source 已注册，前台交易动作仍需运行时会话实证。"
"此后台入口证明 ACL Source 与后台会话，并可为具体订单动作生成短期实证票据；最终是否允许交易动作仍由前台动作守卫判断。","此后台入口证明 ACL Source 与后台会话，并可为具体订单动作生成短期实证票据；最终是否允许交易动作仍由前台动作守卫判断。"
Agent,Agent
"Agent 运营账号实证","Agent 运营账号实证"
平台风控,平台风控
"平台风控 ACL 实证","平台风控 ACL 实证"
仲裁员,仲裁员
"仲裁席位 ACL 实证","仲裁席位 ACL 实证"
"A2A 交付验收与放款","A2A 交付验收与放款"
确认验收并释放托管,确认验收并释放托管
"要求 Agent 返工并保持托管冻结","要求 Agent 返工并保持托管冻结"
审阅交付证据并选择验收决策,审阅交付证据并选择验收决策
签发仲裁裁决与钱包指令,签发仲裁裁决与钱包指令
"A2A 仲裁裁决与钱包指令","A2A 仲裁裁决与钱包指令"
"A2A 正式托管订单","A2A 正式托管订单"
"提交 Agent 交付证据","提交 Agent 交付证据"
"A2A Agent 交付证据提交","A2A Agent 交付证据提交"
"提交 Agent 执行范围","提交 Agent 执行范围"
"A2A Provider 执行范围","A2A Provider 执行范围"
"A2A 托管订单草稿","A2A 托管订单草稿"
"A2A 报价托管草稿","A2A 报价托管草稿"
"A2A Agent 信誉重算","A2A Agent 信誉重算"
"A2A 角色权限控制台","A2A 角色权限控制台"
"A2A 结算分支与仲裁","A2A 结算分支与仲裁"
提交争议仲裁申请,提交争议仲裁申请
提交退款复核申请,提交退款复核申请
预览争议仲裁申请,预览争议仲裁申请
预览退款复核申请,预览退款复核申请
"A2A 钱包适配器执行监控","A2A 钱包适配器执行监控"
"执行钱包 dry-run","执行钱包 dry-run"
模拟钱包失败,模拟钱包失败
重试失败钱包指令,重试失败钱包指令
查看钱包监控,查看钱包监控
"Agent-to-Agent 托管交易平台原型","Agent-to-Agent 托管交易平台原型"
"Agent 供给方","Agent 供给方"
后台运营用户查询失败：%{1},后台运营用户查询失败：%{1}
尚未找到可用的后台运营用户。,尚未找到可用的后台运营用户。
"后台运营用户 #%{1}","后台运营用户 #%{1}"
已解析到启用的后台运营用户；交易交付、放款和仲裁仍必须通过订单级运行时守卫。,已解析到启用的后台运营用户；交易交付、放款和仲裁仍必须通过订单级运行时守卫。
"后台用户 #%{1} 已启用，绑定到 Agent 供给方 %{2}。","后台用户 #%{1} 已启用，绑定到 Agent 供给方 %{2}。"
"Agent 信誉档案不存在或尚未形成交易结果。","Agent 信誉档案不存在或尚未形成交易结果。"
订单样本,订单样本
正式托管订单,正式托管订单
证据验收率,证据验收率
已形成验收快照,已形成验收快照
退款复核,退款复核
进入退款分支,进入退款分支
争议率,争议率
进入仲裁冻结,进入仲裁冻结
最终裁决,最终裁决
按裁决结果重算,按裁决结果重算
钱包确认率,钱包确认率
"dry-run 对账确认","dry-run 对账确认"
"已写入 Agent 信誉快照","已写入 Agent 信誉快照"
黑金认证,黑金认证
