订单创建后,"After order creation"
订单创建后触发，可用于处理订单创建后的相关操作。,"Triggered after order creation, can be used to handle related operations after order creation."
订单更新后,"After order update"
订单更新后触发，可用于处理订单更新后的相关操作。,"Triggered after order update, can be used to handle related operations after order update."
订单状态变更前,"Before Changing Order Status"
订单状态变更前触发，可用于验证或阻止状态变更。,"Triggered before changing the order status, can be used to validate or prevent the change."
订单状态变更后,"After Changing Order Status"
订单状态变更后触发，可用于处理状态变更后的相关操作。,"Triggered after changing the order status, can be used to handle post-change operations."
订单状态转换规则检查,"Order Status Transition Rule Check"
检查订单状态是否可以转换，允许其他模块扩展转换规则。,"Checking if order status can be transitioned, allowing other modules to extend transition rules."
订单状态保存前,"Before Saving Order Status"
订单状态保存前触发，允许其他模块在状态保存前进行验证或修改。,"Triggered before saving the order status, allowing other modules to validate or modify it before saving."
订单状态保存后,"After Saving Order Status"
订单状态保存后触发，可用于处理状态保存后的相关操作。,"Triggered after saving the order status, can be used to handle post-save operations."
订单状态删除前,"Before Deleting Order Status"
订单状态删除前触发，允许其他模块在状态删除前进行验证或阻止。,"Triggered before deleting the order status, allowing other modules to validate or prevent deletion."
订单状态删除后,"After Deleting Order Status"
订单状态删除后触发，可用于处理状态删除后的相关操作。,"Triggered after deleting the order status, can be used to handle post-deletion operations."
订单支付后,"After order payment"
订单支付后触发，可用于处理支付后的相关操作。,"Triggered after order payment, can be used to handle related operations after payment."
订单发货后,"After order shipment"
订单发货后触发，可用于处理发货后的相关操作。,"Triggered after order shipment, can be used to handle related operations after shipment."
订单完成后,"After order completion"
订单完成后触发，可用于处理完成后的相关操作。,"Triggered after order completion, can be used to handle related operations after completion."
订单取消后,"After order cancellation"
订单取消后触发，可用于处理取消后的相关操作。,"Triggered after order cancellation, can be used to handle related operations after cancellation."
订单退款后,"After Order Refund"
订单退款后触发，可用于处理退款后的相关操作。,"Triggered after an order refund, can be used to handle post-refund operations."
"物流反馈写入 Inbox 后","物流反馈写入 Inbox 后"
"跟踪壳在验签/解析并持久化反馈 Inbox 后触发；可用于异步应用状态、通知或开发中继观察。Provider 不得在 verify/parse 内推进订单状态。","跟踪壳在验签/解析并持久化反馈 Inbox 后触发；可用于异步应用状态、通知或开发中继观察。Provider 不得在 verify/parse 内推进订单状态。"
获取订单状态标签,"Fetch order status label"
获取订单状态标签，允许其他模块扩展状态标签。,"Fetch order status label, allowing other modules to extend status labels."
获取订单状态CSS类,"Fetch order status CSS class"
获取订单状态CSS类，允许其他模块扩展状态样式。,"Fetch order status CSS class, allowing other modules to extend status styles."
获取支付状态标签,"Get Payment Status Label"
获取支付状态标签，允许其他模块扩展支付状态标签。,"Get Payment Status Label, allowing other modules to extend payment status labels."
获取发货状态标签,"Shipping status label retrieved"
获取发货状态标签，允许其他模块扩展发货状态标签。,"Shipping status label retrieved, allowing other modules to extend shipping status labels."
解析完整状态信息,"Parse full status information"
解析完整状态信息，允许其他模块扩展状态信息解析。,"Parse full status information, allowing other modules to extend status information parsing."
"订单 ID","Order ID"
"订单 UUID","订单 UUID"
订单号,"Order Number"
客户邮箱,"Customer Email"
状态,Status
原状态,原状态
订单金额,订单金额
货币,currency
"商品明细 HTML（|raw）","商品明细 HTML（|raw）"
备注,Comment
附加说明,附加说明
订单创建通知,订单创建通知
新订单创建后的客户/运营邮件通知,新订单创建后的客户/运营邮件通知
订单支付通知,订单支付通知
订单支付成功邮件通知,订单支付成功邮件通知
订单状态变更通知,订单状态变更通知
订单状态变更邮件通知,订单状态变更邮件通知
订单发货通知,订单发货通知
订单发货/物流邮件通知,订单发货/物流邮件通知
订单退款通知,订单退款通知
订单退款相关邮件通知,订单退款相关邮件通知
订单接口不支持操作：%{1},订单接口不支持操作：%{1}
订单服务暂时不可用，请稍后再试。,订单服务暂时不可用，请稍后再试。
订单前台,订单前台
订单留言等前台会话能力。,订单留言等前台会话能力。
"Weline_Order typed admin operations","Weline_Order typed admin operations"
"按类型与 Scope 查询订单对象展示号","Query order object display number by type and scope"
订单状态后台类型化操作,"Order status background typed operation"
页面读取到的对象授权版本,"The authorized version of the object read by the page"
未付订单信号,未付订单信号
"只读未付订单事实，供营销挽回使用（无遗弃 TTL、无触达）。","只读未付订单事实，供营销挽回使用（无遗弃 TTL、无触达）。"
列出未付零售订单事实供营销挽回,列出未付零售订单事实供营销挽回
发信前再验订单是否仍未付,发信前再验订单是否仍未付
客户已付订单计数与最近活跃时间,客户已付订单计数与最近活跃时间
退款接口不支持该操作：%{1},"The refund interface does not support this operation: %{1}"
系统订单追踪,"System order tracking"
暂无第三方物流商时，按订单履约状态展示系统追踪。,"Shows system tracking from fulfillment status when no carrier provider is bound."
已下单,Ordered
已支付,Paid
已发货,Fulfilled
发往目的地,"In transit to destination"
已送达,Delivered
订单已送达,"Order delivered"
已发货，发往目的地,"Shipped — in transit to destination"
订单已支付，等待发货,"Order paid, awaiting shipment"
订单处理中,"Order processing"
系统追踪不接收外部物流反馈,"System tracking does not accept external carrier feedback"
系统追踪无需外部连接,"System tracking requires no external connection"
订单已创建,"Order created"
支付完成，仓库备货中,"Payment completed, preparing in warehouse"
目的地,Destination
发往目的地：%{1},"In transit to destination: %{1}"
演示物流,"Demo carrier"
仅用于本地开发验证正式物流轨迹与反馈中转，不连接真实承运商。,"Local demo carrier for formal tracking and feedback relay; not a real carrier."
已揽收,"Picked up"
运输中,"In transit"
派送中,"Out for delivery"
已签收,"Signed for"
【演示】快递员正在派送,"[Demo] Courier is out for delivery"
【演示】包裹已到达目的地转运中心,"[Demo] Package arrived at destination hub"
【演示】承运商已揽收,"[Demo] Carrier picked up the package"
【演示】包裹派送中,"[Demo] Package out for delivery"
空反馈体,"Empty feedback body"
演示反馈签名无效,"Invalid demo feedback signature"
演示反馈验签通过,"Demo feedback signature verified"
"演示反馈 JSON 无效","Invalid demo feedback JSON"
【演示】物流状态已更新,"[Demo] Tracking status updated"
演示物流连接正常,"Demo carrier connection OK"
账户首页订单分区,"Account Homepage Orders Section"
在顾客账户首页「我的订单」分区注入订单列表、订单状态与售后入口等内容。,"Inject order lists, order states, and after-sales entries into the My Orders section on the customer account homepage."
订单详情页之前,"Before Order Details Page"
在订单详情页内容之前注入内容，允许其他模块在订单详情页顶部添加自定义内容。,"Inject content before the order details page content, allowing other modules to add custom content at the top of the order details page."
订单详情页之后,"After Order Details Page"
在订单详情页内容之后注入内容，允许其他模块在订单详情页底部添加自定义内容。,"Inject content after the order details page content, allowing other modules to add custom content at the bottom of the order details page."
订单详情支付记录槽,订单详情支付记录槽
"订单详情「支付记录」空槽内的默认扩展点；由万能支付模块注入 Attempt 记录，禁止 Order 直读 Payment 表。","订单详情「支付记录」空槽内的默认扩展点；由万能支付模块注入 Attempt 记录，禁止 Order 直读 Payment 表。"
订单详情发货记录槽,订单详情发货记录槽
"订单详情「发货记录」空槽内的默认扩展点；由配送模块注入发货/物流记录，禁止 Order 硬编码发货表 UI。","订单详情「发货记录」空槽内的默认扩展点；由配送模块注入发货/物流记录，禁止 Order 硬编码发货表 UI。"
订单详情批发沟通槽,订单详情批发沟通槽
