评论接口不支持操作：%{1},"The comment interface does not support the operation: %{1}"
评论服务暂时不可用，请稍后再试。,"The comment service is temporarily unavailable, please try again later."
通用评论,"Universal reviews"
按评论类型读取动态表单、提交评论并上传图文视频媒体。,"Load dynamic forms by review type, submit reviews, and upload photo/video media."
通用商品评论,"Universal product reviews"
"兼容 Hook：主路径为 product-reviews 部件经布局容器 default_injections 注入。","Compatibility hook: primary path is the product-reviews widget injected via layout-container default_injections."
评论已通过。,"The review was approved."
评论已拒绝。,"The review was rejected."
审核操作失败：%{1},"Moderation failed: %{1}"
评论管理,"Review management"
管理网站评论,"Manage site reviews"
评论列表,"Review list"
查看所有评论,"View all reviews"
审核评论,"Moderate reviews"
通过或拒绝评论,"Approve or reject reviews"
正在加载评论...,"Loading reviews..."
评论加载失败，请稍后重试。,"Reviews could not be loaded. Please try again later."
暂时还没有已审核的评论，欢迎分享第一条真实体验。,"No approved reviews yet. Be the first to share a real experience."
条评论,reviews
正在上传媒体并提交评论...,"Uploading media and submitting your review..."
评论暂时无法提交，请稍后再试。,"The review could not be submitted. Please try again later."
评论表单加载失败，请刷新页面重试。,"The review form could not be loaded. Please refresh the page."
预览模式：表单仅供排版查看，请到真实商品页提交。,"Preview only: the form is for layout. Submit on a real product page."
"最多选择 6 张图片，单张不超过 10 MB。","Choose up to 6 photos, no more than 10 MB each."
"最多选择 2 个视频，单个不超过 50 MB。","Choose up to 2 videos, no more than 50 MB each."
所选媒体文件数量或大小超过限制。,"The selected media exceeds the file count or size limit."
图片,Photo
视频,Video
移除,Remove
提交评论,"Submit review"
请选择所有必填评分。,"Select every required rating."
商品评论,"Product reviews"
支持的评论媒体,"Supported review media"
"最多 6 张图片","Up to 6 photos"
"最多 2 个视频","Up to 2 videos"
文字与五星评分,"Text and five-star rating"
分享真实体验,"Share a real experience"
"撰写图文 / 视频评论","Write a photo / video review"
正在加载评论表单...,"Loading review form..."
支持匿名或登录评论；媒体与扩展字段会和评论一起进入审核。,"Guest and signed-in reviews are supported; media and extra fields are moderated together."
统一管理文字、图片与视频评论,"Manage text, photo, and video reviews in one place"
网站,Website
店铺,Store
状态,Status
筛选,Filter
"等待 AI 预审","Waiting for AI review"
"AI 审核待人工","AI review needs a human decision"
已通过,Approved
已拒绝,Rejected
全部状态,"All statuses"
无媒体,"No media"
评论图片,"Review photo"
通过,Approve
拒绝,Reject
查看详细内容,"View details"
评分与评论者,"Rating and reviewer"
评论内容,"Review content"
图片与视频,"Photos and videos"
评论对象,"Reviewed entity"
提交时间,"Submitted at"
操作,Actions
暂无评论,"No reviews"
评论分页,"Review pagination"
上一页,Previous
下一页,Next
总体评分,"Overall rating"
质量评分,"Quality rating"
交付评分,"Delivery rating"
服务评分,"Service rating"
标题（选填）,"Title (optional)"
一句话概括您的体验,"Summarize your experience"
"请至少填写 10 个字符，分享车型、交付或使用体验。","Enter at least 10 characters about the model, delivery, or ownership experience."
添加图片,"Add photos"
添加视频,"Add videos"
您的称呼（游客选填）,"Your name (optional for guests)"
邮箱（游客选填，不公开）,"Email (optional for guests, not public)"
匿名展示这条评论,"Show this review anonymously"
"评分必须在 1 到 5 星之间。","Rating must be between 1 and 5 stars."
"评论标题不能超过 120 个字符。","The review title cannot exceed 120 characters."
"评论内容需要 10 到 2000 个字符。","Review content must be between 10 and 2000 characters."
"称呼不能超过 120 个字符。","The display name cannot exceed 120 characters."
邮箱格式不正确。,"The email address is invalid."
游客,Guest
已登录客户,"Signed-in customer"
评论类型编码无效。,"The review type code is invalid."
评论类型不存在或尚未注册：%{1},"The review type is not registered: %{1}"
未找到对应的评论对象。,"The reviewed entity could not be found."
评论写入失败。,"The review could not be saved."
评论已提交，审核通过后会公开显示。,"Your review was submitted and will appear after moderation."
匿名用户,Anonymous
已认证买家,"Verified buyer"
评论媒体参数无效。,"The review media request is invalid."
请选择要上传的图片或视频。,"Choose a photo or video to upload."
媒体文件内容无效。,"The media file content is invalid."
