文章生成适配器,文章生成适配器
"专为 Blog 和 PageBuilder 模块设计的 AI 文章生成适配器。支持多种文章类型、多语言、SEO 优化、自定义风格和长度。输出结构化 JSON 格式，包含标题、摘要、正文、SEO 元信息等。","专为 Blog 和 PageBuilder 模块设计的 AI 文章生成适配器。支持多种文章类型、多语言、SEO 优化、自定义风格和长度。输出结构化 JSON 格式，包含标题、摘要、正文、SEO 元信息等。"
无效的文章类型：%{type},无效的文章类型：%{type}
无效的写作风格：%{style},无效的写作风格：%{style}
无效的文章长度：%{length},无效的文章长度：%{length}
文章生成适配器参数,文章生成适配器参数
主关键词,主关键词
文章的核心关键词，将在标题和内容中突出,文章的核心关键词，将在标题和内容中突出
相关关键词,相关关键词
需要在文章中自然融入的相关关键词,需要在文章中自然融入的相关关键词
文章类型,文章类型
博客文章,博客文章
新闻资讯,新闻资讯
产品介绍,产品介绍
落地页,落地页
企业介绍,企业介绍
FAQ,FAQ
教程,教程
评测,评测
写作风格,写作风格
专业严谨,专业严谨
轻松活泼,轻松活泼
技术深度,技术深度
营销推广,营销推广
教育科普,教育科普
文章长度,文章长度
短篇（300-500字）,短篇（300-500字）
中篇（500-800字）,中篇（500-800字）
长篇（800-1500字）,长篇（800-1500字）
语言,语言
"文章语言代码，如 zh_Hans_CN, en_US","文章语言代码，如 zh_Hans_CN, en_US"
目标受众,目标受众
文章的目标读者群体,文章的目标读者群体
包含SEO信息,包含SEO信息
"是否生成 meta_title、meta_description、meta_keywords","是否生成 meta_title、meta_description、meta_keywords"
自定义说明,自定义说明
额外的写作要求或说明,额外的写作要求或说明
博客文章生成,博客文章生成
"根据关键词生成 SEO 优化的博客文章","根据关键词生成 SEO 优化的博客文章"
"关键词：PHP 8.4 新特性","关键词：PHP 8.4 新特性"
产品介绍页,产品介绍页
生成产品介绍文案,生成产品介绍文案
产品：智能家居控制中心,产品：智能家居控制中心
"FAQ 生成","FAQ 生成"
生成常见问题解答,生成常见问题解答
主题：电商退换货政策,主题：电商退换货政策
搜索AI模型...,搜索AI模型...
"ai:agent:scan 扫描并注册智能体","ai:agent:scan 扫描并注册智能体"
显示帮助信息,显示帮助信息
显示详细信息,显示详细信息
扫描并注册所有智能体,扫描并注册所有智能体
显示详细的扫描过程,显示详细的扫描过程
"每个智能体必须实现 AgentInterface 接口。","每个智能体必须实现 AgentInterface 接口。"
开始扫描智能体...,开始扫描智能体...
未发现任何智能体,未发现任何智能体
"成功扫描 %{count} 个智能体","成功扫描 %{count} 个智能体"
描述,描述
场景,场景
工具数,工具数
最大迭代,最大迭代
个工具,个工具
智能体扫描完成,智能体扫描完成
扫描智能体失败,扫描智能体失败
错误堆栈,错误堆栈
开始同步AI模型列表...,开始同步AI模型列表...
"%{1} 同步成功：模型 %{2}，更新 %{3}，新增 %{4}，跳过 %{5}","%{1} 同步成功：模型 %{2}，更新 %{3}，新增 %{4}，跳过 %{5}"
"%{1} 同步失败：%{2}","%{1} 同步失败：%{2}"
未知错误,未知错误
"模型收集完成，共 %{1} 个模型","模型收集完成，共 %{1} 个模型"
已跳过模型收集,已跳过模型收集
适配器ID不能为空,适配器ID不能为空
适配器不存在,适配器不存在
"成功扫描 %{count} 个适配器","成功扫描 %{count} 个适配器"
"适配器扫描失败: %{error}","适配器扫描失败: %{error}"
请选择要设置的适配器,请选择要设置的适配器
请选择默认模型,请选择默认模型
"已为 %{count} 个适配器设置默认模型","已为 %{count} 个适配器设置默认模型"
批量设置失败：%{error},批量设置失败：%{error}
请先选择要配置模型绑定的适配器,请先选择要配置模型绑定的适配器
请至少选择一个能力模型,请至少选择一个能力模型
模型绑定已保存,模型绑定已保存
模型绑定保存失败,模型绑定保存失败
删除成功,删除成功
删除失败：%{error},删除失败：%{error}
请选择要删除的适配器,请选择要删除的适配器
