博客分类,Blog categories
分类 ID 不能为空,Category ID is required.
博客文章 sitemap URL 提供器,Blog post sitemap URL provider
博客,Blog
标题（选填）,Title (optional)
一句话概括您的观点,Summarize your point in one sentence
评论内容,Review content
请至少填写 10 个字符，分享您的阅读感受。,Enter at least 10 characters about your reading experience.
添加图片,Add photos
添加视频,Add videos
您的称呼（游客选填）,Your name (optional for guests)
邮箱（游客选填，不公开）,"Email (optional for guests, not public)"
匿名展示这条评论,Show this review anonymously
评论标题不能超过 120 个字符。,The review title cannot exceed 120 characters.
评论内容需要 10 到 2000 个字符。,Review content must be between 10 and 2000 characters.
称呼不能超过 120 个字符。,The display name cannot exceed 120 characters.
邮箱格式不正确。,The email address is invalid.
游客,Guest
已登录客户,Signed-in customer
编辑,Edit
全部语言,All languages
博客文章已保存。,Blog post saved.
正文编辑器暂未就绪，请确认文章标题、Slug 与站点已保存后再刷新页面。,"Body editor is not ready; confirm title, slug, and site are saved, then refresh."
正文编辑器加载失败：%{1},Body editor failed to load: %{1}
Slug 已生成,Slug generated
博客文章已删除。,Blog post deleted.
草稿,Draft
已发布,Published
已禁用,Disabled
博客文章,Blog Posts
管理博客文章,Manage Blog Posts
博客文章列表,Blog Post List
查看博客文章,View Blog Post
保存博客文章,Save Blog Post
创建或更新博客文章,Create or update a blog post
AI 生成博客 Slug,AI-generated blog slug
使用翻译 AI 生成博客 slug,Generate blog slug with translation AI
删除博客文章,Delete Blog Post
作者,Author
更新于,Updated on
分钟阅读,min read
相关文章,Related Posts
关键词,Keywords
面包屑,Breadcrumb
文章,Article
暂无文章,No posts yet
返回博客,Back to Blog
共 %{1} 条,%{1} item(s) total
文章列表,Article list
未命名文章,Untitled Post
博客文章封面,Blog post cover
页面,Page
博客页面,Blog Page
未命名页面,Untitled Page
全部文章,All Posts
展开/收起,Expand / collapse
订阅 RSS,Subscribe to RSS
正在加载评论...,Loading reviews...
评论列表,Review list
评论分页,Comment pagination
上一页,Previous page
下一页,Next page
第,#
页,Page
评论加载失败，请稍后重试。,Reviews could not be loaded. Please try again later.
暂时还没有已审核的评论，欢迎分享第一条真实体验。,No approved reviews yet. Be the first to share your experience.
条评论,reviews
正在上传媒体并提交评论...,Uploading media and submitting your review...
评论暂时无法提交，请稍后再试。,The review could not be submitted. Please try again later.
评论表单加载失败，请刷新页面重试。,The review form could not be loaded. Please refresh the page.
预览模式：表单仅供排版查看，请到真实博客页提交。,Preview only: the form is for layout. Submit on a real blog page.
最多选择 6 张图片，单张不超过 10 MB。,"Choose up to 6 photos, no more than 10 MB each."
最多选择 2 个视频，单个不超过 50 MB。,"Choose up to 2 videos, no more than 50 MB each."
所选媒体文件数量或大小超过限制。,The selected media exceeds the file count or size limit.
评论图片,Review photo
视频,Video
移除,Remove
提交评论,Submit review
请填写评论内容。,Please enter review content.
写评论,Write a review
收起评论表单,Hide review form
查看图片,View photo
播放视频,Play video
关闭预览,Close preview
评论媒体预览,Review media preview
博客评论,Blog Comments
支持的评论媒体,Supported review media
最多 6 张图片,Up to 6 photos
最多 2 个视频,Up to 2 videos
文字评论,Text comments
分享您的阅读感受,Share your thoughts on this article
撰写图文 / 视频评论,Write a photo / video review
正在加载评论表单...,Loading review form...
支持匿名或登录评论；媒体与扩展字段会和评论一起进入审核。,Guest and signed-in reviews are supported; media and extra fields are moderated together.
管理当前网站下的博客文章与发布状态,Manage blog posts and publish status for the current website
万能分类 · 博客,Universal category · Blog
新建文章,New Post
网站,Website
语言,Locale
状态,Status
搜索,Search
重置,Reset
封面,Cover
标题 / Slug,Title / Slug
范围,Range
语言 / 分类 / 状态,Language / category / status
更新时间,Updated At
全部状态,All Statuses
文章分页,Article pagination
第 %{1} / %{2} 页,Page %{1} / %{2}
返回列表,Back to list
预览,Preview
文章设置,Post Settings
站点、语言与 slug 决定前台访问路径；保存后可在下方编辑正文。,"Website, locale, and slug define the public URL; save here before editing body content below."
站点,Website
标题,Title
Slug,Slug
恢复标题自动联动,Restore title auto-sync
AI 处理,AI translate
前台路径为 /blog/{slug}；标题自动联动为音译 slug（非 AI）；需翻译优化时点 AI 处理。,Public path is /blog/{slug}; auto slug uses transliteration (not AI). Use AI processing when you need translation-based slugs.
摘要,Excerpt
点击选择封面,Click to choose cover
建议 1200×630，支持 jpg / png / webp，单张不超过 2 MB。,Recommended 1200×630; jpg / png / webp up to 2 MB.
作者职称,Author title
作者主页 URL,Author homepage URL
作者 sameAs,Author sameAs
作者简介,Author bio
分类,Category
无分类,No Category
保存文章设置,Save post settings
新窗口打开编辑器,Open editor in new window
正文编辑,Body Editor
使用 Theme 可视化编辑器排版正文内容与区块。,Layout body content and blocks with the Theme visual editor.
编辑器已就绪,Editor ready
未安装 CMS 模块，正文请在结构化字段中维护。,CMS module is not installed. Maintain body content in structured fields.
先保存文章设置，然后直接在这里进行 Theme 可视化编辑。,"Save post settings first, then edit visually here with Theme."
编辑文章,Edit Post
调整元信息、封面与发布状态，正文在下方 Theme 编辑器中维护,"Adjust metadata, cover, and publish status; edit body content in the Theme editor below"
先保存文章设置，再进入 Theme 可视化编辑正文,"Save post settings first, then edit body content in the Theme visual editor"
输入文章标题,Enter post title
例如 hello-world,e.g. hello-world
一句话概括文章要点，用于列表与 SEO,One-line summary for listings and SEO
封面预览,Cover preview
如：汉服研究员,e.g. Hanfu researcher
https 档案链接，逗号分隔,"https profile links, comma-separated"
逗号分隔,Comma separated
Theme 可视化编辑,Theme visual editor
分类名称不能为空,Category name cannot be empty
分类不存在,Category does not exist
不能将自己作为父分类,A category cannot be its own parent
父分类不存在,Parent category not found
博客分类最多支持两级,Blog categories support up to 2 levels
不能将分类移动到其子孙节点下,Cannot move a category under its own descendant.
含子分类的节点只能放在顶级,Nodes with subcategories must be top-level
博客 slug 无效。,Invalid blog slug.
博客 slug 已被其他文章占用：%{1},Blog slug is already used by another post: %{1}
博客 slug 与 CMS blog 页面冲突：%{1},Blog slug conflicts with a CMS blog page: %{1}
博客 slug 不能为空。,Blog slug cannot be empty.
博客文章不存在。,Blog post not found.
未命名分类,Unnamed Category
技术分享,Tech Sharing
产品动态,Product Updates
公司新闻,Company News
最新博客文章,Latest blog posts
分类「%{1}」的最新文章,"Latest articles in category ""%{1}"""
「%{1}」分类博客 · 穿搭与选购,"""%{1}"" category blog · styling & buying"
汉服博客分类 · 穿搭灵感与选购指南,Hanfu blog categories · styling inspiration and buying guides
浏览「%{1}」分类下的汉服穿搭、形制科普与选购避坑文章，帮助你更快做出合适选择。,"Browse Hanfu styling, form explainers, and buying guides under ""%{1}"" to choose faster."
按分类浏览汉服穿搭灵感、形制科普与选购指南，快速找到适合日常与礼仪场合的内容。,"Browse Hanfu styling inspiration, form explainers, and buying guides by category for daily and ceremonial looks."
阅读穿搭灵感、形制科普与选购避坑，帮助你更快做出合适选择。,"Read styling tips, form explainers, and buying pitfalls to choose faster."
首页,Home
订阅本分类 RSS,Subscribe to this category RSS
汉服博客 | 穿搭灵感与文化指南,Hanfu Blog | Styling inspiration & cultural guides
精选文章与分类阅读,Featured articles and category reading
订阅博客 RSS,Subscribe to blog RSS
汉服博客,Hanfu Blog
阅读汉服穿搭灵感、形制科普与节日搭配指南，系统了解明制、宋制、唐制与马面裙的选购要点、穿着建议、保养提醒与礼仪场景搭配方法，帮助你更快做出更合适且更安心的选择。,"Read Hanfu outfit inspiration, silhouette guides, and festival styling tips—covering Ming, Song, Tang styles and mamian skirts, with care notes—so you can choose with confidence."
博客 RSS,Blog RSS
「%{1}」分类 RSS,"""%{1}"" category RSS"
博客分类 RSS,Blog category RSS
浏览「%{1}」分类下的文章,Browse posts in “%{1}”
按分类浏览博客文章,Browse blog posts by category
正在加载更多评论...,Loading more reviews...
继续下滑加载更多评论,Scroll for more reviews
已显示全部评论,All reviews loaded
前台路径为 /blog/{slug}；AI 处理会按当前语言生成对应 slug。,Storefront path is /blog/{slug}; AI generates locale-specific slugs.
AI 生成博客 slug,AI-generated blog slug
网站 ID,Website ID
正文,Content
封面图 URL,Cover Image URL
保存,Save
筛选,Filter
"""博客文章 sitemap URL 提供器""",Blog article sitemap URL provider
支持文字、图片与视频，内容审核后公开。,"Supports text, photos, and videos. Content is published after review."
万能评论大部件：博客文章评论列表与图文提交；默认注入博客详情评论容器。,Universal reviews widget: blog post listing and photo/video submit; default-injected into the blog detail reviews slot.
博客详情默认在评论容器槽展示万能评论大部件,Default blog detail reviews slot uses the universal reviews widget
图片,Photo
作者信息,Author Information
发布于,Published on
阅读时间,Reading time
约 %{1} 分钟阅读,About %{1} min read
请选择站点,Select website
搜索站点名称或编码,Search website name or code
选择封面,Choose cover
更换封面,Change cover
点击更换封面,Click to change cover
封面选择器不可用，请刷新页面后重试,Cover picker is unavailable. Refresh the page and try again.
请先填写标题,Please enter a title first
Slug 建议接口不可用,Slug suggestion endpoint is unavailable
AI slug 生成失败,AI slug generation failed
AI slug 请求失败,AI slug request failed
前台路径为 /blog/{slug}；中文标题可点 AI 处理生成英文 slug。,Public path is /blog/{slug}; AI processing generates a slug for the current language.
新闻中心,News Center
页脚博客链接,Footer blog link
页脚新闻中心链接,Footer news center link
页脚了解我们扩展槽：博客列表入口，可拖入 footer-about-links。,Footer Get-to-know-us extras slot: blog index link; drag into footer-about-links.
