"CMS page saved","CMS page saved"
"Dispatched after a CMS page is created, updated, published, unpublished, or saved as draft.","Dispatched after a CMS page is created, updated, published, unpublished, or saved as draft."
"CMS page deleted","CMS page deleted"
"Dispatched after a CMS page is moved to trash or disabled as deleted.","Dispatched after a CMS page is moved to trash or disabled as deleted."
"CMS 页面","CMS page"
"CMS 查询器不支持的操作：%{1}","Unsupported CMS query operation: %{1}"
"CMS 已发布页面 sitemap URL 提供器","CMS published page sitemap URL provider"
"CMS 页面ID不能为空。","CMS page ID cannot be empty."
"CMS 页面不存在。","CMS page does not exist."
"CMS 页面已移入回收站。","The CMS page has been moved to the trash."
"回收站快照中缺少 CMS 页面ID，无法恢复。","The CMS page ID is missing from the recycle bin snapshot and cannot be restored."
"原 CMS 页面记录不存在，无法自动恢复；请从原始数据手动处理。","The original CMS page record does not exist and cannot be automatically restored; please process it manually from the original data."
"CMS 页面已恢复。","CMS page restored."
"回收站快照中缺少 CMS 页面ID，无法永久清理。","The CMS page ID is missing from the recycle bin snapshot and cannot be permanently cleaned."
"CMS 页面当前未处于删除状态，不能永久清理。","The CMS page is not currently in a deleted state and cannot be permanently cleaned."
"CMS 页面记录已永久清理，Theme 历史数据保留。","CMS page records have been permanently cleared, and Theme historical data is retained."
"CMS 一级 path","CMS first level path"
"CMS 一级 path 不存在。","CMS first-level path does not exist."
"该一级 path 下还有页面，不能直接移入回收站。","There are pages under this first-level path and cannot be moved directly to the recycle bin."
"CMS 一级 path 已移入回收站。","CMS first-level path has been moved to the recycle bin."
"回收站快照中缺少 CMS 一级 path ID，无法恢复。","The CMS first-level path ID is missing from the recycle bin snapshot and cannot be restored."
"原 CMS 一级 path 记录不存在，无法自动恢复；请从原始数据手动处理。","The original CMS first-level path record does not exist and cannot be automatically restored; please process it manually from the original data."
"CMS 一级 path 已恢复。","CMS level 1 path has been restored."
"回收站快照中缺少 CMS 一级 path ID，无法永久清理。","The CMS first-level path ID is missing from the recycle bin snapshot and cannot be permanently cleaned."
"CMS 一级 path 当前未处于删除状态，不能永久清理。","The CMS first-level path is currently not in a deleted state and cannot be permanently cleaned."
"CMS 一级 path 记录已永久清理。","CMS first-level path records have been permanently cleared."
"CMS 页面模块，基于 Theme/Meta 管理布局、可视化编辑与页面级渲染配置。","CMS page module based on Theme/Meta for layout, visual editing, and page-level render configuration."
"网站 %{1}（%{2}）缺少默认店铺，CMS 1.1.0 升级已停止。","Website %{1} (%{2}) is missing a default store and the CMS 1.1.0 upgrade has been stopped."
"CMS 页面所属网站缺少默认店铺，升级已停止。","The website to which the CMS page belongs lacks a default store and the upgrade has been stopped."
"单个网站的店铺数量超过 CMS 安全升级上限。","A website has more stores than the CMS safe-upgrade limit."
"单个 CMS 页面的历史语言变体超过升级上限。","A CMS page has more historical locale variants than the upgrade limit allows."
"CMS 页面语言变体数据无效，升级已停止。","CMS page locale variant data is invalid; the upgrade was stopped."
"CMS 店铺语言变体存在跨网站归属，升级已停止。","A CMS store-locale variant belongs to another website; the upgrade was stopped."
"CMS 旧语言行映射后发生店铺语言冲突，升级已停止。","Legacy CMS locale mapping produced a store-locale conflict; the upgrade was stopped."
"CMS 变体升级预检无数据进展。","The CMS variant upgrade preflight made no progress."
"CMS 页面语言变体存在孤立页面归属，升级已停止。","A CMS page locale variant references an orphaned page; the upgrade was stopped."
"CMS 变体孤立数据预检无数据进展。","The CMS orphaned-variant preflight made no progress."
"CMS 店铺代码无法用于 Store+Locale 变体升级。","A CMS store code cannot be used for the Store+Locale variant upgrade."
"CMS 页面语言变体存在无法迁移的内容，升级已停止。","A CMS page locale variant contains content that cannot be migrated; the upgrade was stopped."
"CMS 页面语言变体状态无法安全迁移，升级已停止。","A CMS page locale variant state cannot be migrated safely; the upgrade was stopped."
"CMS 旧语言行与默认店铺变体冲突，升级已停止。","A legacy CMS locale row conflicts with a default-store variant; the upgrade was stopped."
"单个 CMS 页面的默认店铺语言变体超过升级上限。","A CMS page has more default-store locale variants than the upgrade limit allows."
"CMS 变体升级无数据进展。","The CMS variant upgrade made no progress."
"CMS 店铺语言变体存在孤立或跨网站归属，升级已停止。","A CMS store-locale variant is orphaned or belongs to another website; the upgrade was stopped."
"CMS 变体归属校验无数据进展。","CMS variant ownership validation made no progress."
"CMS 预览语言无效。","The CMS preview locale is invalid."
"CMS 草稿页面已创建，可以开始可视化编辑。","CMS draft page created. You can start visual editing."
草稿,Draft
已发布,Published
已禁用,Disabled
页面已保存，但布局选择保存失败。,"The page was saved, but the layout selection failed to save."
"布局选择未保存成功，当前 CMS 变体未发布。","The layout selection was not saved, so the CMS variant was not published."
"CMS 页面变体已保存并发布。","The CMS page variant was saved and published."
"CMS 页面变体已保存为草稿。","The CMS page variant was saved as a draft."
"CMS 一级 path 已保存。","CMS first-level path has been saved."
"CMS 页面已拷贝，但 Theme 布局数据复制不完整。","CMS page copied, but Theme layout data was not copied completely."
"CMS 一级 path 已拷贝到目标站点，但部分 Theme 布局数据复制不完整。","CMS top-level path copied to the target site, but some Theme layout data was not copied completely."
"CMS 页面移入回收站失败。","Failed to move CMS page to trash."
"CMS 一级 path 移入回收站失败。","Failed to move CMS path group to trash."
box,box
"管理 CMS 页面","Manage CMS page"
"CMS 页面列表","CMS page list"
list,list
"查看 CMS 页面列表","View list of CMS pages"
"新建 CMS 页面","New CMS page"
plus,plus
"编辑 CMS 页面","Edit CMS page"
edit,edit
"保存 CMS 页面","Save CMS page"
save,save
"保存 CMS 一级 path","Save CMS first-level path"
"拷贝 CMS 页面","Copy CMS page"
copy,copy
"将 CMS 页面拷贝到目标站点","Copy CMS pages to the target site"
"拷贝 CMS 一级 path","Copy CMS first-level path"
"将 CMS 一级 path 及页面拷贝到目标站点","Copy the CMS first-level path and pages to the target site"
"CMS 页面移入回收站","CMS page moved to recycle bin"
trash,trash
"将 CMS 页面移入回收站","Move CMS pages to the trash"
"CMS 一级 path 移入回收站","Move the CMS first-level path to the recycle bin"
minus,minus
"将 CMS 一级 path 移入回收站","Move the CMS first-level path into the trash"
"预览 CMS 页面","Preview CMS page"
eye,eye
"CMS 页面语言变体必须指定有效页面。","A CMS page locale variant requires a valid page."
"CMS 页面语言变体必须指定有效店铺。","A CMS page locale variant requires a valid store."
"CMS 页面语言变体的店铺代码无效。","The store code for the CMS page locale variant is invalid."
"CMS 页面语言变体内容无效。","The CMS page locale variant content is invalid."
"CMS 页面变体状态无效：%{1}","Invalid CMS page variant status: %{1}"
"CMS 页面翻译状态无效：%{1}","Invalid CMS page translation state: %{1}"
"CMS 页面校验状态无效：%{1}","Invalid CMS page validation state: %{1}"
"已发布 CMS 页面变体的标题不能为空。","A published CMS page variant must have a title."
"未审核翻译不能发布 CMS 页面变体。","An unreviewed translation cannot be published as a CMS page variant."
"未通过校验的 CMS 页面变体不能发布。","A CMS page variant that has not passed validation cannot be published."
"Slug 模式无效：%{1}","Invalid slug mode: %{1}"
"Slug 源标题哈希长度不能超过 64。","Slug source title hash length cannot exceed 64."
"CMS 页面标题内容无效。","The CMS page title content is invalid."
"CMS 页面聚合状态无效。","The aggregate CMS page status is invalid."
"CMS 一级 path 已拷贝到 %{1}。","CMS top-level path copied to %{1}."
"CMS 页面已拷贝到 %{1}。","CMS page copied to %{1}."
"共 %{1} 个页面","%{1} pages"
"部分 Theme 布局数据未完整复制","Some Theme layout data was not copied completely"
前往查看,"View it"
我知道了,"Got it"
搜索标题或路径,"Search title or path"
站点,site
"一级 path","First level path"
全部状态,"All statuses"
范围,Scope
筛选,Filter
清理筛选并刷新,"Clear filters and reload"
暂无站点,"No site yet"
展开或收起,"Expand or collapse"
"新建一级 path","Create a new first-level path"
"新建一级 path，例如 blog","Create a new first-level path, such as blog"
"显示别名，例如 博客","Show alias, e.g. blog"
创建,Create
"当前站点暂无一级 path，请先新建。","The current site does not have a first-level path, please create a new one first."
拷贝,Copy
选择目标站点,"Select target site"
确认拷贝,"Confirm copy"
移入回收站,"Move to recycle bin"
新建页面,"New page"
"在这个 path 下创建页面","Create a page under this path"
"当前 path 下暂无页面。","There is no page under the current path."
Slug,Slug
完整路径,"full path"
ID,ID
更新时间,"Updated at"
编辑,Edit
预览,Preview
请选择或搜索布局...,"Select or search a layout..."
一键翻译缺失语言,"Translate missing languages"
继续查看翻译任务,"Resume translation task"
翻译进行中,"Translation in progress"
请先保存页面，再翻译缺失语言。,"Save the page before translating missing languages."
英语标题已修改，请先保存页面再翻译。,"The English title has changed. Save the page before translating."
待补全语言：,"Missing languages:"
正在启动翻译任务…,"Starting translation task…"
正在恢复上次翻译任务…,"Resuming the previous translation task…"
正在翻译语言,"Translating languages"
网站支持的语言均已补全。,"All website languages have titles."
翻译任务完成，仍有未补全语言：,"Translation finished. Languages still missing:"
翻译任务未完成，请稍后重试。,"Translation did not complete. Please try again later."
连接暂时中断，点击按钮可继续查看任务。,"The connection was interrupted. Click the button to resume the task."
返回列表,"Back to list"
"站点 / 一级 path","Site / first level path"
店铺,Store
标题,Title
我已审核当前语言标题，可用于发布,"I reviewed the current-language title and approve it for publishing"
"path 别名","path alias"
恢复标题自动联动,"Restore automatic title linkage"
状态,Status
"Theme 布局","Theme layout"
保存页面设置,"Save page settings"
新窗口打开编辑器,"Open editor in new window"
"先保存页面设置，然后直接在这里进行 Theme 可视化编辑。","Save the page settings first, then edit visually here with Theme."
"Theme 可视化编辑","Theme visual editor"
"CMS 页面预览","CMS page preview"
返回编辑,"Back to edit"
"CMS 编辑上下文无效。","The CMS editor context is invalid."
"CMS 页面变体身份无效。","The CMS page variant identity is invalid."
"CMS 页面变体必须指定语言。","The CMS page variant requires a locale."
语言代码无效：%{1},"Invalid language code: %{1}"
网站支持的语言数量超过上限。,"The number of locales supported by the website exceeds the limit."
"网站 %{1} 没有配置可用语言。","Website %{1} has no available languages ​​configured."
"CMS 页面语言变体数量超过上限。","The number of CMS page locale variants exceeds the limit."
"当前网站没有可用于编辑 CMS 页面的语言。","The current website does not have a language available for editing CMS pages."
"CMS 多语言标题数据无效。","CMS multilingual header data is invalid."
"CMS 页面标题必须是文本。","CMS page titles must be text."
"CMS 页面必须先保存，才能写入多语言标题。","The CMS page must be saved before multilingual titles can be written."
"CMS 页面标题来源无效：%{1}","Invalid CMS page title source: %{1}"
"CMS 页面标题源哈希长度不能超过 64。","CMS page title source hash length cannot exceed 64."
"当前网站没有可用于保存 CMS 标题的语言。","The current website does not have a language in which to save the CMS title."
"CMS 页面变体保存必须位于写意图事务内。","CMS page variants must be saved inside a write-intent transaction."
机器翻译标题不能为空。,"Machine translation title cannot be empty."
机器翻译标题源哈希无效。,"The machine translation title source hash is invalid."
源语言标题不能由机器翻译覆盖。,"Source language titles cannot be overwritten by machine translation."
"CMS 机器翻译保存必须位于写意图事务内。","CMS machine translations must be saved inside a write-intent transaction."
"机器翻译的 CMS 标题必须先保存为待审核草稿。","A machine-translated CMS title must first be saved as a draft pending review."
"CMS 页面默认语言标题投影失败。","Failed to project the default-locale CMS page title."
"CMS 页面默认语言标题投影冲突。","The default-locale CMS page title projection conflicted."
"CMS 页面变体锁定必须位于写意图事务内。","CMS page variants must be locked inside a write-intent transaction."
"网站 %{1} 缺少默认店铺，请先执行 Websites 升级修复。","Website %{1} is missing the default store, please perform Websites upgrade to repair it first."
"选择的店铺不属于当前 CMS 页面网站。","The selected store does not belong to this CMS page website."
"墓碑店铺不能写入 CMS 页面变体。","A tombstoned store cannot receive CMS page variant writes."
"店铺目录服务不可用，无法读取 CMS 页面变体。","The store catalog is unavailable, so CMS page variants cannot be read."
"语言 %{1} 不属于当前网站。","Language %{1} does not belong to the current site."
"CMS 页面标题不能为空。","CMS page title cannot be empty."
统一查询服务不可用，无法读取网站语言。,"The unified query service is unavailable and cannot read the website language."
翻译请求标识无效。,"Invalid translation request ID."
"CMS 页面不存在或已删除。","The CMS page does not exist or has been deleted."
当前页面没有需要补全的语言标题。,"This page has no missing language titles."
翻译目标语言无效。,"Invalid translation target language."
翻译源标题或源语言无效。,"Invalid source title or source language."
翻译服务没有返回有效标题。,"The translation service did not return a valid title."
页面路径不能为空。,"Page path is required."
"页面路径不能超过 190 个字符。","Page path cannot exceed 190 characters."
页面路径只能包含字母、数字、斜杠、中划线和下划线。,"Page path can only contain letters, numbers, slashes, hyphens, and underscores."
"无效的 CMS 页面状态：%{1}","Invalid CMS page status: %{1}"
"CMS 页面不存在或已删除，不能发布。","The CMS page does not exist or has been deleted and cannot be published."
一级路径不能为空。,"The first-level path cannot be empty."
"一级路径不能超过 100 个字符。","The first-level path cannot exceed 100 characters."
一级路径只能是一段，不能包含斜杠。,"The first-level path can only be one paragraph and cannot contain slashes."
一级路径为系统保留路径，不能使用。,"The first-level path is reserved for the system and cannot be used."
"页面 slug 不能超过 190 个字符。","Page slug cannot exceed 190 characters."
"一级路径显示别名不能超过 255 个字符。","The first-level path display alias cannot exceed 255 characters."
