"========== 环境依赖检测 ==========","========== Environment Dependency Check =========="
"正在收集环境需求...","Collecting environment requirements..."
"收集到的需求：","Collected requirements:"
"PHP 版本: %{version}","PHP Version: %{version}"
"扩展: %{count} 个","Extensions: %{count}"
"函数: %{count} 个","Functions: %{count}"
"复杂依赖: %{count} 个","Complex dependencies: %{count}"
"来源: %{sources}","Sources: %{sources}"
"正在检测环境...","Checking environment..."
"环境初始化检测中...","Initializing environment check..."
"未设置环境需求","Environment requirements not set"
"PHP 版本: %{version} ✔","PHP Version: %{version} ✔"
"需要 PHP %{required}，当前 %{current}","Requires PHP %{required}, current %{current}"
"PHP 版本: %{version} ✖（需要 %{required}）","PHP Version: %{version} ✖ (requires %{required})"
"扩展 %{ext} ✔","Extension %{ext} ✔"
"扩展 %{ext} ✖（未安装）","Extension %{ext} ✖ (not installed)"
"函数 %{func} ✔","Function %{func} ✔"
"函数 %{func} ✖（已被禁用）","Function %{func} ✖ (disabled)"
"依赖 %{name} ✔","Dependency %{name} ✔"
"依赖 %{name} ✖（无法检测）","Dependency %{name} ✖ (cannot check)"
"依赖 %{name} ✖（未满足）","Dependency %{name} ✖ (not satisfied)"
"未命名依赖","Unnamed dependency"
"========== 检测结果 ==========","========== Check Result =========="
"环境检测未通过 ✖","Environment check failed ✖"
"PHP 版本问题: %{issue}","PHP version issue: %{issue}"
"缺失的扩展:","Missing extensions:"
"被禁用的函数:","Disabled functions:"
"未满足的依赖:","Unsatisfied dependencies:"
"未命名","Unnamed"
"环境检测通过 ✔","Environment check passed ✔"
"========== 手动修复指引 ==========","========== Manual Fix Guide =========="
"【PHP 版本】","[PHP Version]"
"去什么地方: 系统 PHP 安装目录","Where: System PHP installation directory"
"做什么操作: 升级 PHP 到符合要求的版本","What to do: Upgrade PHP to the required version"
"如何验证: 运行 php -v 查看版本，再次运行 php bin/w env:check","How to verify: Run php -v to check version, then run php bin/w env:check again"
"【缺失的扩展】","[Missing Extensions]"
"去什么地方: %{path}","Where: %{path}"
"做什么操作:","What to do:"
"1. 安装缺失的扩展（如 pecl install %{ext}）","1. Install the missing extension (e.g. pecl install %{ext})"
"2. 在 php.ini 中添加 extension=%{ext}","2. Add extension=%{ext} to php.ini"
"如何验证: 运行 php -m 查看已加载扩展，再次运行 php bin/w env:check","How to verify: Run php -m to see loaded extensions, then run php bin/w env:check again"
"【被禁用的函数】","[Disabled Functions]"
"1. 打开 php.ini 文件","1. Open php.ini file"
"2. 找到 disable_functions 配置项","2. Find the disable_functions directive"
"3. 从中移除以下函数: %{funcs}","3. Remove these functions: %{funcs}"
"4. 重启 PHP/Web 服务","4. Restart PHP/Web service"
"如何验证: 再次运行 php bin/w env:check","How to verify: Run php bin/w env:check again"
"【未满足的依赖】","[Unsatisfied Dependencies]"
"依赖: %{name}","Dependency: %{name}"
"来源模块: %{module}","Source module: %{module}"
"说明: %{desc}","Description: %{desc}"
"请参考模块文档","Please refer to module documentation"
"提示: 您也可以尝试运行 php bin/w env:install 自动修复部分问题","Tip: You can also try running php bin/w env:install to auto-fix some issues"
"检测当前环境是否满足框架和模块的依赖需求","Check if current environment satisfies framework and module dependencies"
"检测当前环境是否满足框架和模块的依赖需求，包括 PHP 版本、扩展、函数、复杂依赖项等","Check if current environment satisfies framework and module dependencies, including PHP version, extensions, functions, and complex dependencies"
"以 JSON 格式输出结果","Output result in JSON format"
"显示帮助信息","Show help information"
"基本检测","Basic check"
"JSON 输出","JSON output"
"========== 环境依赖安装 ==========","========== Environment Dependency Install =========="
"环境检测通过，无需修复 ✔","Environment check passed, no fix needed ✔"
"========== 将尝试执行以下操作 ==========","========== The following actions will be attempted =========="
"【函数解禁】","[Function Unblocking]"
"将尝试修改: %{path}","Will attempt to modify: %{path}"
"修改内容: 从 disable_functions 中移除: %{funcs}","Modification: Remove from disable_functions: %{funcs}"
"【扩展安装】","[Extension Installation]"
"将尝试安装: %{exts}","Will attempt to install: %{exts}"
"注意: 扩展安装可能需要系统权限，如失败请手动安装","Note: Extension installation may require system privileges, please install manually if failed"
"【依赖项安装】","[Dependency Installation]"
"将执行脚本: %{script} --install","Will execute script: %{script} --install"
"将尝试执行 env/script/ 下的安装脚本","Will attempt to execute install scripts in env/script/"
"没有可自动修复的问题，请参考上面的手动修复指引","No auto-fixable issues, please refer to the manual fix guide above"
"即将执行以上操作，是否继续？(y/n)","About to execute the above actions, continue? (y/n)"
"操作已取消","Operation cancelled"
"开始执行修复...","Starting fix..."
"【步骤 1】尝试解禁函数...","[Step 1] Attempting to unblock functions..."
"函数解禁成功 ✔","Function unblocking succeeded ✔"
"【步骤 2】尝试安装缺失的扩展...","[Step 2] Attempting to install missing extensions..."
"正在处理扩展: %{ext}","Processing extension: %{ext}"
"扩展 %{ext} 需要手动安装","Extension %{ext} needs manual installation"
"【步骤 3】执行依赖项安装脚本...","[Step 3] Executing dependency install scripts..."
"跳过 %{name}（无模块路径）","Skipping %{name} (no module path)"
"正在安装: %{name}","Installing: %{name}"
"安装成功 ✔","Installation succeeded ✔"
"安装失败 ✖","Installation failed ✖"
"========== 安装完成 ==========","========== Installation Complete =========="
"成功: %{success} 项","Succeeded: %{success} items"
"失败: %{fail} 项（请参考上面的手动修复指引）","Failed: %{fail} items (please refer to the manual fix guide above)"
"请再次运行 php bin/w env:check 验证环境","Please run php bin/w env:check again to verify"
"函数解禁失败 ✖","Function unblocking failed ✖"
"【手动修复指引】","[Manual Fix Guide]"
"用管理员权限打开该文件","Open this file with administrator privileges"
"保存并重启 PHP/Web 服务","Save and restart PHP/Web service"
"Windows 安装方式:","Windows installation:"
"从 https://pecl.php.net 下载 php_%{ext}.dll","Download php_%{ext}.dll from https://pecl.php.net"
"放入 PHP 的 ext 目录","Put it in PHP ext directory"
"在 php.ini 中添加 extension=%{ext}","Add extension=%{ext} to php.ini"
"Linux/macOS 安装方式:","Linux/macOS installation:"
"Ubuntu/Debian: sudo apt install php-%{ext}","Ubuntu/Debian: sudo apt install php-%{ext}"
"CentOS/RHEL: sudo yum install php-%{ext}","CentOS/RHEL: sudo yum install php-%{ext}"
"macOS: brew install php && pecl install %{ext}","macOS: brew install php && pecl install %{ext}"
"通用: pecl install %{ext}","Universal: pecl install %{ext}"
"检测并尝试自动修复环境依赖问题","Check and try to auto-fix environment dependency issues"
"检测并尝试自动修复环境依赖问题，包括函数解禁、依赖项安装脚本执行等","Check and try to auto-fix environment dependency issues, including function unblocking and dependency script execution"
"跳过确认，直接执行","Skip confirmation, execute directly"
"交互式安装","Interactive installation"
"跳过确认","Skip confirmation"
"未找到可执行的安装脚本","No executable install script found"
"无法启动进程","Cannot start process"
"未知","Unknown"
