客户管理,客户管理
客户不存在或已被删除,客户不存在或已被删除
客户不存在,客户不存在
错误,错误
客户信息已更新,客户信息已更新
成功,成功
客户已禁用,客户已禁用
客户已启用,客户已启用
客户已删除,客户已删除
"The login challenge token is missing.","The login challenge token is missing."
"The login challenge is invalid or has expired.","The login challenge is invalid or has expired."
"Two-Factor Verification","Two-Factor Verification"
"Please enter the verification code.","Please enter the verification code."
"Two-factor verification succeeded.","Two-factor verification succeeded."
"The reset link is invalid or has expired.",重设链接无效或已过期。
重置密码,重置密码
忘记密码,忘记密码
"Email is required.",邮箱不能为空。
"Please enter a valid email address.",请输入有效的邮箱地址。
"The email is not registered.",该邮箱未注册。
"A reset link has been sent to your email.",重设链接已发送到你的邮箱。
"Unable to create a password reset request right now.",当前无法创建密码重设请求，请稍后再试。
"The reset token is required.",重设令牌不能为空。
"Please enter a new password.",请输入新密码。
"The password confirmation does not match.",两次输入的密码不一致。
"Your password has been reset. Please sign in with the new password.",密码已重设，请使用新密码登录。
"Please log in to continue.","Please log in to continue."
登录,登录
邮箱和密码不能为空,邮箱和密码不能为空
"Please complete two-factor verification to finish sign in.","Please complete two-factor verification to finish sign in."
"Login succeeded.","Login succeeded."
已成功登出,已成功登出
注册,注册
"First name and last name are required.","First name and last name are required."
"Please accept the terms and privacy policy.","Please accept the terms and privacy policy."
"Registration succeeded. Welcome to WeShop.","Registration succeeded. Welcome to WeShop."
如何下单？,如何下单？
"您可以在产品页面点击""加入购物车""，然后在购物车页面点击""去结账""完成订单。","您可以在产品页面点击""加入购物车""，然后在购物车页面点击""去结账""完成订单。"
如何支付？,如何支付？
我们支持多种支付方式，包括支付宝、微信支付、PayPal等。,我们支持多种支付方式，包括支付宝、微信支付、PayPal等。
如何退换货？,如何退换货？
您可以在个人中心的订单页面申请退换货，我们会在收到退货后处理退款。,您可以在个人中心的订单页面申请退换货，我们会在收到退货后处理退款。
配送时间需要多久？,配送时间需要多久？
一般情况下，我们会在1-3个工作日内发货，具体配送时间取决于您所在地区。,一般情况下，我们会在1-3个工作日内发货，具体配送时间取决于您所在地区。
如何联系客服？,如何联系客服？
您可以通过在线客服、电话或邮件联系我们，我们会在24小时内回复您。,您可以通过在线客服、电话或邮件联系我们，我们会在24小时内回复您。
北京市朝阳区xxx街道xxx号,北京市朝阳区xxx街道xxx号
"周一至周五 9:00-18:00","周一至周五 9:00-18:00"
客户服务,客户服务
"Customer 查询器不支持的操作：%{1}","Customer 查询器不支持的操作：%{1}"
客户查询,客户查询
提供客户基础信息查询能力,提供客户基础信息查询能力
批量获取客户基础信息,批量获取客户基础信息
"Storefront account security cards",前台账户安全卡片
"Inject sign-in security modules into the storefront customer account center.",在前台客户账户中心注入登录安全模块。
"Storefront account discovery cards",前台账户发现卡片
"Inject saved, discovery, and follow-up cards into the storefront customer account center.",在前台客户账户中心注入收藏、发现和后续动作卡片。
"Storefront account order cards",前台账户订单卡片
"Inject order, return, invoice, and after-sales cards into the storefront customer account center.",在前台客户账户中心注入订单、退换、发票和售后卡片。
"Storefront account quick links before","Storefront account quick links before"
"Inject content before the account-center quick links card grid.","Inject content before the account-center quick links card grid."
"Storefront account quick links after","Storefront account quick links after"
"Inject content after the account-center quick links card grid.","Inject content after the account-center quick links card grid."
"Storefront account quick link cards","Storefront account quick link cards"
"Inject additional quick-link cards into the account-center quick actions grid.","Inject additional quick-link cards into the account-center quick actions grid."
"Storefront account recommendations before","Storefront account recommendations before"
"Inject content before the account-center recommendation section.","Inject content before the account-center recommendation section."
"Storefront account recommendation cards","Storefront account recommendation cards"
"Inject additional recommendation content into the account-center recommendation section.","Inject additional recommendation content into the account-center recommendation section."
"Storefront account recommendations after","Storefront account recommendations after"
"Inject content after the account-center recommendation section.","Inject content after the account-center recommendation section."
"Compare Products",对比商品
"My Orders",我的订单
"Recently Viewed",最近浏览
"My Wishlist",我的心愿单
"Manage Addresses",管理地址
"Security Center",安全中心
"Password must be at least 8 characters and contain letters and numbers.","Password must be at least 8 characters and contain letters and numbers."
"An account with this email already exists.","An account with this email already exists."
"Invalid email or password.","Invalid email or password."
"This account has been disabled.","This account has been disabled."
"The verification code is invalid.","The verification code is invalid."
"The challenge does not belong to a customer login.","The challenge does not belong to a customer login."
