Smtp 查询器不支持的操作：%{1},Unsupported Smtp queryer operation: %{1}
SMTP 已配置,SMTP configured
请先在 SMTP 配置中添加至少一个发件人,Please add at least one sender in the SMTP configuration first
发件人 code 不能为空,Sender code cannot be empty
已保存,Saved
收件人不能为空,Recipient cannot be empty
发信渠道 %{1} 未找到可用邮件模板,Send channel %{1} has no available email template
邮件主题不能为空,Email subject cannot be empty
发信渠道 %{1} 未绑定传输账户,Send channel %{1} has no bound transfer account
发件人 %{1} 未配置或配置不完整,Sender %{1} is not configured or is incomplete
系统,System
发送成功,Sent successfully
发送失败,Send failed
发送失败：%{1},Send failed: %{1}
模块 %{1} 未配置 SMTP，请先在后台配置,"Module %{1} SMTP not configured, please configure it in the admin panel"
自建邮箱账号不存在或未启用,The self-hosted mailbox account does not exist or is not active
测试邮箱不能为空,Test email cannot be empty
[SMTP 测试] WelineFramework 邮件测试,[SMTP test] WelineFramework email test
这是一封测试邮件。如果您收到此邮件，说明 SMTP 配置正确。,"This is a test email. If you receive this email, the SMTP configuration is correct."
SMTP 邮件,SMTP mail
提供 SMTP 邮件发送能力，支持多模块独立配置,"Provides SMTP email sending capability, supports independent configuration for multiple modules"
发送邮件,Send email
收件人,Recipient
主题（无 channel 模板时必填）,Subject (required when no channel template)
HTML 正文（无 channel 模板时建议填写）,HTML body (recommended when no channel template)
发信渠道 code，有则走模板,Send channel code; use template if present
模板变量,Template variables
模板语言,Template language
是否使用模板，默认 true,"Whether to use template, default true"
覆盖模板主题,Overwrite template subject
覆盖模板正文,Overwrite template body
发件人，空则用配置,"Sender, leave empty to use configuration"
使用哪一模块的 SMTP 配置,Which module's SMTP configuration to use
SystemConfig storage_scope，如 website.default.default,"SystemConfig storage_scope, e.g. website.default.default"
网站 code，可推导 website 级 scope,Website code; can derive website-level scope
传输账户 code（无 channel 时）,Transfer account code (when no channel)
发送测试邮件,Send test email
测试邮箱,Test Email
模块,Module.
获取模块 SMTP 配置,Get Module SMTP Configuration
检测 SMTP 是否已配置可用,Detecting if SMTP is configured and available
获取所有发件人列表（含 code）,Get all sender list (including code)
按 code 获取发件人配置,Get sender configuration by code
发件人 code,Sender code
设置发件人默认联系人/收件邮箱，供消息通知等调用,"Set the default sender contact/recipient email for message notifications, etc."
默认收件邮箱,Default Recipient Email
获取发件人默认联系人/收件邮箱,Retrieved sender's default contact/receiving email
通信,Communication
配置 SMTP 发信,Configure SMTP sending
尚未配置 SMTP 传输账户。请添加发件账户并发送测试邮件确认。,No SMTP transfer account yet. Add a sender account and send a test email to confirm.
已确认可用（当前继承自 %{1}）。,Confirmed available (currently inherited from %{1}).
已确认可用（当前范围自有配置）。,Confirmed available (own config in current scope).
已检测到继承自 %{1} 的 SMTP 配置，请打开配置页发送测试邮件确认。,SMTP config inherited from %{1} detected; open config page and send a test email to confirm.
已检测到当前范围的 SMTP 配置，请发送测试邮件确认后再上线。,SMTP config detected for current scope; send a test email before going live.
配置邮件模板,Configure email template
无法检测邮件模板表，请打开渠道管理确认模板已种子化。,Cannot detect email template table; open channel management to confirm templates seeded.
尚有 %{1} 个发信渠道无模板：%{2}%{3},%{1} send channels still lack templates: %{2}%{3}
各发信渠道已有可解析邮件模板。,Each send channel has a resolvable email template.
多语言邮件模板,Multilingual email template
无法检测多语言模板覆盖，请打开渠道管理核对各语言行。,Cannot detect multilingual template coverage; open channel management to check language rows.
站点 %{1} 个语种中，尚缺 %{2} 组渠道×语言模板（例：%{3}）。,"Among %{1} site locales, %{2} channel×language template groups still missing (e.g. %{3})."
站点已开通语种的邮件模板均已覆盖。,Email templates covered for all enabled site locales.
邮件配置,Email settings
settings,settings
邮件配置项管理,Email config item management
查看邮件配置,View email settings
查看邮件配置项,View email config items
Smtp配置成功！为了保证Smtp邮件服务正常工作，请测试确认。,"Smtp configuration successful! In order to ensure that the Smtp mail service works properly, please test and confirm."
[SMTP 测试] 发件人 %{1},[SMTP Test] Sender %{1}
这是一封测试邮件。如果您收到此邮件，说明该发件人配置正确。,"This is a test email. If you receive this email, the sender configuration is correct."
邮件发送成功！,Email sent successfully!
发送者,Sender
WelineFramework SMTP 测试,WelineFramework SMTP Testing
这是一封测试邮件。,This is a test email.
测试发送失败,Test send failed
无效的请求方法,Invalid request method
缺少发件人配置数据,Missing sender configuration data
传输账户 ID 格式无效,Invalid transfer account ID format
请选择自建邮箱账号,Please select a self-hosted mailbox account
保存成功,Saved successfully
SMTP 配置,SMTP configuration
mail,mail
SMTP 邮件服务配置,SMTP mail service configuration
配置页,Configuration page
查看 SMTP 配置,View SMTP configuration
保存配置,Save configuration
save,save
保存 SMTP 配置,Save SMTP configuration
测试发送,Test sending
arrow-right,arrow-right
测试 SMTP 发送,Test SMTP sending
发件记录不存在,Sending record not found
删除成功！,Deletion successful!
你要删除的记录已不存在！,The record you want to delete no longer exists!
SMTP 发件记录,SMTP sending records
check,check
查看 SMTP 发送日志,View SMTP send logs
模板已保存,Template saved
已重置为默认模板,Reset to default template
源模板不存在,Source template not found
已复制模板,Template copied
SMTP 渠道管理,SMTP channel management
按发信渠道与范围维护各语言邮件模板,Maintain per-locale mail templates by send channel and scope
渠道管理,Channel management
list,list
查看发信渠道与各语言模板,View send channels and per-locale templates
编辑模板,Edit template
edit,edit
编辑邮件模板,Edit email template
保存模板,Save template
保存邮件模板,Save email template
重置默认,Reset to default
refresh,refresh
重置为 Extends 默认模板,Reset to Extends default template
复制模板,Copy template
copy,copy
复制到其它范围或语言,Copy to other scope or language
发件人账户写入当前作用范围；切换网站范围后按新范围加载。未覆盖时继承 Global。,Sender accounts write to current scope; after switching website scope reload for new scope. Uncovered inherits Global.
在统一配置中心打开,Open in unified config center
作用范围,Scope
传输账户管理,Transfer account mgmt
发信渠道绑定,Outbound channel binding
录入 SMTP 传输账户；可选在账户上直接绑定发信渠道（标签可搜索多选）。,Enter SMTP transfer accounts; optionally bind send channels on the account (searchable multi-select tags).
基本信息,Basic info
系统生成的传输账户 ID；不是业务代号，也不是邮箱,System-generated transfer account ID; not a business code or email
自建邮局账号,Self-hosted mailbox account
选择自建邮箱账号,Select self-hosted mailbox account
可搜索标签选择；选中后自动填充连接信息,Searchable tag select; auto-fills connection info on select
连接与认证,Connect & auth
直接绑定发信渠道（可选）,Bind send channel directly (optional)
选择要使用此账户的发信渠道,Select send channels using this account
可搜索多选标签；也可稍后在「发信渠道绑定」Tab 中调整,"Searchable multi-select tags; you can also adjust later on the ""Send channel binding"" Tab"
