设备管理查询器不支持操作：%{1},"The device-management provider does not support operation: %{1}"
设备管理,"Device management"
管理当前身份自己的登录设备。,"Manage the signed-in identity's own devices."
"页码，从 1 开始，默认 1。","Page number, starting at 1; defaults to 1."
"每页数量，默认 20，最大 100。","Items per page; defaults to 20 and is capped at 100."
"要下线的公开设备 ID。","Public device ID to sign out."
设备管理服务暂时不可用，请稍后重试。,"Device management is temporarily unavailable. Please try again later."
请先登录后管理设备。,"Sign in before managing devices."
当前认证会话无效。,"The current authenticated session is invalid."
分页列出当前身份的有效登录设备。,"List active login devices for the current identity."
下线当前身份的一个非当前设备。,"Sign out a non-current device for the current identity."
"mdi mdi-devices","mdi mdi-devices"
管理当前后台管理员自己的登录设备,"Manage the current administrator's own login devices"
查看与下线登录设备,"Review and sign out devices"
账户安全,"Account security"
查看当前身份仍可登录的设备，并让不再使用的设备下线。,"Review devices that can still access this identity and sign out devices you no longer use."
仅显示本账号,"Only this account"
正在加载登录设备…,"Loading login devices…"
设备列表加载失败，请稍后重试。,"Could not load devices. Try again later."
当前没有可显示的登录设备。,"There are no login devices to show."
本设备,"This device"
已登录,"Signed in"
可自动登录,Remembered
下线,"Sign out"
确认下线,"Confirm sign-out"
取消,Cancel
重试,Retry
设备已下线。,"The device has been signed out."
设备下线失败，请重试。,"Could not sign out the device. Try again."
最近活动,"Last active"
首次登录,"First signed in"
记住登录至,"Remembered until"
"最近 IP","Last IP"
上一页,Previous
下一页,Next
"第 %{1} 页","Page %{1}"
"Unknown device","Unknown device"
设备列表分页,"Device-list pagination"
"%{1} on %{2}","%{1} on %{2}"
"Unknown browser","Unknown browser"
"Unknown system","Unknown system"
设备记录不存在。,"The device record does not exist."
记住登录凭证不存在。,"The remembered-login credential does not exist."
记住登录到期时间无效。,"The remembered-login expiry is invalid."
当前认证设备不可用。,"The current authenticated device is unavailable."
记住登录凭证签发失败。,"Failed to issue the remembered-login credential."
认证身份区域不匹配。,"The authentication identity area does not match."
当前设备请使用正常退出登录。,"Use normal sign-out on the current device."
不支持的认证区域。,"The authentication area is not supported."
设备不存在或不可操作。,"The device does not exist or cannot be managed."
认证设备登记失败。,"Authenticated device registration failed."
"认证设备登记失败：设备表未就绪，请先执行 setup:upgrade。","Authenticated device registration failed: device table is not ready. Run setup:upgrade first."
认证设备服务不可用。,"Authenticated device service is unavailable."
认证设备服务暂时不可用，请稍后重试。,"The authenticated device service is temporarily unavailable. Please try again later."
认证登录状态保存失败。,"The authenticated sign-in state could not be saved."
"当前 Session 尚未建立。","The current session has not been established."
