进店音乐,店舗ミュージック
settings,設定
进店音乐与氛围播放配置,店舗ミュージックと雰囲気再生の設定
查看进店音乐配置,店舗ミュージック設定を表示
查看进店音乐曲目与播放配置,店舗ミュージックの曲と再生設定を表示
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,統合設定センターで開く
作用范围,適用範囲
进店曲目,入場曲
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","mp3 / wav / ogg / m4a / aac / flac / opus / wma などを複数選択、1ファイル最大約20MB。ハンドルで並べ替え、下の言語ごとに紹介を記入。変更は現在の範囲に自動保存。"
简介编辑语言,紹介編集言語
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,言語切替後に曲ごとの紹介を記入；店頭は訪問者言語で表示。
尚未选择曲目。请用上方媒体库添加多首进店音乐。,まだ曲がありません。上のメディアライブラリで入場曲を追加してください。
拖拽排序,ドラッグで並べ替え
曲名,曲名
简介,紹介
选择进店音乐（可多选）,入場ミュージックを選択（複数可）
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,設定は現在の範囲に適用されます。曲を複数選択・ドラッグ並べ替えし、言語ごとに紹介を入力。有効かつ1曲以上あると店頭左下にウィジェットが表示されます。
选择作用范围,範囲を選択
搜索作用范围,範囲を検索
折叠,折りたたむ
展开,展開
未找到匹配作用范围,一致する範囲がありません
播放控制,再生コントロール
上一首,前へ
播放,再生
停止,停止
停止播放,再生を停止
下一首,次へ
"请先同意营销 Cookie 后再播放","再生前にマーケティング Cookie に同意してください"
点击开启音乐,タップして再生
点击开启声音,タップしてミュート解除
波形不可用,波形は利用できません
开启波形,波形をオン
关闭波形,波形をオフ
播放中,再生中
当前浏览器暂不支持此音频格式,このブラウザはこの音声形式に対応していません
音频加载失败，请换一首曲目或格式,音声を読み込めませんでした。別の曲または形式をお試しください。
已关闭自动播放，点击播放可重新开启,自動再生はオフです。再生を押して再開できます。
已在其他页面播放,別のページで再生中
播放列表,プレイリスト
"共 {n} 首","{n} 曲"
展开简介,紹介を表示
收起简介,紹介を隠す
点开选曲,曲選択を開く
选择曲目聆听,聴く曲を選ぶ
音量,音量
进店氛围音乐,店舗雰囲気ミュージック
关闭选曲,曲選択を閉じる
搜索歌曲…,曲を検索…
未找到匹配曲目,一致する曲はありません
搜索播放列表,プレイリストを検索
