AI润色,AI润色
输入内容,输入内容
待润色内容,待润色内容
AI模型,AI模型
润色风格,润色风格
选项,选项
保持原有格式,保持原有格式
开始润色,开始润色
润色结果,润色结果
请输入需要脱敏并润色的内容...,请输入需要脱敏并润色的内容...
使用默认模型,使用默认模型
请输入内容,请输入内容
AI正在润色中，请稍候...,AI正在润色中，请稍候...
润色完成,润色完成
执行时间,执行时间
原内容,原内容
润色后,润色后
润色失败,润色失败
敏感内容检测,敏感内容检测
开始检测,开始检测
脱敏测试,脱敏测试
测试输入,测试输入
测试内容,测试内容
脱敏方法,脱敏方法
选择规则,选择规则
执行测试,执行测试
测试结果,测试结果
请输入需要测试的内容，例如：我的邮箱是test@example.com，电话13812345678,请输入需要测试的内容，例如：我的邮箱是test@example.com，电话13812345678
请输入测试内容,请输入测试内容
正在测试...,正在测试...
测试完成,测试完成
脱敏后,脱敏后
测试失败,测试失败
脱敏记录,脱敏记录
全部,全部
正则脱敏,正则脱敏
AI脱敏,AI脱敏
自定义,自定义
日期范围,日期范围
至,至
筛选,筛选
脱敏记录列表,脱敏记录列表
方法,方法
创建时间,创建时间
操作,操作
暂无记录,暂无记录
详情功能待实现,详情功能待实现
模块配置,模块配置
保存配置,保存配置
脱敏规则管理,脱敏规则管理
数据脱敏,数据脱敏
脱敏规则,脱敏规则
添加规则,添加规则
脱敏规则列表,脱敏规则列表
规则名称,规则名称
规则类型,规则类型
匹配模式,匹配模式
替换内容,替换内容
优先级,优先级
状态,状态
启用,启用
禁用,禁用
暂无规则数据,暂无规则数据
添加脱敏规则,添加脱敏规则
匹配模式（正则表达式）,匹配模式（正则表达式）
规则描述,规则描述
启用规则,启用规则
取消,取消
保存规则,保存规则
测试规则,测试规则
关闭,关闭
请选择,请选择
邮箱,邮箱
手机号,手机号
身份证号,身份证号
银行卡号,银行卡号
信用卡号,信用卡号
姓名,姓名
"例如: /(\d{3})\d{4}(\d{4})/","例如: /(\d{3})\d{4}(\d{4})/"
使用正则表达式匹配敏感信息,使用正则表达式匹配敏感信息
"例如: $1****$2","例如: $1****$2"
"使用$1, $2等占位符保留部分内容","使用$1, $2等占位符保留部分内容"
数值越大，优先级越高,数值越大，优先级越高
请输入要测试的内容,请输入要测试的内容
编辑脱敏规则,编辑脱敏规则
加载规则失败,加载规则失败
保存成功,保存成功
保存失败,保存失败
确定要删除这条规则吗？,确定要删除这条规则吗？
删除成功,删除成功
删除失败,删除失败
操作失败,操作失败
测试成功,测试成功
结果,结果
未知错误,未知错误
"无效的工作模式: %{mode}，有效值为: %{valid} (detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取)","无效的工作模式: %{mode}，有效值为: %{valid} (detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取)"
"无效的级别: %{level}，有效值为: %{valid}","无效的级别: %{level}，有效值为: %{valid}"
"无效的润色风格: %{style}，有效值为: %{valid}","无效的润色风格: %{style}，有效值为: %{valid}"
"工作模式（detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取）","工作模式（detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取）"
"脱敏/检测级别（high=高级, standard=标准, low=低级）","脱敏/检测级别（high=高级, standard=标准, low=低级）"
"润色风格（仅在mode=rewrite时有效，natural=自然, formal=正式, casual=轻松, professional=专业, concise=简洁）","润色风格（仅在mode=rewrite时有效，natural=自然, formal=正式, casual=轻松, professional=专业, concise=简洁）"
"Weline.Api 未加载","Weline.Api 未加载"
