前端账户登录后,"After Frontend Account Login"
前端用户登录成功后触发，允许其他模块监听登录事件并执行相应操作。,"Triggered after a frontend user logs in successfully, allowing other modules to listen for the login event and perform corresponding actions."
前端账户注册后,"After Frontend Account Registration"
前端用户注册成功后触发，允许其他模块监听注册事件并执行相应操作。,"Triggered after a frontend user registers successfully, allowing other modules to listen for the registration event and perform corresponding actions."
前端头部,"Frontend Header"
"在前端页面的 <head> 标签内注入内容，允许其他模块在前端页面头部注入额外的 CSS、JavaScript 或其他资源。","Injects content into the <head> tag of frontend pages, allowing other modules to inject additional CSS, JavaScript, or other resources into the frontend page head."
首页,Homepage
欢迎访问,Welcome
"这是 WelineFramework 的默认首页","This is the default homepage of WelineFramework"
模块不存在，请检查模块名称!,"Module does not exist, please check the module name!"
通知,Notification
查看全部,"View all"
查看更多,"View More"
"JS: inject_path函数path路径不允许为空！","JS: The inject_path function path is not allowed to be empty!"
"模块 %{1} 加载失败：未找到 %{2}","Module %{1} failed to load: %{2} not found."
"模块 %{1} 加载失败：无法加载 %{2}","Module %{1} failed to load: unable to load %{2}"
"预加载模块 %{1} 失败","Preloading module %{1} failed"
"Weline.Account.%{1} 已弃用，请使用 %{2}","Weline.Account.%{1} is deprecated, please use %{2}"
登录/注册页面,"Login/Register page"
用户中心/账户相关页面,"User center/account-related pages"
API相关页面,"API related pages"
购物车相关页面,"Cart-related pages"
自动预加载模块,"Auto-preload modules"
页面,Page
原因,Reason
模块,Module.
时间,Time
模块预加载完成,"Module preload complete"
模块预加载失败,"Module preload failed"
错误,Error
当前页面无需预加载模块,"No preload module is needed for the current page"
"WLS 已启动","WLS 已启动"
模板加载正常,模板加载正常
网站维护,"Website maintenance"
请稍等片刻...,"Please wait a moment..."
系统会自动检测恢复状态，服务恢复后将自动刷新，无需反复点击刷新。,"The system will automatically check the recovery status and refresh this page when service is restored. You do not need to keep clicking refresh."
返回首页重试,"Return to Homepage and Retry"
刷新,Refresh
为什么网站会处于维护模式？,"Why is the website in maintenance mode?"
网站可能发生系统升级事件，或者大多数的内容发生变化，程序员们正在维护或者升级数据以提供更加优质的服务。,"The site may be undergoing a system upgrade, or most of the content has changed. Developers are maintaining or upgrading data to provide better service."
多久能够恢复？,"How long until recovery?"
大部分的网站升级活动都只有几分钟甚至几秒钟的时间。,"Most website upgrade activities only last a few minutes or even seconds."
需要帮助吗？,"Need help?"
如果你长期看到这个页面，对网站存在疑惑，请联系：,"If you see this page for a long time and have doubts about the website, please contact:"
切换,Toggle
网站Logo,"Site Logo"
Weline,Weline
搜索商品...,"Search products..."
搜索,Search
我的账户,"My Account"
账户,Account
用户不存在，请先在系统中注册,用户不存在，请先在系统中注册
用户头像,"User Avatar"
