主题通知事件,"थीम अधिसूचना इवेंट"
"构建预览 URL 事件","बिल्ड पूर्वावलोकन URL इवेंट"
"Theme editor result after","Theme editor result after"
"Triggered after ThemeEditor produces a string response. Payload includes action, result, controller, and request. Observers may replace result.","Triggered after ThemeEditor produces a string response. Payload includes action, result, controller, and request. Observers may replace result."
字体子集预热收集,"फ़ॉन्ट सबसेट प्री-वार्मिंग संग्रह"
"系统升级预热前触发。默认已自动扫描各模块 view/fonts；可向 fonts / languages 追加额外路径或语言。已有语言子集会跳过重建。","सिस्टम अपग्रेड से पहले ट्रिगर होता है। डिफ़ॉल्ट रूप से, सभी मॉड्यूल के view/fonts को स्वचालित रूप से स्कैन किया जाता है। आप अतिरिक्त पथ या भाषाओं को fonts/languages में जोड़ सकते हैं। मौजूदा भाषा उपसमुच्चय को फिर से बनाने से छोड़ दिया जाएगा।"
"Theme 查询器不支持的操作：%{1}","थीम क्वेरी में समर्थित नहीं है: %{1}"
当前没有可用于预览的前台主题。,"वर्तमान में कोई भी फ्रंट-एंड थीम उपलब्ध नहीं है जिसका पूर्वावलोकन किया जा सके।"
生成预览凭据需要有效的后台用户上下文。,"पूर्वावलोकन क्रेडेंशियल उत्पन्न करने के लिए एक वैध बैकएंड उपयोगकर्ता संदर्भ की आवश्यकता होती है।"
"缺少预览 token。","पूर्वावलोकन टोकन गायब है।"
"预览 token 无效或已过期。","पूर्वावलोकन टोकन अमान्य है या समाप्त हो गया है।"
主题模式无效。,"थीम मोड अमान्य है"
主题模式无效：%{1},"थीम मोड अमान्य है: %{1}"
同步成功,"सफलतापूर्वक सिंक्रोनाइज़ किया गया"
"Theme target 布局复制必须分别指定源和目标的 Scope、语言与 target 身份。","थीम टारगेट लेआउट की प्रतिलिपि बनाने के लिए, स्रोत और गंतव्य दोनों के लिए स्कोप, भाषा और टारगेट पहचान को अलग से निर्दिष्ट करना होगा।"
"Theme target 布局复制身份无效。","थीम टारगेट पहचान अमान्य है।"
"Theme target 布局复制失败。","थीम टारगेट लेआउट की प्रतिलिपि बनाने में विफलता।"
主题查询,"थीम खोज"
提供当前主题、配置值、模板路径等查询能力,"वर्तमान थीम, कॉन्फ़िगरेशन मान और टेम्पलेट पथ जैसी जानकारी प्राप्त करने की क्षमता प्रदान करें"
获取当前激活的主题信息,"वर्तमान में सक्रिय थीम के बारे में जानकारी प्राप्त करें"
"可选：frontend 或 backend","वैकल्पिक: फ्रंटएंड या बैकएंड"
获取主题配置值,"थीम कॉन्फ़िगरेशन मान प्राप्त करें"
获取主题配置的模板路径,"थीम कॉन्फ़िगरेशन के लिए टेम्पलेट पथ प्राप्त करें"
扫描当前主题中指定类型的布局选项,"वर्तमान थीम में निर्दिष्ट प्रकार के लेआउट विकल्पों को स्कैन करें"
"默认 frontend","डिफ़ॉल्ट फ्रंटएंड"
"列出 Theme 虚拟布局选项","थीम वर्चुअल लेआउट विकल्प दिखाएं"
"检查 Theme 虚拟布局是否存在","थीम के वर्चुअल लेआउट की जाँच करें"
"读取 Theme 虚拟布局当前可编辑源码","थीम के वर्चुअल लेआउट का वर्तमान संपादन योग्य स्रोत कोड पढ़ें"
"列出 Theme 虚拟布局源码/发布版本","थीम वर्चुअल लेआउट स्रोत कोड/रिलीज़ संस्करण दिखाएं"
"保存 Theme 虚拟布局源码版本","थीम वर्चुअल लेआउट स्रोत कोड संस्करण सहेजें"
"复制 Theme target 的布局选择、可视化布局和虚拟布局数据","थीम टारगेट के लेआउट चयन, विज़ुअल लेआउट और वर्चुअल लेआउट डेटा की कॉपी करें"
"回滚 Theme 虚拟布局发布版本","थीम वर्चुअल लेआउट रिलीज संस्करण को वापस करें"
