进店音乐,"Nhạc cửa hàng"
settings,"Cài đặt"
进店音乐与氛围播放配置,"Cài đặt phát nhạc và không khí cửa hàng"
查看进店音乐配置,"Xem cài đặt nhạc cửa hàng"
查看进店音乐曲目与播放配置,"Xem bài hát và cài đặt phát nhạc cửa hàng"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"Mở trong trung tâm cấu hình thống nhất"
作用范围,"Phạm vi"
进店曲目,"Bài chào cửa"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","Chọn nhiều mp3 / wav / ogg / m4a / aac / flac / opus / wma… tối đa ~20MB/file. Kéo tay cầm sắp xếp; điền giới thiệu theo ngôn ngữ bên dưới. Thay đổi tự lưu."
简介编辑语言,"Ngôn ngữ sửa giới thiệu"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"Đổi ngôn ngữ rồi điền giới thiệu từng bài; cửa hàng hiện theo ngôn ngữ khách."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"Chưa có bài. Dùng thư viện phương tiện phía trên để thêm nhạc chào cửa."
拖拽排序,"Kéo để sắp xếp"
曲名,"Tên bài"
简介,"Giới thiệu"
选择进店音乐（可多选）,"Chọn nhạc chào cửa (nhiều)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"Cài đặt áp dụng phạm vi hiện tại. Chọn nhiều bài, kéo sắp xếp và điền giới thiệu theo ngôn ngữ. Khi bật và có ít nhất một bài, widget hiện góc dưới trái."
选择作用范围,"Chọn phạm vi"
搜索作用范围,"Tìm phạm vi"
折叠,"Thu gọn"
展开,"Mở rộng"
未找到匹配作用范围,"Không có phạm vi khớp"
播放控制,"Điều khiển phát"
上一首,Trước
播放,Phát
停止,Dừng
停止播放,"Dừng phát"
下一首,Sau
"请先同意营销 Cookie 后再播放","Chấp nhận cookie tiếp thị trước khi phát"
点击开启音乐,"Chạm để phát nhạc"
点击开启声音,"Chạm để bật tiếng"
波形不可用,"Không dùng được dạng sóng"
开启波形,"Bật dạng sóng"
关闭波形,"Tắt dạng sóng"
播放中,"Đang phát"
当前浏览器暂不支持此音频格式,"Trình duyệt này không hỗ trợ định dạng âm thanh này"
音频加载失败，请换一首曲目或格式,"Không tải được âm thanh. Thử bài hoặc định dạng khác."
已关闭自动播放，点击播放可重新开启,"Tự động phát đang tắt. Nhấn phát để tiếp tục."
已在其他页面播放,"Đang phát ở trang khác"
播放列表,"Danh sách phát"
"共 {n} 首","{n} bài"
展开简介,"Hiện giới thiệu"
收起简介,"Ẩn giới thiệu"
点开选曲,"Mở chọn bài"
选择曲目聆听,"Chọn bài để nghe"
音量,"Âm lượng"
进店氛围音乐,"Nhạc không khí cửa hàng"
关闭选曲,"Đóng chọn bài"
搜索歌曲…,"Tìm bài hát…"
未找到匹配曲目,"Không có bài khớp"
搜索播放列表,"Tìm trong danh sách phát"
