不支持的智能体操作：%{1},不支持的智能体操作：%{1}
请先登录后台,请先登录后台
编码智能体,编码智能体
专为代码编写、编辑、分析设计的智能体。支持读取文件、搜索替换、grep 搜索、目录浏览、glob 查找、执行终端命令等工具。,专为代码编写、编辑、分析设计的智能体。支持读取文件、搜索替换、grep 搜索、目录浏览、glob 查找、执行终端命令等工具。
正在调用 AI...,正在调用 AI...
未找到工具：%{1},未找到工具：%{1}
执行失败: %{1},执行失败: %{1}
HTTP 请求,HTTP 请求
发送 HTTP 请求,发送 HTTP 请求
请求 URL,请求 URL
HTTP 方法,HTTP 方法
请求头,请求头
请求体（JSON）,请求体（JSON）
超时时间（秒）,超时时间（秒）
是否跟随重定向,是否跟随重定向
文件系统,文件系统
文件读写操作,文件读写操作
操作类型,操作类型
文件路径,文件路径
写入内容（仅 write 操作）,写入内容（仅 write 操作）
写入模式,写入模式
文件编码,文件编码
文件写入成功,文件写入成功
文件删除成功,文件删除成功
Shell 命令执行,Shell 命令执行
执行 Shell 命令（受白名单限制）,执行 Shell 命令（受白名单限制）
要执行的命令,要执行的命令
工作目录,工作目录
检测到危险命令模式，禁止执行,检测到危险命令模式，禁止执行
数据库查询,数据库查询
执行数据库查询（仅限 SELECT）,执行数据库查询（仅限 SELECT）
SQL 查询语句（仅支持 SELECT）,SQL 查询语句（仅支持 SELECT）
返回行数限制,返回行数限制
偏移量,偏移量
聊天侧边栏扩展,聊天侧边栏扩展
在聊天控制台的侧边栏区域触发，允许其他模块在侧边栏添加自定义内容，如快捷指令、历史会话列表等。,在聊天控制台的侧边栏区域触发，允许其他模块在侧边栏添加自定义内容，如快捷指令、历史会话列表等。
消息工具栏扩展,消息工具栏扩展
在聊天消息的工具栏区域触发，允许其他模块为消息添加自定义操作按钮，如复制、重新生成、收藏等。,在聊天消息的工具栏区域触发，允许其他模块为消息添加自定义操作按钮，如复制、重新生成、收藏等。
SEO 助手,SEO 助手
面向关键词研究、内容优化、元数据与技术 SEO 检查的适配器。,面向关键词研究、内容优化、元数据与技术 SEO 检查的适配器。
IT 运维助手,IT 运维助手
面向监控、日志分析、事件分流与变更安全操作的适配器。,面向监控、日志分析、事件分流与变更安全操作的适配器。
智能体适配器,智能体适配器
默认适配器：基于角色的智能体对话，含工具、记忆上下文与安全护栏。,默认适配器：基于角色的智能体对话，含工具、记忆上下文与安全护栏。
会话不存在,会话不存在
会话管理,会话管理
管理 AI 对话会话,管理 AI 对话会话
会话列表,会话列表
查看会话列表,查看会话列表
查看会话,查看会话
查看会话详情,查看会话详情
归档会话,归档会话
删除会话,删除会话
角色不存在,角色不存在
选择角色模板,选择角色模板
描述业务场景与项目数量,描述业务场景与项目数量
生成 AI 建议,生成 AI 建议
检查并保存,检查并保存
角色管理,角色管理
管理智能体角色,管理智能体角色
角色列表,角色列表
查看角色列表,查看角色列表
添加角色,添加角色
编辑角色,编辑角色
保存角色,保存角色
AI 建议,AI 建议
生成 AI 角色建议,生成 AI 角色建议
删除角色,删除角色
切换角色,切换角色
切换角色状态,切换角色状态
技能不存在,技能不存在
Shell 命令,Shell 命令
浏览器,浏览器
API 请求,API 请求
数据库,数据库
代码执行,代码执行
技能管理,技能管理
管理 AI 智能体技能,管理 AI 智能体技能
技能列表,技能列表
查看技能列表,查看技能列表
查看技能,查看技能
查看技能详情,查看技能详情
切换状态,切换状态
启用/禁用技能,启用/禁用技能
任务不存在,任务不存在
调度任务,调度任务
管理 AI 智能体调度任务,管理 AI 智能体调度任务
任务列表,任务列表
查看调度任务列表,查看调度任务列表
添加任务,添加任务
添加调度任务,添加调度任务
编辑任务,编辑任务
编辑调度任务,编辑调度任务
保存任务,保存任务
保存调度任务,保存调度任务
删除任务,删除任务
删除调度任务,删除调度任务
切换任务状态,切换任务状态
立即执行,立即执行
立即执行任务,立即执行任务
操作成功,操作成功
操作失败,操作失败
记忆管理,记忆管理
管理智能体记忆图谱节点与边,管理智能体记忆图谱节点与边
记忆列表,记忆列表
查看记忆列表,查看记忆列表
聊天控制台,聊天控制台
与 AI 智能体对话,与 AI 智能体对话
聊天界面,聊天界面
访问聊天控制台,访问聊天控制台
消息不能为空,消息不能为空
角色不存在或已禁用,角色不存在或已禁用
成功,成功
