请先登录,"Please log in first"
成功,Success
"缺少订单 ID。","Order ID is required."
发货单已创建，订单已进入已发货状态。,"Shipment created. The order is now fulfilled."
创建发货单失败。,"Shipment creation failed."
订单管理,"Order Management"
订单已标记为已送达。,"Order marked as delivered."
送达状态更新失败。,"Delivery update failed."
无效的订单状态。,"Invalid order status."
订单状态已更新。,"Order status updated."
订单状态更新失败。,"Order status update failed."
订单不存在。,"Order does not exist."
订单详情,"Order Details"
"该接口已停用，请通过 Weline.Api 调用 order.accountListFragment。","This endpoint is deprecated. Use Weline.Api.resource('order').accountListFragment() instead."
请先登录。,"Please log in to continue."
该订单无法取消。,"The order cannot be cancelled."
请先为该订单提交退换货申请。,"Please request a return for this order first."
订单已取消。退款将按您的支付方式规则处理。,"Order cancelled. Refund processing will follow your payment method rules."
订单已取消。,"Order cancelled."
我的订单,"My Orders"
该订单无法继续支付。,"This order cannot continue to payment."
请从结账页继续完成支付。,"Continue the payment flow from checkout."
订单详情加载失败。,"Failed to load order details."
"假订单信号需要前台客户 %{1} 已存在。","Fake order signal requires frontend customer %{1} to exist."
"保存假订单 %{1} 失败。","Failed to save fake order %{1}."
"已跳过假订单信号商品行：缺少商品 %{1}","Skipped fake order signal item row: missing product %{1}"
"保存假订单信号商品行 %{1} 失败。","Failed to save fake order signal item row %{1}."
订单查询器不支持的操作：%{1},"Unsupported order provider operation: %{1}"
订单已加载。,"Orders loaded."
"Please login.","Please login."
"Orders loaded.","Orders loaded."
订单查询,"Order Query"
提供订单创建、订单行持久化与账户摘要查询。,"Provides order creation, order item persistence, and account-summary queries."
创建订单并返回摘要。,"Create an order and return its summary."
批量持久化订单商品行。,"Persist order items in batch."
返回客户账户中心的最近订单与待付款订单。,"Return recent and unpaid orders for the customer account center."
返回当前前台客户订单仪表盘数据。,"Return current frontend customer order dashboard data."
返回当前前台客户待付款订单摘要。,"Return current frontend customer unpaid orders summary."
取消当前前台客户拥有的订单。,"Cancel an order owned by the current frontend customer."
"返回当前前台客户账户订单列表 JSON（供 Weline.Api 客户端渲染，勿返回 HTML）。","返回当前前台客户账户订单列表 JSON（供 Weline.Api 客户端渲染，勿返回 HTML）。"
订单列表页前置内容,"Order list content before"
在前台订单列表页正文前注入扩展内容。,"Inject content before the storefront order list page body."
订单列表页后置内容,"Order list content after"
在前台订单列表页正文后注入扩展内容。,"Inject content after the storefront order list page body."
订单详情页前置内容,"Order detail content before"
在前台订单详情页正文前注入扩展内容。,"Inject content before the storefront order detail page body."
订单详情商品区内容,"Order detail items content"
