API返回数据格式错误,API返回数据格式错误
"无法获取货币 %{1} 的汇率","无法获取货币 %{1} 的汇率"
"API返回的汇率数据异常: %{1}","API返回的汇率数据异常: %{1}"
"API请求失败: %{1}","API请求失败: %{1}"
"API返回错误状态码: %{1}","API返回错误状态码: %{1}"
"API返回数据解析失败: %{1}","API返回数据解析失败: %{1}"
"API请求失败，已重试 %{1} 次: %{2}","API请求失败，已重试 %{1} 次: %{2}"
基准货币代码必须是3位大写字母,基准货币代码必须是3位大写字母
Cron执行时间不能为空,Cron执行时间不能为空
配置已保存，需要更新所有货币汇率,配置已保存，需要更新所有货币汇率
"配置保存成功！已更新 %{1} 个货币的汇率（成功: %{2}, 失败: %{3}）","配置保存成功！已更新 %{1} 个货币的汇率（成功: %{2}, 失败: %{3}）"
"配置已保存，但更新货币汇率时出错: %{1}。请手动执行""手动导入""更新汇率。","配置已保存，但更新货币汇率时出错: %{1}。请手动执行""手动导入""更新汇率。"
"配置保存成功！手动汇率模式下，请同步维护各币种相对于 %{1} 的汇率。","配置保存成功！手动汇率模式下，请同步维护各币种相对于 %{1} 的汇率。"
配置保存成功！,配置保存成功！
"配置保存失败: %{1}","配置保存失败: %{1}"
API连接测试成功,API连接测试成功
API连接测试失败，请检查网络连接和API配置,API连接测试失败，请检查网络连接和API配置
网络连接失败，请检查服务器网络连接或防火墙设置,网络连接失败，请检查服务器网络连接或防火墙设置
API服务暂时不可用，请稍后重试,API服务暂时不可用，请稍后重试
"API连接测试失败: %{1}","API连接测试失败: %{1}"
当前为手动汇率模式，无法执行自动导入。,当前为手动汇率模式，无法执行自动导入。
基准货币未设置，无法执行导入,基准货币未设置，无法执行导入
"导入完成 - 总计: %d, 成功: %d, 失败: %d","导入完成 - 总计: %d, 成功: %d, 失败: %d"
"导入失败: %{1}","导入失败: %{1}"
"当前为手动汇率模式，无法自动重算汇率。请直接维护各币种相对于 CNY 的汇率。","当前为手动汇率模式，无法自动重算汇率。请直接维护各币种相对于 CNY 的汇率。"
参数错误：基准货币代码不能为空,参数错误：基准货币代码不能为空
货币汇率更新完成,货币汇率更新完成
无效的请求,无效的请求
"更新失败: %{1}","更新失败: %{1}"
货币不存在！,货币不存在！
保存成功！,保存成功！
"保存失败: %{1}","保存失败: %{1}"
货币ID不能为空,货币ID不能为空
货币不存在,货币不存在
不能删除基准货币,不能删除基准货币
删除成功！,删除成功！
"删除失败: %{1}","删除失败: %{1}"
"货币格式错误,示例:2,4","货币格式错误,示例:2,4"
千分位分隔符不能为空,千分位分隔符不能为空
小数分隔符不能为空,小数分隔符不能为空
"货币代码必须是3位大写字母（ISO 4217标准）","货币代码必须是3位大写字母（ISO 4217标准）"
货币名称不能为空,货币名称不能为空
汇率必须在0到1000000之间,汇率必须在0到1000000之间
货币符号位置必须是left或right,货币符号位置必须是left或right
"无法获取新基准货币的汇率: %{1}","无法获取新基准货币的汇率: %{1}"
新基准货币的汇率无效，无法重新计算,新基准货币的汇率无效，无法重新计算
货币汇率无效,货币汇率无效
货币管理,货币管理
货币配置,货币配置
系统,系统
配置,配置
货币导入配置,货币导入配置
配置货币汇率自动导入的相关设置,配置货币汇率自动导入的相关设置
汇率模式,汇率模式
手动汇率,手动汇率
"手动模式下，请在货币列表中维护各币种相对于 CNY 的汇率。","手动模式下，请在货币列表中维护各币种相对于 CNY 的汇率。"
自动汇率,自动汇率
"自动模式下，系统会以 CNY 为基准，通过 API / Cron / 手动导入更新汇率。","自动模式下，系统会以 CNY 为基准，通过 API / Cron / 手动导入更新汇率。"
启用自动导入,启用自动导入
启用后，系统将按照设定的时间自动从第三方API导入汇率,启用后，系统将按照设定的时间自动从第三方API导入汇率
导入渠道,导入渠道
选择汇率数据来源,选择汇率数据来源
API密钥,API密钥
如果使用付费API，请填写API密钥,如果使用付费API，请填写API密钥
测试连接,测试连接
Cron执行时间,Cron执行时间
执行频率,执行频率
执行时间,执行时间
小时,小时
分钟,分钟
星期,星期
日期,日期
Cron表达式,Cron表达式
"格式：分钟 小时 日 月 星期","格式：分钟 小时 日 月 星期"
"例如：0 2 * * * (每天凌晨2点)","例如：0 2 * * * (每天凌晨2点)"
预览：,预览：
Cron表达式：,Cron表达式：
基准货币,基准货币
警告：切换基准货币的影响,警告：切换基准货币的影响
所有货币的汇率都是相对于基准货币计算的，切换基准货币会导致所有汇率数据失效,所有货币的汇率都是相对于基准货币计算的，切换基准货币会导致所有汇率数据失效
切换后，您需要重新导入汇率数据，否则汇率计算将不准确,切换后，您需要重新导入汇率数据，否则汇率计算将不准确
"建议：切换基准货币前，先备份当前汇率数据，然后执行""手动导入""更新所有汇率","建议：切换基准货币前，先备份当前汇率数据，然后执行""手动导入""更新所有汇率"
我已了解，确认切换,我已了解，确认切换
取消，恢复原值,取消，恢复原值
什么是基准货币？,什么是基准货币？
基准货币是汇率计算的基础货币，所有其他货币的汇率都是相对于基准货币计算的。,基准货币是汇率计算的基础货币，所有其他货币的汇率都是相对于基准货币计算的。
示例：,示例：
如果基准货币是,如果基准货币是
USD汇率,USD汇率
"表示：1美元 = 8人民币","表示：1美元 = 8人民币"
CNY汇率,CNY汇率
"表示：1人民币 = 0.125美元","表示：1人民币 = 0.125美元"
如何选择基准货币？,如何选择基准货币？
选择您主要业务使用的货币（如：中国业务选择CNY，美国业务选择USD）,选择您主要业务使用的货币（如：中国业务选择CNY，美国业务选择USD）
选择您网站/系统主要面向的地区货币,选择您网站/系统主要面向的地区货币
选择您商品定价的主要货币,选择您商品定价的主要货币
最后导入时间,最后导入时间
保存配置,保存配置
手动导入,手动导入
确认切换基准货币,确认切换基准货币
警告：此操作将影响所有货币汇率数据！,警告：此操作将影响所有货币汇率数据！
您正在将基准货币从,您正在将基准货币从
切换为,切换为
所有货币的汇率将根据新的基准货币重新计算,所有货币的汇率将根据新的基准货币重新计算
系统将自动更新所有货币数据,系统将自动更新所有货币数据
此操作不可撤销，请确保您已了解影响,此操作不可撤销，请确保您已了解影响
切换后，系统将自动更新所有货币汇率，请等待更新完成,切换后，系统将自动更新所有货币汇率，请等待更新完成
取消,取消
确认切换并更新,确认切换并更新
正在更新货币汇率,正在更新货币汇率
正在重新计算所有货币的汇率，请稍候...,正在重新计算所有货币的汇率，请稍候...
当前处理：,当前处理：
总计,总计
成功,成功
失败,失败
更新错误：,更新错误：
完成,完成
免费版不需要API密钥,免费版不需要API密钥
每天,每天
每周,每周
每月,每月
每小时,每小时
自定义,自定义
星期日,星期日
星期一,星期一
星期二,星期二
星期三,星期三
星期四,星期四
星期五,星期五
星期六,星期六
"第 %{1} 天","第 %{1} 天"
每天凌晨2点执行,每天凌晨2点执行
基准货币是汇率计算的基础货币，所有其他货币的汇率都是相对于基准货币计算的。例如：如果基准货币是CNY，USD汇率8.0表示1美元=8人民币。,基准货币是汇率计算的基础货币，所有其他货币的汇率都是相对于基准货币计算的。例如：如果基准货币是CNY，USD汇率8.0表示1美元=8人民币。
当前基准货币,当前基准货币
从未导入,从未导入
配置保存失败,配置保存失败
请求失败,请求失败
货币汇率更新失败,货币汇率更新失败
更新失败,更新失败
测试中...,测试中...
API连接测试失败,API连接测试失败
导入中...,导入中...
导入成功,导入成功
导入失败,导入失败
货币代码,货币代码
"3位大写字母（ISO 4217标准），如：USD, CNY","3位大写字母（ISO 4217标准），如：USD, CNY"
货币名称,货币名称
货币多语言名称,货币多语言名称
留空时前台回退使用基础名称,留空时前台回退使用基础名称
汇率,汇率
相对于基准货币的汇率,相对于基准货币的汇率
货币符号,货币符号
符号位置,符号位置
左侧,左侧
右侧,右侧
货币图标,货币图标
千分位分隔符,千分位分隔符
小数分隔符,小数分隔符
格式,格式
"格式：小数位数,整数位数","格式：小数位数,整数位数"
基准货币代码（3位大写字母）,基准货币代码（3位大写字母）
状态,状态
启用,启用
禁用,禁用
格式化预览,格式化预览
输入金额后显示预览,输入金额后显示预览
保存,保存
编辑货币,编辑货币
添加货币,添加货币
Unicode符号或图标路径,Unicode符号或图标路径
货币列表,货币列表
搜索,搜索
ID,ID
图标,图标
符号,符号
格式化示例,格式化示例
操作,操作
暂无数据,暂无数据
编辑,编辑
删除,删除
搜索货币代码、名称或符号,搜索货币代码、名称或符号
确定要删除该货币吗？,确定要删除该货币吗？
