"﻿""浏览器不支持Geolocation API""","浏览器不支持Geolocation API"
定位失败,定位失败
用户拒绝了定位权限,用户拒绝了定位权限
位置信息不可用,位置信息不可用
定位请求超时,定位请求超时
"Weline API is not available","Weline API is not available"
IP定位失败,IP定位失败
"IP定位服务不可用: %{1}","IP定位服务不可用: %{1}"
China,China
"Deliver to","Deliver to"
"Select delivery address","Select delivery address"
"Auto detect","Auto detect"
"Manual select","Manual select"
"Enter delivery address, format: Province/City/District","Enter delivery address, format: Province/City/District"
Province/City/District,Province/City/District
Save,Save
Cancel,Cancel
Close,Close
"Weline API is not available.","Weline API is not available."
"Geo module is not available.","Geo module is not available."
"Address lookup failed.","Address lookup failed."
"Location detection failed.","Location detection failed."
Locating...,Locating...
"Please enter a delivery address.","Please enter a delivery address."
"Delivery address saved.","Delivery address saved."
定位成功,定位成功
经纬度参数不能为空,经纬度参数不能为空
经纬度格式不正确,经纬度格式不正确
经纬度范围不正确,经纬度范围不正确
获取地址成功,获取地址成功
"ip-api.com请求失败: %{1}","ip-api.com请求失败: %{1}"
"ip-api.com返回错误状态码: %{1}","ip-api.com返回错误状态码: %{1}"
"ip-api.com返回数据解析失败: %{1}","ip-api.com返回数据解析失败: %{1}"
"ip-api.com定位失败: %{1}","ip-api.com定位失败: %{1}"
"ipwhois.app请求失败: %{1}","ipwhois.app请求失败: %{1}"
"ipwhois.app返回错误状态码: %{1}","ipwhois.app返回错误状态码: %{1}"
"ipwhois.app返回数据解析失败: %{1}","ipwhois.app返回数据解析失败: %{1}"
"ipwhois.app定位失败: %{1}","ipwhois.app定位失败: %{1}"
"ipapi.co请求失败: %{1}","ipapi.co请求失败: %{1}"
"ipapi.co返回错误状态码: %{1}","ipapi.co返回错误状态码: %{1}"
"ipapi.co返回数据解析失败: %{1}","ipapi.co返回数据解析失败: %{1}"
未知错误,未知错误
"ipapi.co定位失败: %{1}","ipapi.co定位失败: %{1}"
"geojs.io请求失败: %{1}","geojs.io请求失败: %{1}"
"geojs.io返回错误状态码: %{1}","geojs.io返回错误状态码: %{1}"
"geojs.io返回数据解析失败: %{1}","geojs.io返回数据解析失败: %{1}"
geojs.io返回空数据,geojs.io返回空数据
本地定位服务暂未实现，将使用备用通道,本地定位服务暂未实现，将使用备用通道
"ipinfo.io请求失败: %{1}","ipinfo.io请求失败: %{1}"
"ipinfo.io返回错误状态码: %{1}","ipinfo.io返回错误状态码: %{1}"
"ipinfo.io返回数据解析失败: %{1}","ipinfo.io返回数据解析失败: %{1}"
"ipinfo.io定位失败: %{1}","ipinfo.io定位失败: %{1}"
没有可用的定位服务提供者,没有可用的定位服务提供者
"所有定位服务提供者都失败，最后错误: %{1}","所有定位服务提供者都失败，最后错误: %{1}"
"浏览器不支持Geolocation API","浏览器不支持Geolocation API"
