客服人员管理,客服人员管理
加载客服人员失败：%{1},"โหลดตัวแทนล้มเหลว: %{1}"
客服名称不能为空,ชื่อตัวแทนไม่สามารถว่างเปล่าได้
邮箱格式不正确,รูปแบบอีเมลไม่ถูกต้อง
请选择后台用户,กรุณาเลือกผู้ใช้แบ็กเอนด์
客服人员不存在,ตัวแทนไม่มีอยู่
保存成功,บันทึกสำเร็จ
保存失败：%{1},"บันทึกล้มเหลว: %{1}"
无效的客服ID,"ID ตัวแทนไม่ถูกต้อง"
删除成功,ลบสำเร็จ
删除失败：%{1},"ลบล้มเหลว: %{1}"
获取成功,ดึงข้อมูลสำเร็จ
获取统计数据失败：%{1},"ดึงสถิติล้มเหลว: %{1}"
客服配置,การตั้งค่าบริการลูกค้า
加载配置失败：%{1},"โหลดการตั้งค่าล้มเหลว: %{1}"
您不是客服人员，无法使用工作台,"คุณไม่ใช่ตัวแทนบริการลูกค้า ไม่สามารถใช้คอนโซลได้"
客服工作台,คอนโซลบริการลูกค้า
加载工作台失败：%{1},"โหลดคอนโซลล้มเหลว: %{1}"
您不是客服人员,คุณไม่ใช่ตัวแทนบริการลูกค้า
获取会话列表失败：%{1},"ดึงรายการเซสชันล้มเหลว: %{1}"
无效的会话ID,"ID เซสชันไม่ถูกต้อง"
会话不存在,เซสชันไม่มีอยู่
无权访问此会话,ไม่มีสิทธิ์เข้าถึงเซสชันนี้
获取消息失败：%{1},"ดึงข้อความล้มเหลว: %{1}"
消息内容不能为空,เนื้อหาข้อความไม่สามารถว่างเปล่าได้
发送成功,ส่งสำเร็จ
发送消息失败：%{1},"ส่งข้อความล้มเหลว: %{1}"
会话已被分配,เซสชันถูกมอบหมายแล้ว
已达到最大会话数限制,ถึงขีดจำกัดจำนวนเซสชันสูงสุดแล้ว
分配成功,มอบหมายสำเร็จ
分配会话失败：%{1},"มอบหมายเซสชันล้มเหลว: %{1}"
无权关闭此会话,ไม่มีสิทธิ์ปิดเซสชันนี้
会话已关闭,เซสชันปิดแล้ว
关闭会话失败：%{1},"ปิดเซสชันล้มเหลว: %{1}"
获取客服状态失败：%{1},"ดึงสถานะตัวแทนล้มเหลว: %{1}"
会话管理,การจัดการเซสชัน
加载会话失败：%{1},"โหลดเซสชันล้มเหลว: %{1}"
会话详情,รายละเอียดเซสชัน
加载会话详情失败：%{1},"โหลดรายละเอียดเซสชันล้มเหลว: %{1}"
邮箱地址不能为空,ที่อยู่อีเมลไม่สามารถว่างเปล่าได้
会话令牌不能为空,โทเค็นเซสชันไม่สามารถว่างเปล่าได้
验证邮件已发送，请查收,"ส่งอีเมลยืนยันแล้ว กรุณาตรวจสอบ"
发送验证邮件失败，请稍后重试,"ส่งอีเมลยืนยันล้มเหลว กรุณาลองใหม่อีกครั้งในภายหลัง"
发送验证邮件失败：%{1},"ส่งอีเมลยืนยันล้มเหลว: %{1}"
验证令牌不能为空,โทเค็นยืนยันไม่สามารถว่างเปล่าได้
验证令牌无效或已过期,โทเค็นยืนยันไม่ถูกต้องหรือหมดอายุแล้ว
邮箱绑定成功,ผูกอีเมลสำเร็จ
邮箱绑定失败，请稍后重试,"ผูกอีเมลล้มเหลว กรุณาลองใหม่อีกครั้งในภายหลัง"
验证失败：%{1},"ยืนยันล้มเหลว: %{1}"
客服聊天,แชทบริการลูกค้า
获取会话失败：%{1},"ดึงเซสชันล้มเหลว: %{1}"
语言代码不能为空,รหัสภาษาไม่สามารถว่างเปล่าได้
语言设置成功,ตั้งค่าภาษาสำเร็จ
设置语言失败：%{1},"ตั้งค่าภาษาล้มเหลว: %{1}"
客服消息翻译,การแปลข้อความบริการลูกค้า
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,"โมดูลบริการลูกค้าขอใช้บริการแปลผ่านเหตุการณ์นี้ ข้อมูลเหตุการณ์รวมถึงข้อความที่ต้องแปล ภาษาต้นฉบับ ภาษาปลายทาง เป็นต้น โมดูลแปลสามารถฟังเหตุการณ์นี้และให้บริการแปลได้"
"客服服务 - 邮箱绑定验证","บริการลูกค้า - การยืนยันการผูกอีเมล"
客服系统,ระบบบริการลูกค้า
客服服务,บริการลูกค้า
检测中...,กำลังตรวจสอบ...
设置,การตั้งค่า
收起,ย่อลง
我的语言,ภาษาของฉัน
简体中文,จีนตัวย่อ
繁體中文,จีนตัวเต็ม
显示模式,โหมดแสดงผล
仅显示译文,แสดงเฉพาะคำแปล
原文+译文,"ต้นฉบับ + คำแปล"
仅显示原文,แสดงเฉพาะต้นฉบับ
欢迎使用客服服务！,ยินดีต้อนรับสู่บริการลูกค้า!
请输入您的问题，我们的客服将尽快为您解答。,"กรุณากรอกคำถามของคุณ และทีมบริการลูกค้าของเราจะตอบกลับโดยเร็วที่สุด"
输入消息...,พิมพ์ข้อความ...
接收客服回复与优惠通知,接收客服回复与优惠通知
留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。,留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。
仅用于本次客服咨询相关通知，不是简报订阅。,仅用于本次客服咨询相关通知，不是简报订阅。
接收通知的邮箱,接收通知的邮箱
请输入用于接收客服通知的邮箱,请输入用于接收客服通知的邮箱
稍后再说,稍后再说
发送验证邮件,ส่งอีเมลยืนยัน
等待中,กำลังรอ
暂无消息,ไม่มีข้อความ
接单,รับ
暂无会话,ไม่มีเซสชัน
会话,เซสชัน
关闭会话,ปิดเซสชัน
发送,ส่ง
发送失败,ส่งล้มเหลว
发送失败，请稍后重试,"ส่งล้มเหลว กรุณาลองใหม่อีกครั้งในภายหลัง"
