添加成功！,"Added successfully!"
你编辑的资源不存在！,"The resource you are trying to edit does not exist."
编辑成功！,"Edited successfully!"
你删除的资源不存在！,"The resource you deleted does not exist!"
删除成功！,"Deletion successful!"
阿里云DDns,"Alibaba Cloud DDNS"
阿里云动态域名解析管理,"Alibaba Cloud Dynamic DNS Management"
动态域名列表,"Dynamic domain name list."
动态域名解析列表,"Dynamic DNS (DDNS) list."
添加,Add
添加动态域名解析,"Add dynamic DNS (DDNS) support."
编辑,Edit
编辑动态域名解析,"Edit dynamic DNS settings."
删除,Delete
删除动态域名解析,"Delete dynamic DNS record."
Aliyun,Aliyun
Ddns,Ddns
配置,Configuration
阿里云账号授权信息,"Alibaba Cloud Account Authorization Information"
填写来自阿里云账号的授权信息：accessKeyId和accessSecret。,"Please fill in the authorization information from your Alibaba Cloud account: accessKeyId and accessSecret."
填写正确！,Correct!
保存,Save
阿里云>动态域名解析,"Alibaba Cloud > Dynamic Domain Name Resolution"
阿里云,"Alibaba Cloud"
Ddns域名列表,"DDNS domain list."
阿里云DDns动态域名解析管理,"Alibaba Cloud DDNS Dynamic Domain Name System Management."
通过本地获取公网IP并调用阿里云域名解析接口向阿里云解析服务器发送对应域名更新IP的请求。使得本地计算机（电脑）可作为服务器运行。,"By obtaining the public IP address locally and calling the Alibaba Cloud DNS resolution interface to send a request to the Alibaba Cloud DNS server to update the IP address associated with a specific domain name, a local computer can function as a server."
使用时请确保线上已存在解析的对应记录。例如：ipv4线上需要有对应主机的A记录ipv4解析，ipv6则也需要线上有对应主机AAAA记录的ipv6解析。,"When using this feature, please ensure that the corresponding records have already been resolved online. For example, for IPv4, there must be an A record for the corresponding host, and for IPv6, there must be an AAAA record for the corresponding host."
总之：此插件工具只能更新IP，无法新建域名解析，所以线上必须有对应记录的解析，这个插件才能更新线上Dns。,"In summary: This plugin tool can only update existing IP addresses; it cannot create new domain name records. Therefore, corresponding records must already exist online for the plugin to update the online DNS."
添加域名,"Add domain"
ID,ID
添加属性,"Add attribute."
刷新,Refresh
关闭,Close
主机,Host
域名,Domain
ipv4,ipv4
ipv6,ipv6
间隔,Interval
启用ipv4解析,"Enable IPv4 resolution."
启用ipv6解析,"Enable IPv6 resolution."
启用,Enable
创建时间,"Create time"
更新时间,"Update time"
操作,Operation
