"公开 API 请求不允许携带 Cookie","公开 API 请求不允许携带 Cookie"
"Missing authentication token.",缺少身份验证令牌。
"Token is invalid or expired.",令牌无效或已过期。
"User has been disabled.",用户已被禁用。
"IP is not allowed.",不允许IP。
"User agent does not match.",用户代理不匹配。
"This token cannot access backend APIs.","该令牌无法访问后端 API。"
"This token cannot access frontend customer APIs.","此令牌无法访问前端客户 API。"
用户名和密码不能为空,用户名和密码不能为空
用户不存在,用户不存在
用户已被禁用,用户已被禁用
密码错误,密码错误
创建token失败,创建token失败
登录成功,登录成功
登录失败：%{1},登录失败：%{1}
"API Key和API Secret不能为空","API Key和API Secret不能为空"
"API Key或API Secret无效","API Key或API Secret无效"
令牌交换成功,令牌交换成功
令牌交换失败：%{1},令牌交换失败：%{1}
访问令牌和通行令牌不能为空,访问令牌和通行令牌不能为空
令牌无效或已过期,令牌无效或已过期
Token刷新成功,Token刷新成功
刷新token失败：%{1},刷新token失败：%{1}
Token不能为空,Token不能为空
撤销token失败,撤销token失败
Token已撤销,Token已撤销
撤销token失败：%{1},撤销token失败：%{1}
Token无效或已过期,Token无效或已过期
获取用户信息成功,获取用户信息成功
获取用户信息失败：%{1},获取用户信息失败：%{1}
Token无效,令牌无效
获取token信息成功,获取token信息成功
获取token信息失败：%{1},获取token信息失败：%{1}
用户ID不能为空,用户ID不能为空
用户名不能为空,用户名不能为空
用户名长度必须在3-50字符之间,用户名长度必须在3-50字符之间
邮箱不能为空,邮箱不能为空
邮箱格式不正确,邮箱格式不正确
密码不能为空,密码不能为空
密码长度不能少于6个字符,密码长度不能少于6个字符
用户名已存在,用户名已存在
邮箱已存在,邮箱已存在
添加成功！,添加成功！
"API Key: %{1}","API 密钥：%{1}"
"API Secret: %{1}（请妥善保管，仅显示一次）","API Secret: %{1}（请妥善保管，仅显示一次）"
添加失败：%{1},添加失败：%{1}
修改成功！,修改成功！
修改失败：%{1},修改失败：%{1}
删除成功！,删除成功！
删除失败：%{1},删除失败：%{1}
启用成功！,启用成功！
启用失败：%{1},启用失败：%{1}
禁用成功！,禁用成功！
禁用失败：%{1},禁用失败：%{1}
重新生成成功！,重新生成成功！
重新生成失败：%{1},重新生成失败：%{1}
该用户尚未分配角色，请先分配角色,该用户尚未分配角色，请先分配角色
权限分配成功！,权限分配成功！
权限分配失败：%{1},权限分配失败：%{1}
API用户管理,API用户管理
users,用户
管理API用户,管理API用户
API用户列表,API用户列表
list,列表
添加API用户,添加API用户
plus,加
编辑API用户,编辑API用户
edit,编辑
添加API用户请求,添加API用户请求
save,节省
编辑API用户请求,编辑API用户请求
删除API用户,删除API用户
trash,trash
启用API用户,启用API用户
check,查看
禁用API用户,禁用API用户
circle,圆圈
重新生成API凭证,重新生成API凭证
refresh,刷新
API用户权限分配,API用户权限分配
key,钥匙
API用户权限分配请求,API用户权限分配请求
仅支持POST请求,仅支持POST请求
配置保存成功！,配置保存成功！
没有需要保存的配置,没有需要保存的配置
保存失败：%{1},保存失败：%{1}
查看API接入管理失败：{1},查看API接入管理失败：{1}
API接入管理,API接入管理
查看API接入管理,查看API接入管理
API模块配置,API模块配置
配置API令牌刷新周期等参数,配置API令牌刷新周期等参数
令牌刷新配置,令牌刷新配置
令牌刷新周期（秒）,令牌刷新周期（秒）
前端自动刷新令牌的时间间隔,前端自动刷新令牌的时间间隔
