减少数量,减少数量
增加数量,增加数量
删除商品,删除商品
购物车是空的,购物车是空的
开始购物,开始购物
"浏览器直连购物车 REST API 已弃用，请使用前台 Worker API。","浏览器直连购物车 REST API 已弃用，请使用前台 Worker API。"
请求方法不允许。,请求方法不允许。
"无效的商品 ID。","无效的商品 ID。"
商品不存在。,商品不存在。
商品已下架。,商品已下架。
请选择商品规格。,请选择商品规格。
所选商品规格组合不可用。,所选商品规格组合不可用。
库存不足，当前库存：%{1},库存不足，当前库存：%{1}
已成功加入购物车。,已成功加入购物车。
加入购物车失败：%{1},加入购物车失败：%{1}
无法加载商品规格：%{1},无法加载商品规格：%{1}
"浏览器直连购物车 API 已弃用，请使用前台 Worker API。","浏览器直连购物车 API 已弃用，请使用前台 Worker API。"
商品,商品
请先登录,请先登录
无效的购物车项,无效的购物车项
商品已从购物车移除,商品已从购物车移除
无效的数量,无效的数量
购物车已更新,购物车已更新
购物车ID不能为空,购物车ID不能为空
已从购物车移除,已从购物车移除
数量必须大于0,数量必须大于0
购物车更新成功,购物车更新成功
添加到购物车之前,添加到购物车之前
在商品添加到购物车之前触发，可用于验证库存、检查限购等。,在商品添加到购物车之前触发，可用于验证库存、检查限购等。
添加到购物车之后,添加到购物车之后
在商品添加到购物车之后触发，可用于更新统计、发送通知、触发前端刷新等。,在商品添加到购物车之后触发，可用于更新统计、发送通知、触发前端刷新等。
更新购物车之前,更新购物车之前
在更新购物车商品数量之前触发。,在更新购物车商品数量之前触发。
更新购物车之后,更新购物车之后
在更新购物车商品数量之后触发，可用于重新计算总额、更新前端显示等。,在更新购物车商品数量之后触发，可用于重新计算总额、更新前端显示等。
从购物车移除之前,从购物车移除之前
在从购物车移除商品之前触发。,在从购物车移除商品之前触发。
从购物车移除之后,从购物车移除之后
在从购物车移除商品之后触发，可用于更新统计、触发前端刷新等。,在从购物车移除商品之后触发，可用于更新统计、触发前端刷新等。
清空购物车之前,清空购物车之前
在清空购物车之前触发。,在清空购物车之前触发。
清空购物车之后,清空购物车之后
在清空购物车之后触发，通常在订单完成后调用。,在清空购物车之后触发，通常在订单完成后调用。
购物车总额收集,购物车总额收集
在计算购物车总额时触发，其他模块可以添加运费、税费、折扣等。,在计算购物车总额时触发，其他模块可以添加运费、税费、折扣等。
购物车总额已收集,购物车总额已收集
在购物车总额计算完成后触发，可用于记录日志、分析等。,在购物车总额计算完成后触发，可用于记录日志、分析等。
购物车数据已加载,购物车数据已加载
在购物车数据加载完成后触发，可用于添加额外数据、修改显示内容等。,在购物车数据加载完成后触发，可用于添加额外数据、修改显示内容等。
应用优惠券之前,应用优惠券之前
"在应用优惠券之前触发，WeShop_Coupon 模块应监听此事件。","在应用优惠券之前触发，WeShop_Coupon 模块应监听此事件。"
应用优惠券之后,应用优惠券之后
在应用优惠券之后触发。,在应用优惠券之后触发。
迷你购物车已加载,迷你购物车已加载
"在迷你购物车数据加载完成后触发，用于 AJAX 请求响应。","在迷你购物车数据加载完成后触发，用于 AJAX 请求响应。"
"Cart 查询器不支持的操作：%{1}","Cart 查询器不支持的操作：%{1}"
购物车数量加载成功。,购物车数量加载成功。
购物车查询,购物车查询
提供购物车读取与总额计算能力,提供购物车读取与总额计算能力
"通过 Weline_Cart 根路由渲染前台购物车页面","通过 Weline_Cart 根路由渲染前台购物车页面"
前台购物车加购操作,前台购物车加购操作
前台商品规格读取操作,前台商品规格读取操作
前台迷你购物车商品列表操作,前台迷你购物车商品列表操作
前台购物车数量读取操作,前台购物车数量读取操作
前台购物车更新操作,前台购物车更新操作
前台购物车移除操作（移至回收站）,前台购物车移除操作（移至回收站）
