需要帮助？,"Precisa de ajuda?"
访问,Visitar
客服邮箱：,"E-mail de suporte:"
客服电话：,"Telefone de suporte:"
服务时间：,"Horário de atendimento:"
地址：,Endereço:
此邮件由系统自动发送，请勿直接回复。如非本人操作，请忽略本邮件。,"Esta mensagem foi enviada automaticamente. Não responda diretamente. Se você não a esperava, pode ignorá-la."
来自商城的通知,"Uma mensagem da loja"
默认网站,"Site padrão"
默认店铺,"Loja padrão"
系统通知,"Notificação do sistema"
通知内容,"Conteúdo da notificação"
信息,Informação
官方商城客户服务,"Atendimento ao cliente da loja oficial"
"周一至周五 9:00 - 18:00","Seg–sex 9:00–18:00"
"周一至周五 9:00 - 18:00（法定节假日除外）","Seg–sex 9:00–18:00 (exceto feriados)"
默认渠道,Canal padrão
