无权限访问重定向前,リダイレクト前にアクセス権限がありません
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,ユーザーがアクセス権限を持っていない場合に、リダイレクト処理を行う前に実行されます。他のモジュールがリダイレクト前にカスタム操作を実行できるようにします。例えば、ログの記録や通知の送信などです。
角色检查,キャラクター確認
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,ユーザーの役割権限をチェックする際にトリガーされ、他のモジュールが役割チェックのロジックをカスタマイズできるようにします。
"角色 ACL 条目加载后",ロールACLエントリがロードされた後
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。",ロール有効なACL行は、データベースからロードされた際にトリガーされ、オブザーバーはentriesを書き戻すことができます（例：サイトレベルの権限パッケージの共通部分を求める場合）。ACLは、Webサイトを認識しません。
"超管 ACL 旁路检查","スーパーユーザー ACL バイパス チェック"
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","role_id=1 の場合、ショートカット許可前にトリガーされます。監視者は、allow_bypass を false に設定することで、ショートカット機能を無効にできます。"
角色权限保存前,ロール権限の保存前
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。",ロールACLの割り当て保存前にトリガーされます。オブザーバーは、許可されていないソースID（許可/メッセージ）を拒否できます。
角色列表过滤,キャラクターリストのフィルタリング
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。",キャラクター一覧/作成前のトリガー。オブザーバーは、website_idに基づいて管理可能なキャラクターの集合を制限できます。
"ACL 分配树行加载后",ACL割り当てツリーの読み込み後、
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。",権限割り当てツリー/ラベル行がロードされた後、トリガーが発生します。オブザーバーは、rowsに書き戻すことで、割り当て可能なリソースを制限できます。
所有标签,すべてのタグ
搜索标签,検索タグ
id属性不能为空,ID属性は必須です。
未找到匹配标签,一致するタグが見つかりませんでした。
移除,削除
acl标签缺少source属性,ACLタグにsource属性がありません。
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","このページの一部のリソースにはアクセス権が必要です。しかし、現在、お客様にはその権限がありません。%{1} リソースへのアクセスはできません。必要な場合は、管理者にご連絡ください。"
使用示例：,使用例：
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","リソースIDと親リソースIDは同じにできません。ご確認ください。リソースID: %{1}、親リソースID: %{2}"
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","フレームワークの規定違反：クラスレベルのACL %{1} がメニューACLに紐づいていません。source_idがmenu.xmlのノードに対応しているか、またはparent_sourceがtype=menusのメニューノードを指していることを確認してください。現在のparent_sourceは%{2}です。"
(空),（空）
"【ACL 重复检测】模块: %{1}",【ACL重複検出】モジュール：%{1}
"发现以下重复的 source_id：",以下のsource_idが重複していることが検出されました：
"... 已省略更多重复（共 %{1} 个 source_id）","... その他の繰り返し部分は省略します（合計%{1}個のsource_id）。"
"重复的 source_id: %{1}","重複されたsource_id: %{1}"
首次出现:,初出茅庐。
"- 类: %{1}","- クラス: %{1}"
"- 方法: %{1}","方法: %{1}"
"- 路由: %{1}","- ルート: %{1}"
"- 路由器: %{1}",ルーター：%{1}
"重复出现 (%{1} 次):","繰り返し出現 (%{1} 回):"
"- 索引 #%{1}:","インデックス #%{1}:"
"类: %{1}","種類: %{1}"
"方法: %{1}",方法：%{1}
"路由: %{1}","ルーティング: %{1}"
"路由器: %{1}",ルーター：%{1}
"... 已省略 %{1} 条","... 詳細は%{1}件省略されています。"
"路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。",ルーティングシステムは、同じアクションに対して複数のURLのバリエーションを生成することがあり、これは正常な動作です。ACL（アクセス制御リスト）は、これらの重複を自動的に排除します。
"【ACL 重复检测】模块: %{1} (方法级别权限)","【ACL重複検出】モジュール：%{1} (メソッドレベルの権限)"
"ACL catalog: framework Query compile refreshed before resource collection.","ACL catalog: framework Query compile refreshed before resource collection."
请先登录,まず、ログインしてください。
用户已被禁用,ユーザーは利用停止となっています。
"应用没有任何授权 scope","アプリケーションに権限 (スコープ) が設定されていません。"
应用无权进行该操作,アプリケーションにその操作を実行する権限がありません。
用户不存在或已被删除,ユーザーが存在しないか、削除されています。
用户没有分配角色,ユーザーにロールが割り当てられていません。
你没有任何权限！请联系管理员！,あなたには権限がありません！管理者にお問い合わせください！
"你无权进行该操作！你不具备：%{1} 操作权限！","あなたはその操作を行う権限がありません！ 必要な権限は：%{1} です！"
你无权进行该操作,あなたはその操作を行う権限がありません。
"你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！","あなたはその操作を行う権限がありません！ 以下の権限が不足しています：%{1} ルート：%{2} 操作権限！ アクセス可能なページにリダイレクトしました！"
你无权进行该操作！已将你带到你可访问的后台页面：%{1},あなたはその操作を行う権限がありません！アクセス可能な管理画面に移動しました：%{1}
"超级管理员已拥有对象 Scope 授权，无需追加。","スーパー管理者は、既にオブジェクト Scope の権限を持っています。追加する必要はありません。"
"已为超级管理员（role_id=1）追加 %{1} 条对象 Scope 授权。","スーパー管理者（role_id=1）に、%{1} 件のオブジェクト Scope の権限を追加しました。"
"为超级管理员授予对象 Scope 授权时出错：%{1}","スーパー管理者にオブジェクト Scope の権限を付与中にエラーが発生しました: %{1}"
"超级管理员已拥有全部 ACL 权限，无需追加。",スーパー管理者は、追加なしで、すべてのACL権限を持っています。
"已为超级管理员（role_id=1）授予 %{1} 条新权限。",スーパー管理者（role_id=1）に、%{1}個の新しい権限を付与しました。
为超级管理员授予权限时出错：%{1},スーパー管理者への権限付与中にエラーが発生しました：%{1}
管理权限,管理権限
shield,shield
模块资源,モジュールリソース
puzzle,puzzle
标签资源,ラベルリソース
search,search
加载IP白名单失败：%{1},IPアドレスのホワイトリストの読み込みに失敗しました：%{1}
IP地址不能为空,IPアドレスは必須項目です。
IP地址格式不正确,IPアドレスの形式が正しくありません。
该IP地址已存在,そのIPアドレスは既に登録されています。
添加成功,追加成功
添加失败,追加に失敗しました。
添加失败：%{1},追加に失敗しました：%{1}
记录不存在,記録が見つかりません。
该IP地址已被其他记录使用,そのIPアドレスは、他の登録で使用されています。
更新成功,更新が成功しました。
更新失败,更新に失敗しました。
更新失败：%{1},"更新に失敗しました: %{1}"
无效的请求方法,無効なリクエスト方法
无效的ID,無効なID
删除成功,删除成功
删除失败,删除失败
删除失败：%{1},删除失败：%{1}
状态更新成功,ステータス更新が成功しました。
状态更新失败,ステータス更新に失敗しました。
状态更新失败：%{1},状態の更新に失敗しました：%{1}
IP白名单,IPアクセス許可リスト
check,check
查看IP白名单,IPアドレスのホワイトリストを確認する。
添加IP白名单,IPアドレスのホワイトリストに追加する。
plus,plus
编辑IP白名单,IPアドレスのホワイトリストを編集する。
edit,edit
删除IP白名单,IPアドレスのホワイトリストを削除する。
trash,trash
切换IP白名单状态,IPアドレスのホワイトリスト状態を切り替えます。
switch,switch
登录失败,ログインに失敗しました。
登录成功,ログイン成功
权限拒绝,権限拒否
ACL违规,ACL違反
可疑活动,疑わしい活動
加载安全日志失败：%{1},"セキュリティログの読み込みに失敗しました: %{1}"
安全日志,セキュリティログ
warning,warning
查看安全日志,セキュリティログの確認
标签词非法,不正なキーワード
标签元数据已保存,タグのメタデータが保存されました。
标签仍被资源或角色订阅引用，不能删除元数据,タグはまだリソースやキャラクターによって参照されているため、メタデータを削除できません。
标签元数据已删除,タグのメタデータが削除されました。
ACL标签管理,ACLタグ管理
tag,tag
"管理 ACL source_id 标签元数据","アクセス制御リスト (ACL) のソース ID と関連するメタデータを管理します。"
标签列表,タグリスト
保存标签元数据,タグのメタデータを保存する。
删除标签元数据,タグのメタデータを削除する。
角色名不能为空！,キャラクター名は必須項目です！
角色已存在！,キャラクターは既に存在します。
角色创建成功！,キャラクター作成が完了しました！
角色创建失败！,キャラクター作成に失敗しました！
角色已不存在！,キャラクターは存在しません！
删除成功！,削除に成功しました！
仅允许超管分配权限！,管理者のみが権限を割り当てることができます。
角色ID不存在！,キャラクターIDが存在しません！
权限分配被站级授权包拒绝,権限の割り当てが、サイトレベルの承認パッケージによって拒否されました。
权限分配失败！,権限の割り当てに失敗しました。
权限分配成功，所有缓存已刷新！,権限の割り当てが完了しました。すべてのキャッシュを更新しました！
权限已保存，但所有缓存刷新失败：%{1},権限は保存されましたが、すべてのキャッシュの更新に失敗しました：%{1}
搜索成功,検索成功
访问控制权限管理,アクセス制御権限管理
角色列表,登場人物一覧
角色添加,キャラクター追加
角色编辑,キャラクター編集
角色删除,キャラクター削除
权限分配,権限の割り当て
角色权限分配,役割権限の割り当て
角色搜索,キャラクター検索
搜索角色列表,キャラクターリストを検索
不能删除超级管理员！,スーパー管理者は削除できません！
添加IP,IPアドレスを追加する。
关键词,キーワード
搜索,検索
重置,リセット
IP白名单列表,IPアドレスのホワイトリスト
ID,ID
IP地址,IPアドレス
描述,説明
状态,状态
创建时间,创建时间
操作,操作
编辑,编辑
删除,删除
显示,显示
到,到着
共,合計
条记录,レコード
上一页,前のページ
下一页,下一页
暂无IP白名单记录,IPアドレスのホワイトリストに登録されていません。
