"API 文档收集后","API 文档收集后"
"DeveloperWorkspace 汇总 API 文档后触发，允许其他模块通过事件追加 SDK、协议或扩展 API 文档。","Triggered after DeveloperWorkspace aggregates API documentation, allowing other modules to append SDK, protocol or extension API documentation through events."
异步事件验收台不支持操作：%{1},"Asynchronous event acceptance platform does not support operation: %{1}"
"执行异步资源变更 WebUI 验收步骤","Execute asynchronous resource changes WebUI acceptance step"
"异步资源变更 WebUI 验收台","Asynchronous resource change WebUI acceptance platform"
"通过 w_changed() 实测 Outbox、Delivery、Queue 与异步 Observer。","Use w_changed() to measure Outbox, Delivery, Queue and asynchronous Observer."
开发工具面板,"Developer Tools Panel"
在页面中显示开发工具面板，提供路由查看、API文档等功能。仅在开发模式下显示。,"Show the developer tools panel on the page, including route inspection and API docs. Displayed only in developer mode."
开发工具面板-扩展标签,"Developer Tools Panel - Extension Tabs"
"在开发工具面板标签栏「耗时统计」之后注入扩展标签按钮，由各模块自行实现（如 WLS 等）。","Inject extension tab buttons after the Timing tab in the developer tools panel. Implemented by each module, such as WLS."
开发工具面板-扩展搜索区,"Developer Tools Panel - Extension Search Area"
"在开发工具面板搜索区域之后注入扩展标签对应的搜索区 HTML 与注册脚本。","Inject search area HTML and registration scripts for extension tabs after the developer tools search area."
开发工具标题,"Developer Tools Title"
在开发工具面板中显示标题内容。,"Show title content in the developer tools panel."
前言,Preface
说在前面,"Before You Start"
安装,Installation
安装文档,"Installation Docs"
快速开始,"Quick Start"
框架模组,"Framework Modules"
框架规范,"Framework Standards"
框架类的规范,"Framework Class Standards"
模型文档,"Model Docs"
使用控制器,"Using Controllers"
模组事件,"Module Events"
WelineFramework插件功能,"WelineFramework Plugin Features"
"Weline_DeveloperWorkspace Upgrade: idempotent DocumentUniqueKeyHealer","Weline_DeveloperWorkspace Upgrade: idempotent DocumentUniqueKeyHealer"
开发助手,"Development Assistant"
关闭沙盒环境,"Close sandbox environment"
沙盒启动Key,"Sandbox Startup Key"
"异步验收探针只接受 ResourceChange v1","Asynchronous acceptance probe only accepts ResourceChange v1"
异步验收探针标识不匹配,"Asynchronous acceptance probe identifier mismatch"
"Weline_DeveloperWorkspace: before_schema_diff_commit — DocumentUniqueKeyHealer","Weline_DeveloperWorkspace: before_schema_diff_commit — DocumentUniqueKeyHealer"
文档ID不能为空,"Document ID cannot be empty"
文档不存在,"Document does not exist"
文档路径信息不完整,"Document path information is incomplete"
无法读取文档文件,"Unable to read document file"
文档管理配置,"Document Management Config"
配置已保存,"Config saved"
扫描完成,"Scan complete"
任务已执行,"Task executed"
失败任务已重置,"Failed tasks reset"
适配器测试完成,"Adapter test complete"
添加,Add
修改,Modify
文件上传失败！,"File uploadFailed!"
未知,Unknown
获取成功,"Get successful"
开发文档管理,"Development document management"
list,list
管理开发文档,"Manage developer documents"
文档列表,"Document list"
language,language
保存文档管理配置,"Save document management configuration"
save,save
扫描文档翻译适配器,"Scanned Document Translation Adapter"
search,search
执行文档翻译任务,"Perform document translation tasks"
play,play
重试失败文档翻译任务,"Retry a failed document translation task"
测试文档翻译适配器,"Test document translation adapter"
circle,circle
文档删除,"Document deletion"
trash,trash
文档编辑,"Document editing"
edit,edit
文档添加,"Documentation added"
plus,plus
文档保存,"Document saving"
id,id
content,content
文档成功！ID:,"Document successful! ID:"
dev/tool/admin/document,dev/tool/admin/document
文档上传,"Document upload"
upload,upload
文档查看,"Document view"
eye,eye
文档列表API,"Document List API"
分类ID不能为空,"Category ID cannot be empty"
分类不存在,"Category does not exist"
系统分类不允许删除,"System categories cannot be deleted"
下层有系统分类，不允许删除,"Cannot delete because child system categories exist"
删除成功,"Delete successful"
删除成功！,"Delete successful!"
不能自己选择自己作为父类！,"A category cannot use itself as its parent!"
目录名不能为空！,"Directory name cannot be empty!"
"分类名称""%{name}""在同一父分类下已存在！","Category name ""%{name}"" already exists under the same parent category!"
"该记录已不存在！ID: %{id}","The record no longer exists! ID: %{id}"
修改成功！,"Modify successful!"
添加成功！,"Add successful!"
不能将自己作为父分类,"A category cannot be its own parent"
系统分类不允许拖动排序,"System categories cannot be reordered by dragging"
排序已保存,"Sort saved"
保存失败：,"Save failed:"
dev-document-catalog-manager,dev-document-catalog-manager
文档分类管理器,"Document Category Manager"
dev-document-manager,dev-document-manager
文档分类列表,"Document classification list"
文档分类树,"document classification tree"
文档分类删除,"Document category deletion"
文档分类保存,"Document classification and storage"
sort,sort
文档分类排序,"Document classification sorting"
文档分类查看,"View documents by category"
无效的请求方法,"Invalid request method"
启动Key错误,"Invalid startup key"
沙盒环境已关闭！接下来操作的数据将影响正式线上数据库。,"Sandbox mode is off. Subsequent operations will affect the production database."
沙盒环境已启动！接下来操作的数据将写入沙盒数据库。,"Sandbox mode is on. Subsequent operations will write to the sandbox database."
沙盒启动Key不能为空,"Sandbox startup key cannot be empty"
沙盒启动Key设置成功,"Sandbox startup key saved"
沙盒环境已关闭,"Sandbox mode is off"
沙盒管理,"Sandbox management"
database,database
加载Debug配置失败：%{1},"Failed to load debug config: %{1}"
保存成功,"Saved successfully"
保存失败：%{1},"Save failed: %{1}"
Debug配置,"Debug Config"
查看Debug配置,"View Debug configuration"
保存Debug配置,"Save Debug configuration"
加载沙盒配置失败：%{1},"Failed to load sandbox config: %{1}"
沙盒配置,"Sandbox Config"
check,check
查看沙盒配置,"View sandbox configuration"
保存沙盒配置,"Save sandbox configuration"
加载开发面板配置失败：%{1},"Failed to load developer panel config: %{1}"
开发面板配置,"Developer Panel Config"
grid,grid
查看开发面板配置,"View the development panel configuration"
保存开发面板配置,"Save development panel configuration"
WelineFramework开发文档,"WelineFramework Developer Docs"
搜索关键词不能为空,"Search keyword cannot be empty"
API文档管理,"API Documentation"
开发工作区,"development workspace"
开发,Development
Prompt,Prompt
Completion,Completion
"总开关。关闭后不会自动入队或执行 AI 翻译，已存在译文仍可按读取逻辑展示。","Master switch. When disabled, no AI translation tasks are enqueued or executed automatically; existing translations can still be displayed by the read logic."
"文档导入事实源固定为 zh_Hans_CN，不提供界面配置；翻译结果只写数据库，不回写模块 doc 文件。","The document import source of truth is fixed to zh_Hans_CN and is not configurable in the UI; translation results are stored only in the database and are not written back to module doc files."
"支持语言决定前台/后台语言选择器可选项；AI 自动补齐决定该语言缺失或过期时是否进入异步翻译队列。","Supported languages determine the options shown in frontend and backend language selectors. AI auto-fill determines whether missing or stale translations for that language enter the async translation queue."
开启后，缺失译文或源文档更新导致过期时会进入翻译队列；不会同步阻塞当前页面访问。,"When enabled, missing translations or translations made stale by source document updates enter the translation queue. Page access is not blocked synchronously."
"控制哪些类型会被自动入队翻译。普通文档、API 文档、目录树互相独立；全不勾选时即使语言开启也不会产生翻译任务。","Controls which content types are automatically enqueued for translation. Regular documents, API documents, and catalog trees are independent. If none are selected, no translation tasks are created even when languages are enabled."
开发文档列表和详情页中的普通模块文档。,"Regular module documents in the developer documentation list and detail pages."
"API 文档页的接口标题、摘要、参数说明、响应说明等由导入器生成的文档内容。","Importer-generated API documentation content such as endpoint titles, summaries, parameter descriptions, and response descriptions."
左侧目录节点名称和描述。关闭后目录仍显示源语言或已有译文，不会自动补齐新译文。,"Names and descriptions of left-side catalog nodes. When disabled, the catalog still shows source text or existing translations, but new translations are not auto-filled."
"文档翻译适配器使用的文本模型。模型上下文大小会影响单篇大文档如何自动拆分成多次 AI 请求。","Text model used by the document translation adapter. The model context size affects how a large document is split into multiple AI requests."
"每次定时任务或手动执行最多处理的翻译任务数量。它不是文档总数，也不是单篇大文档的 AI 分段大小；大文档分段由适配器按模型上下文自动处理。","Maximum number of translation tasks processed by each scheduled or manual run. It is not the total number of documents and not the AI segment size for one large document; large-document splitting is handled automatically by the adapter based on model context."
单个翻译任务遇到网络、限流等可重试错误时允许自动重试的最大次数。格式错误、配置缺失等不可重试错误不会无限重试。,"Maximum automatic retries for one translation task after retryable errors such as network failures or rate limits. Non-retryable errors such as invalid response format or missing configuration are not retried indefinitely."
"单篇源文档允许进入 AI 翻译链路的安全上限。超过模型单次上下文时会自动拆分请求；超过这里的业务上限才会被阻止。","Safety limit for one source document entering the AI translation pipeline. If it exceeds the model's single-request context, requests are split automatically; only documents exceeding this business limit are blocked."
目标语言译文缺失、待翻译、失败或过期时的读取策略。回退源文档会显示中文源内容；空内容会让前台显示为空或由页面自行处理。,"Read policy when the target-language translation is missing, pending, failed, or stale. Fallback to source shows Chinese source content; empty content leaves the frontend empty or lets the page handle it."
"当天文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。","Stops executing document translation tasks when today's accumulated token usage reaches this value. Use 0 for unlimited."
"当月文档翻译任务累计 token 达到该值后停止继续执行。填 0 表示不限制。","Stops executing document translation tasks when this month's accumulated token usage reaches this value. Use 0 for unlimited."
"开启后，非源语言页面会显示 missing、pending、translated、stale、failed 等状态，方便调试；源语言页面不显示 translated 状态。","When enabled, non-source-language pages show statuses such as missing, pending, translated, stale, and failed for debugging. Source-language pages do not show translated status."
"开发文档编辑器 有新的开发文档时可以随时编辑","Developer document editor. Edit new developer documents at any time."
保存,Save
返回,Back
标题,Title
请输入标题,"Enter a title"
作者,Author
请输入作者,"Enter an author"
摘要,Summary
请输入摘要,"Enter a summary"
分类,Category
文章内容,"Article Content"
文章内容不能为空,"Article content cannot be empty"
系统,System
"上移 %{1}","Move up %{1}"
"下移 %{1}","Move down %{1}"
添加子分类,"Add Child Category"
分类已保存,"Category saved"
分类保存失败,"Category saving failed"
删除分类,"Delete Category"
删除分类会同时删除其子分类，且无法恢复。确定继续吗？,"Deleting a category will also delete its subcategories and cannot be restored. Are you sure you want to continue?"
分类已删除,"Category deleted"
分类删除失败,"Category deletion failed"
分类顺序已保存,"Category order saved"
分类排序失败,"Category sorting failed"
开发文档分类,"Development document classification"
使用键盘可操作的树形列表维护层级，通过上移和下移按钮调整同级顺序,"Maintain hierarchy using keyboard-operated tree list and adjust sibling order with move up and move down buttons"
分类管理操作,"Classification management operations"
添加顶级分类,"Add Top-level Category"
返回文档,"Return to document"
分类树,"Category Tree"
暂无分类,"No classification yet"
添加分类,"Add Category"
编辑分类,"Edit Category"
分类信息,"Category Information"
请从左侧选择分类，或添加一个新分类,"Please select a category from the left, or add a new category"
分类名称,"Category Name"
系统分类不能修改名称或父级,"System classification cannot modify the name or parent"
分类描述,"Category Description"
父分类,"Parent Category"
顶级分类,"Top-level Category"
启用分类,"Enable Category"
系统分类,"System Category"
可修改描述和启用状态；名称、父级、排序及删除受保护。,"Description and enabled status can be modified; name, parent, sorting, and deletion are protected."
删除,Delete
取消,Cancel
正在加载文档…,"Loading documents…"
文档加载失败，请稍后重试,"Document loading failed, please try again later"
删除文档,"Delete document"
删除后无法恢复，确定继续吗？,"Deletion cannot be restored. Are you sure you want to continue?"
文档已删除,"Document deleted"
文档删除失败,"Document deletion failed"
暂无内容,"No content"
创建时间,"creation time"
更新时间,"Update time"
模块,module
开发文档,"Developer Docs"
"使用 Weline UI 管理开发资料、分类和翻译状态","Use Weline UI to manage development materials, categories and translation status"
文档管理操作,"Document management operations"
"API 文档","API documentation"
翻译配置,"Translation configuration"
目录管理,"Catalog Management"
新增文章,"New Article"
文档分类,"Document Categories"
全部文档,"All Documents"
文章列表,"Article list"
"共 %{1} 篇文档","Total %{1} documents"
文档语言,"Document language"
切换,switch
无标题,"No Title"
未分类,Uncategorized
自动导入,"Auto Imported"
暂无摘要,"No abstract yet"
查看,View
编辑,Edit
暂无文章,"No articles"
当前分类还没有文档,"There are no documents for the current category"
文档分页,"Document paging"
首页,"front page"
上一页,"Previous page"
下一页,"Next page"
末页,"Last page"
文档详情,"Document Details"
关闭,Close
沙盒环境是一套数据隔离的测试环境，测试时数据不会写入正式数据库，而是写入沙盒数据库。,"The sandbox environment is a data-isolated testing environment. During testing, the data will not be written to the formal database, but to the sandbox database."
可配置参数：,"Configurable Parameters:"
控制沙盒环境参数来达到测试系统环境。,"Control sandbox parameters to configure the test environment."
当前沙盒状态：,"Current Sandbox Status:"
开启,Open
当前Key状态：,"Current Key Status:"
已配置,Configured
未配置,"Not Configured"
新沙盒Key,"New Sandbox Key"
请输入新的沙盒Key,"Enter a new sandbox key"
沙盒请求请优先通过已授权表单开关；不要把启动Key放进可点击GET链接。,"Use authorized forms for sandbox actions; do not put the startup key in clickable GET links."
开启沙盒,"Enable Sandbox"
关闭沙盒,"Disable Sandbox"
开发文档管理器,"Developer Document Manager"
新建文档,"New Document"
新建一篇开发文档,"Create a new developer document"
提示,Notice
