邮件订阅确认,"Newsletter confirmation"
订阅成功欢迎邮件（无券或仅订阅）,"Welcome email after subscribe (no gift or subscribe-only)"
订阅邮箱,"Subscriber email"
主题偏好,"Topic preferences"
站点名称,"Site name"
邮件订阅欢迎礼,"Newsletter welcome gift"
订阅发券通知（含券码）,"Subscribe gift notice (with coupon code)"
优惠券码,"Coupon code"
折扣说明,"Discount label"
有效期至,"Valid until"
商店链接,"Shop URL"
订阅成功！,Subscribed!
订阅失败。,"Subscription failed."
有奖配置已保存（rule_id=%{1}）。,"Gift campaign saved (rule_id=%{1})."
邮件订阅有奖配置,"Newsletter gift campaign"
"配置邮件订阅欢迎礼并同步 Marketing","Configure newsletter welcome gift and sync Marketing"
查看邮件订阅有奖配置,"View newsletter gift campaign"
打开有奖配置页,"Open gift campaign page"
保存邮件订阅有奖配置,"Save newsletter gift campaign"
"保存有奖参数并同步 Marketing","Save gift settings and sync Marketing"
邮件订阅名单,"Newsletter subscribers"
查看邮件订阅名单与发券台账,"View newsletter subscribers and gift ledger"
邮件订阅名单列表,"Newsletter subscriber list"
查看邮件订阅名单,"View newsletter subscribers"
"配置订阅欢迎礼折扣与弹窗 Cookie；保存后同步 Marketing 规则。","Configure welcome-gift discount and popup cookie; saving syncs the Marketing rule."
启用状态,Status
启用订阅欢迎礼,"Enable subscribe welcome gift"
折扣类型,"Discount type"
百分比,Percentage
固定金额,"Fixed amount"
折扣值,"Discount value"
有效天数,"Valid days"
"弹窗 Cookie 天数","Popup cookie days"
"Marketing 规则 ID","Marketing rule ID"
保存并同步后由系统写入，只读。,"Written by the system after save and sync (read-only)."
保存并同步,"Save and sync"
"共 %{1} 条","%{1} total"
搜索邮箱,"Search email"
搜索,Search
ID,ID
邮箱,Email
状态,Status
优惠主题,"Promo topic"
上新主题,"New arrivals topic"
券码,"Coupon code"
发券状态,"Gift status"
来源,Source
创建时间,"Created at"
暂无订阅记录,"No subscribers yet"
请输入您的邮箱,"Enter your email"
关闭,Close
优惠活动,Promotions
新品上新,"New arrivals"
可随时退订,"Unsubscribe anytime"
您的优惠码,"Your coupon code"
订阅我们,Subscribe
订阅获取最新优惠信息,"Subscribe for the latest offers"
订阅,Subscribe
请输入邮箱地址,"Enter email address"
请输入有效的邮箱地址。,"Please enter a valid email address."
您已订阅，主题偏好已更新。,"You are already subscribed; your topic preferences were updated."
订阅成功！欢迎礼优惠券已发送到您的邮箱。,"Subscribed! Your welcome coupon was sent to your email."
订阅成功！感谢您的关注。,"Subscribed! Thank you for joining us."
上新资讯,"New arrivals"
邮件资讯,"Newsletter updates"
订阅我们的邮件,"Subscribe to our newsletter"
获取最新的优惠信息和新品资讯,"Get the latest offers and new arrivals"
请输入您的邮箱地址,"Enter your email address"
订阅获取优惠,"Subscribe for offers"
订阅我们的邮件，立即获得10%折扣码！,"Subscribe and get a 10% off code!"
立即订阅,"Subscribe now"
去购物,"Shop now"
组合延后（停留/滚动/退出意向）,"Deferred (dwell / scroll / exit intent)"
最早弹出秒数,"Earliest open (seconds)"
"任意触发源在此秒数内禁止弹出（默认 3，首访首屏不立即弹）","Block any trigger from opening within this many seconds (default 3; no first-screen instant popup)"
