"No SMTP accounts available","No SMTP accounts available"
"No enabled SMTP accounts found","No enabled SMTP accounts found"
"Found ","Found "
"No file specified, auto-detecting Excel files...","No file specified, auto-detecting Excel files..."
"No Excel files found in emails directory","No Excel files found in emails directory"
"Using detected file: ","Using detected file: "
"File not found: ","File not found: "
"Available files in emails directory:","Available files in emails directory:"
"  - ","  - "
"Using specified file: ","Using specified file: "
"Recipient list is empty","Recipient list is empty"
"Loaded ","Loaded "
"Limiting to first ","Limiting to first "
"No email templates found in templates directory","No email templates found in templates directory"
"Initiating bulk email campaign...","Initiating bulk email campaign..."
"Bulk sending failed: ","Bulk sending failed: "
"Email column not detected, using first column as email","Email column not detected, using first column as email"
"Account [","Account ["
"] sending ","] sending "
" emails ("," emails ("
"✓ Sent: ","✓ Sent: "
"✗ Failed: ","✗ Failed: "
"✗ Error: ","✗ Error: "
,
"========== Campaign Results ==========","========== Campaign Results =========="
"Total: ","Total: "
"Successful: ","Successful: "
"Failed: ","Failed: "
"Success Rate: ","Success Rate: "
"]: Success ","]: Success "
", Failed ",", Failed "
"Emails directory not found","Emails directory not found"
"========== Available Email List Files ==========","========== Available Email List Files =========="
"Directory: ","Directory: "
"Supported formats: .txt, .csv, .json, .xlsx, .xls","Supported formats: .txt, .csv, .json, .xlsx, .xls"
"Usage: php bin/w mail:bulk --file=""filename.xlsx"" --subject=""Subject"" --body=""Content""","Usage: php bin/w mail:bulk --file=""filename.xlsx"" --subject=""Subject"" --body=""Content"""
"Recipient address is required","Recipient address is required"
"Email subject is required","Email subject is required"
"Email body is required","Email body is required"
"Sending email...","Sending email..."
"Email sent successfully!","Email sent successfully!"
"Recipient: ","Recipient: "
"Subject: ","Subject: "
"Email delivery failed!","Email delivery failed!"
"Email sending error: ","Email sending error: "
"Test email address is required","Test email address is required"
"Testing SMTP configuration...","Testing SMTP configuration..."
"Test failed: ","Test failed: "
"Please verify the following:","Please verify the following:"
"1. SMTP server address and port","1. SMTP server address and port"
"2. Account credentials","2. Account credentials"
"Test email sent successfully!","Test email sent successfully!"
"If not received, please check spam folder.","If not received, please check spam folder."
"Test email failed!","Test email failed!"
"Please verify your SMTP configuration.","Please verify your SMTP configuration."
"Original Text","Translated Text"
"SMTP Mail Sender","SMTP Mail Sender"
"Send email via SMTP","Send email via SMTP"
"Test SMTP configuration","Test SMTP configuration"
"Email sending failed!","Email sending failed!"
"Email sending failed: %s","Email sending failed: %s"
"Recipient email address cannot be empty","Recipient email address cannot be empty"
"Email subject cannot be empty","Email subject cannot be empty"
"Email body cannot be empty","Email body cannot be empty"
"Test email address cannot be empty","Test email address cannot be empty"
"Test email sending failed!","Test email sending failed!"
"Test failed: %s","Test failed: %s"
"Please check the following configuration:","Please check the following configuration:"
"2. Username and password","2. Username and password"
"3. Encryption method (TLS/SSL)","3. Encryption method (TLS/SSL)"
"Please check your mailbox: %s","Please check your mailbox: %s"
"If you did not receive the email, please check your spam folder.","If you did not receive the email, please check your spam folder."
"Please check if SMTP configuration is correct.","Please check if SMTP configuration is correct."
"Recipient: %s","Recipient: %s"
"Subject: %s","Subject: %s"
"Mail sent to %s","Mail sent to %s"
"Failed to send mail to %s","Failed to send mail to %s"
"SMTP configuration failed: %s","SMTP configuration failed: %s"
"Mail sending failed: %s","Mail sending failed: %s"
